ZipCode,Age,Gender,Coverage Type,Average Monthly Premium,Highest Rate,Lowest Rate
99501,30,Male,State Minimum Liability,$46,$56,$26
99501,30,Male,Liability Only - $50K/$100/$50K,$54,$79,$35
99501,30,Female,State Minimum Liability,$54,$79,$35
99501,30,Female,Liability Only - $50K/$100/$50K,$54,$79,$35
99501,50,Male,State Minimum Liability,$54,$79,$35
99501,50,Male,Liability Only - $50K/$100/$50K,$46,$67,$28
99501,50,Female,State Minimum Liability,$46,$67,$28
99501,50,Female,Liability Only - $50K/$100/$50K,$46,$67,$28
99501,70,Male,State Minimum Liability,$46,$67,$28
99501,70,Male,Liability Only - $50K/$100/$50K,$55,$76,$35
99501,70,Female,State Minimum Liability,$55,$76,$35
99501,70,Female,Liability Only - $50K/$100/$50K,$55,$76,$35
99502,30,Male,State Minimum Liability,$55,$76,$35
99502,30,Male,Liability Only - $50K/$100/$50K,$54,$76,$35
99502,30,Female,State Minimum Liability,$54,$76,$35
99502,30,Female,Liability Only - $50K/$100/$50K,$54,$76,$35
99502,50,Male,State Minimum Liability,$54,$76,$35
99502,50,Male,Liability Only - $50K/$100/$50K,$46,$64,$28
99502,50,Male,Liability Only - $50K/$100/$50K,$46,$56,$26
99502,50,Female,State Minimum Liability,$46,$64,$28
99502,50,Female,Liability Only - $50K/$100/$50K,$46,$64,$28
99502,70,Male,State Minimum Liability,$46,$64,$28
99502,70,Male,Liability Only - $50K/$100/$50K,$55,$73,$35
99502,70,Female,State Minimum Liability,$55,$73,$35
