ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
35004,"$20,000",$500,"$100,000",$373,"$1,893",$89
35004,"$20,000",$500,"$300,000",$391,"$1,903",$105
35004,"$20,000","$1,000","$100,000",$330,"$1,609",$82
35004,"$20,000","$1,000","$300,000",$347,"$1,619",$97
35004,"$40,000",$500,"$100,000",$536,"$2,946",$114
35004,"$40,000",$500,"$300,000",$554,"$2,956",$125
35004,"$40,000","$1,000","$100,000",$473,"$2,500",$106
35004,"$40,000","$1,000","$300,000",$492,"$2,510",$122
35004,"$60,000",$500,"$100,000",$681,"$3,763",$136
35004,"$60,000",$500,"$300,000",$701,"$3,773",$152
35004,"$60,000","$1,000","$100,000",$604,"$3,191",$129
35004,"$60,000","$1,000","$300,000",$623,"$3,201",$145
35005,"$20,000",$500,"$100,000",$421,"$2,113",$100
35005,"$20,000",$500,"$300,000",$439,"$2,123",$115
35005,"$20,000","$1,000","$100,000",$369,"$1,793",$91
35005,"$20,000","$1,000","$300,000",$388,"$1,803",$107
35005,"$40,000",$500,"$100,000",$616,"$3,286",$128
35005,"$40,000",$500,"$300,000",$635,"$3,296",$144
35005,"$40,000","$1,000","$100,000",$542,"$2,788",$120
35005,"$40,000","$1,000","$300,000",$562,"$2,798",$135
35005,"$60,000",$500,"$100,000",$793,"$4,197",$155
35005,"$60,000",$500,"$300,000",$813,"$4,207",$170
35005,"$60,000","$1,000","$100,000",$702,"$3,559",$147
35005,"$60,000","$1,000","$300,000",$722,"$3,569",$162
35006,"$20,000",$500,"$100,000",$422,"$2,113",$100
35006,"$20,000",$500,"$300,000",$441,"$2,123",$115
35006,"$20,000","$1,000","$100,000",$370,"$1,793",$91
35006,"$20,000","$1,000","$300,000",$389,"$1,803",$107
35006,"$40,000",$500,"$100,000",$619,"$3,286",$128
35006,"$40,000",$500,"$300,000",$638,"$3,296",$144
35006,"$40,000","$1,000","$100,000",$545,"$2,788",$120
35006,"$40,000","$1,000","$300,000",$564,"$2,798",$135
35006,"$60,000",$500,"$100,000",$797,"$4,197",$155
35006,"$60,000",$500,"$300,000",$817,"$4,207",$170
35006,"$60,000","$1,000","$100,000",$705,"$3,559",$147
35006,"$60,000","$1,000","$300,000",$725,"$3,569",$162
35007,"$20,000",$500,"$100,000",$373,"$1,781",$98
35007,"$20,000",$500,"$300,000",$391,"$1,791",$114
35007,"$20,000","$1,000","$100,000",$331,"$1,510",$89
35007,"$20,000","$1,000","$300,000",$349,"$1,520",$105
35007,"$40,000",$500,"$100,000",$541,"$2,768",$126
35007,"$40,000",$500,"$300,000",$560,"$2,778",$142
35007,"$40,000","$1,000","$100,000",$481,"$2,351",$118
35007,"$40,000","$1,000","$300,000",$500,"$2,361",$133
35007,"$60,000",$500,"$100,000",$693,"$3,537",$152
35007,"$60,000",$500,"$300,000",$713,"$3,547",$168
35007,"$60,000","$1,000","$100,000",$619,"$3,000",$144
35007,"$60,000","$1,000","$300,000",$638,"$3,010",$160
35010,"$20,000",$500,"$100,000",$367,"$1,893",$112
35010,"$20,000",$500,"$300,000",$384,"$1,903",$125
35010,"$20,000","$1,000","$100,000",$325,"$1,609",$102
35010,"$20,000","$1,000","$300,000",$343,"$1,619",$117
35010,"$40,000",$500,"$100,000",$525,"$2,946",$125
35010,"$40,000",$500,"$300,000",$544,"$2,956",$125
35010,"$40,000","$1,000","$100,000",$465,"$2,500",$125
35010,"$40,000","$1,000","$300,000",$483,"$2,510",$125
35010,"$60,000",$500,"$100,000",$667,"$3,763",$125
35010,"$60,000",$500,"$300,000",$686,"$3,773",$145
35010,"$60,000","$1,000","$100,000",$592,"$3,191",$125
35010,"$60,000","$1,000","$300,000",$611,"$3,201",$134
35011,"$20,000",$500,"$100,000",$367,"$1,893",$112
35011,"$20,000",$500,"$300,000",$384,"$1,903",$125
35011,"$20,000","$1,000","$100,000",$325,"$1,609",$102
35011,"$20,000","$1,000","$300,000",$343,"$1,619",$117
35011,"$40,000",$500,"$100,000",$525,"$2,946",$125
35011,"$40,000",$500,"$300,000",$544,"$2,956",$125
35011,"$40,000","$1,000","$100,000",$465,"$2,500",$125
35011,"$40,000","$1,000","$300,000",$483,"$2,510",$125
35011,"$60,000",$500,"$100,000",$667,"$3,763",$125
35011,"$60,000",$500,"$300,000",$686,"$3,773",$145
35011,"$60,000","$1,000","$100,000",$592,"$3,191",$125
35011,"$60,000","$1,000","$300,000",$611,"$3,201",$134
35013,"$20,000",$500,"$100,000",$381,"$1,893",$89
35013,"$20,000",$500,"$300,000",$399,"$1,903",$105
35013,"$20,000","$1,000","$100,000",$335,"$1,609",$82
35013,"$20,000","$1,000","$300,000",$353,"$1,619",$97
35013,"$40,000",$500,"$100,000",$552,"$2,946",$114
35013,"$40,000",$500,"$300,000",$571,"$2,956",$129
35013,"$40,000","$1,000","$100,000",$486,"$2,500",$106
35013,"$40,000","$1,000","$300,000",$505,"$2,510",$122
35013,"$60,000",$500,"$100,000",$706,"$3,763",$136
35013,"$60,000",$500,"$300,000",$725,"$3,773",$152
35013,"$60,000","$1,000","$100,000",$625,"$3,191",$129
35013,"$60,000","$1,000","$300,000",$644,"$3,201",$145
35014,"$20,000",$500,"$100,000",$374,"$1,893",$89
35014,"$20,000",$500,"$300,000",$392,"$1,903",$105
35014,"$20,000","$1,000","$100,000",$330,"$1,609",$82
35014,"$20,000","$1,000","$300,000",$347,"$1,619",$97
35014,"$40,000",$500,"$100,000",$539,"$2,946",$114
35014,"$40,000",$500,"$300,000",$557,"$2,956",$125
35014,"$40,000","$1,000","$100,000",$475,"$2,500",$106
35014,"$40,000","$1,000","$300,000",$493,"$2,510",$122
35014,"$60,000",$500,"$100,000",$687,"$3,763",$136
35014,"$60,000",$500,"$300,000",$706,"$3,773",$152
35014,"$60,000","$1,000","$100,000",$607,"$3,191",$129
35014,"$60,000","$1,000","$300,000",$627,"$3,201",$145
35015,"$20,000",$500,"$100,000",$416,"$1,991",$100
35015,"$20,000",$500,"$300,000",$434,"$2,001",$115
35015,"$20,000","$1,000","$100,000",$366,"$1,692",$91
35015,"$20,000","$1,000","$300,000",$384,"$1,702",$107
35015,"$40,000",$500,"$100,000",$609,"$3,100",$128
35015,"$40,000",$500,"$300,000",$628,"$3,110",$144
35015,"$40,000","$1,000","$100,000",$539,"$2,631",$120
35015,"$40,000","$1,000","$300,000",$558,"$2,641",$135
35015,"$60,000",$500,"$100,000",$783,"$3,959",$155
35015,"$60,000",$500,"$300,000",$803,"$3,969",$170
35015,"$60,000","$1,000","$100,000",$697,"$3,358",$147
35015,"$60,000","$1,000","$300,000",$717,"$3,368",$162
35016,"$20,000",$500,"$100,000",$378,"$1,893",$80
35016,"$20,000",$500,"$300,000",$397,"$1,903",$96
35016,"$20,000","$1,000","$100,000",$334,"$1,609",$73
35016,"$20,000","$1,000","$300,000",$353,"$1,619",$89
35016,"$40,000",$500,"$100,000",$550,"$2,946",$101
35016,"$40,000",$500,"$300,000",$569,"$2,956",$117
35016,"$40,000","$1,000","$100,000",$487,"$2,500",$94
35016,"$40,000","$1,000","$300,000",$506,"$2,510",$110
35016,"$60,000",$500,"$100,000",$704,"$3,763",$120
35016,"$60,000",$500,"$300,000",$724,"$3,773",$136
35016,"$60,000","$1,000","$100,000",$626,"$3,191",$114
35016,"$60,000","$1,000","$300,000",$645,"$3,201",$130
35019,"$20,000",$500,"$100,000",$364,"$1,770",$87
35019,"$20,000",$500,"$300,000",$382,"$1,780",$103
35019,"$20,000","$1,000","$100,000",$322,"$1,503",$80
35019,"$20,000","$1,000","$300,000",$339,"$1,513",$95
35019,"$40,000",$500,"$100,000",$524,"$2,758",$110
35019,"$40,000",$500,"$300,000",$543,"$2,768",$126
35019,"$40,000","$1,000","$100,000",$463,"$2,340",$103
35019,"$40,000","$1,000","$300,000",$482,"$2,350",$119
35019,"$60,000",$500,"$100,000",$670,"$3,522",$132
35019,"$60,000",$500,"$300,000",$690,"$3,532",$147
35019,"$60,000","$1,000","$100,000",$595,"$2,988",$125
35019,"$60,000","$1,000","$300,000",$614,"$2,998",$141
35020,"$20,000",$500,"$100,000",$457,"$2,397",$100
35020,"$20,000",$500,"$300,000",$475,"$2,407",$115
35020,"$20,000","$1,000","$100,000",$402,"$2,035",$91
35020,"$20,000","$1,000","$300,000",$420,"$2,045",$107
35020,"$40,000",$500,"$100,000",$671,"$3,732",$128
35020,"$40,000",$500,"$300,000",$690,"$3,742",$144
35020,"$40,000","$1,000","$100,000",$590,"$3,166",$120
35020,"$40,000","$1,000","$300,000",$610,"$3,176",$135
35020,"$60,000",$500,"$100,000",$865,"$4,766",$155
35020,"$60,000",$500,"$300,000",$884,"$4,776",$170
35020,"$60,000","$1,000","$100,000",$764,"$4,041",$147
35020,"$60,000","$1,000","$300,000",$784,"$4,051",$162
35021,"$20,000",$500,"$100,000",$457,"$2,397",$100
35021,"$20,000",$500,"$300,000",$475,"$2,407",$115
35021,"$20,000","$1,000","$100,000",$402,"$2,035",$91
35021,"$20,000","$1,000","$300,000",$420,"$2,045",$107
35021,"$40,000",$500,"$100,000",$671,"$3,732",$128
35021,"$40,000",$500,"$300,000",$690,"$3,742",$144
35021,"$40,000","$1,000","$100,000",$590,"$3,166",$120
