ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
71601,"$20,000",$500,"$100,000",$346,"$1,253",$69
71601,"$20,000",$500,"$300,000",$364,"$1,263",$77
71601,"$20,000","$1,000","$100,000",$318,"$1,159",$63
71601,"$20,000","$1,000","$300,000",$336,"$1,179",$71
71601,"$40,000",$500,"$100,000",$482,"$2,028",$90
71601,"$40,000",$500,"$300,000",$500,"$2,048",$98
71601,"$40,000","$1,000","$100,000",$444,"$1,953",$83
71601,"$40,000","$1,000","$300,000",$463,"$1,973",$91
71601,"$60,000",$500,"$100,000",$617,"$2,807",$108
71601,"$60,000",$500,"$300,000",$636,"$2,827",$116
71601,"$60,000","$1,000","$100,000",$572,"$2,732",$103
71601,"$60,000","$1,000","$300,000",$591,"$2,752",$110
71602,"$20,000",$500,"$100,000",$343,"$1,234",$69
71602,"$20,000",$500,"$300,000",$361,"$1,254",$77
71602,"$20,000","$1,000","$100,000",$315,"$1,159",$63
71602,"$20,000","$1,000","$300,000",$333,"$1,179",$71
71602,"$40,000",$500,"$100,000",$478,"$2,028",$90
71602,"$40,000",$500,"$300,000",$496,"$2,048",$98
71602,"$40,000","$1,000","$100,000",$441,"$1,953",$83
71602,"$40,000","$1,000","$300,000",$459,"$1,973",$91
71602,"$60,000",$500,"$100,000",$612,"$2,807",$108
71602,"$60,000",$500,"$300,000",$631,"$2,827",$116
71602,"$60,000","$1,000","$100,000",$568,"$2,732",$103
71602,"$60,000","$1,000","$300,000",$586,"$2,752",$110
71603,"$20,000",$500,"$100,000",$348,"$1,253",$69
71603,"$20,000",$500,"$300,000",$366,"$1,263",$77
71603,"$20,000","$1,000","$100,000",$320,"$1,159",$63
71603,"$20,000","$1,000","$300,000",$338,"$1,179",$71
71603,"$40,000",$500,"$100,000",$485,"$2,028",$90
71603,"$40,000",$500,"$300,000",$504,"$2,048",$98
71603,"$40,000","$1,000","$100,000",$448,"$1,953",$83
71603,"$40,000","$1,000","$300,000",$466,"$1,973",$91
71603,"$60,000",$500,"$100,000",$623,"$2,807",$108
71603,"$60,000",$500,"$300,000",$642,"$2,827",$116
71603,"$60,000","$1,000","$100,000",$577,"$2,732",$103
71603,"$60,000","$1,000","$300,000",$596,"$2,752",$110
71611,"$20,000",$500,"$100,000",$348,"$1,253",$69
71611,"$20,000",$500,"$300,000",$366,"$1,263",$77
71611,"$20,000","$1,000","$100,000",$320,"$1,159",$63
71611,"$20,000","$1,000","$300,000",$338,"$1,179",$71
71611,"$40,000",$500,"$100,000",$485,"$2,028",$90
71611,"$40,000",$500,"$300,000",$504,"$2,048",$98
71611,"$40,000","$1,000","$100,000",$448,"$1,953",$83
71611,"$40,000","$1,000","$300,000",$466,"$1,973",$91
71611,"$60,000",$500,"$100,000",$623,"$2,807",$108
71611,"$60,000",$500,"$300,000",$642,"$2,827",$116
71611,"$60,000","$1,000","$100,000",$577,"$2,732",$103
71611,"$60,000","$1,000","$300,000",$596,"$2,752",$110
71612,"$20,000",$500,"$100,000",$596,"$2,752",$110
71612,"$20,000",$500,"$300,000",$596,"$2,752",$110
71612,"$20,000","$1,000","$100,000",$596,"$2,752",$110
71612,"$20,000","$1,000","$300,000",$596,"$2,752",$110
71612,"$40,000",$500,"$100,000",$596,"$2,752",$110
71612,"$40,000",$500,"$300,000",$596,"$2,752",$110
71612,"$40,000","$1,000","$100,000",$596,"$2,752",$110
71612,"$40,000","$1,000","$300,000",$596,"$2,752",$110
71612,"$60,000",$500,"$100,000",$596,"$2,752",$110
71612,"$60,000",$500,"$300,000",$596,"$2,752",$110
71612,"$60,000","$1,000","$100,000",$596,"$2,752",$110
71612,"$60,000","$1,000","$300,000",$596,"$2,752",$110
71613,"$20,000",$500,"$100,000",$348,"$1,253",$69
71613,"$20,000",$500,"$300,000",$366,"$1,263",$77
71613,"$20,000","$1,000","$100,000",$320,"$1,159",$63
71613,"$20,000","$1,000","$300,000",$338,"$1,179",$71
71613,"$40,000",$500,"$100,000",$485,"$2,028",$90
71613,"$40,000",$500,"$300,000",$504,"$2,048",$98
71613,"$40,000","$1,000","$100,000",$448,"$1,953",$83
71613,"$40,000","$1,000","$300,000",$466,"$1,973",$91
71613,"$60,000",$500,"$100,000",$623,"$2,807",$108
71613,"$60,000",$500,"$300,000",$642,"$2,827",$116
71613,"$60,000","$1,000","$100,000",$577,"$2,732",$103
71613,"$60,000","$1,000","$300,000",$596,"$2,752",$110
71630,"$20,000",$500,"$100,000",$345,"$1,283",$69
71630,"$20,000",$500,"$300,000",$363,"$1,303",$77
71630,"$20,000","$1,000","$100,000",$317,"$1,208",$63
71630,"$20,000","$1,000","$300,000",$335,"$1,228",$71
71630,"$40,000",$500,"$100,000",$481,"$2,109",$90
71630,"$40,000",$500,"$300,000",$499,"$2,129",$98
71630,"$40,000","$1,000","$100,000",$444,"$2,034",$83
71630,"$40,000","$1,000","$300,000",$462,"$2,054",$91
71630,"$60,000",$500,"$100,000",$616,"$2,920",$108
71630,"$60,000",$500,"$300,000",$635,"$2,940",$116
