ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
85001,"$20,000",$500,"$100,000",$290,"$1,591",$62
85001,"$20,000",$500,"$300,000",$318,"$1,767",$70
85001,"$20,000","$1,000","$100,000",$263,"$1,436",$58
85001,"$20,000","$1,000","$300,000",$290,"$1,612",$66
85001,"$40,000",$500,"$100,000",$393,"$2,335",$79
85001,"$40,000",$500,"$300,000",$422,"$2,522",$87
85001,"$40,000","$1,000","$100,000",$357,"$2,133",$75
85001,"$40,000","$1,000","$300,000",$387,"$2,321",$83
85001,"$60,000",$500,"$100,000",$508,"$3,289",$94
85001,"$60,000",$500,"$300,000",$541,"$3,525",$103
85001,"$60,000","$1,000","$100,000",$464,"$3,023",$90
85001,"$60,000","$1,000","$300,000",$497,"$3,258",$98
85002,"$20,000",$500,"$100,000",$290,"$1,591",$62
85002,"$20,000",$500,"$300,000",$318,"$1,767",$70
85002,"$20,000","$1,000","$100,000",$263,"$1,436",$58
85002,"$20,000","$1,000","$300,000",$290,"$1,612",$66
85002,"$40,000",$500,"$100,000",$393,"$2,335",$79
85002,"$40,000",$500,"$300,000",$422,"$2,522",$87
85002,"$40,000","$1,000","$100,000",$357,"$2,133",$75
85002,"$40,000","$1,000","$300,000",$387,"$2,321",$83
85002,"$60,000",$500,"$100,000",$508,"$3,289",$94
85002,"$60,000",$500,"$300,000",$541,"$3,525",$103
85002,"$60,000","$1,000","$100,000",$464,"$3,023",$90
85002,"$60,000","$1,000","$300,000",$497,"$3,258",$98
85003,"$20,000",$500,"$100,000",$276,"$1,019",$62
85003,"$20,000",$500,"$300,000",$303,"$1,150",$70
85003,"$20,000","$1,000","$100,000",$250,$926,$58
85003,"$20,000","$1,000","$300,000",$276,"$1,057",$66
85003,"$40,000",$500,"$100,000",$374,"$1,471",$79
85003,"$40,000",$500,"$300,000",$402,"$1,611",$87
85003,"$40,000","$1,000","$100,000",$340,"$1,350",$75
85003,"$40,000","$1,000","$300,000",$368,"$1,490",$83
85003,"$60,000",$500,"$100,000",$480,"$2,065",$94
85003,"$60,000",$500,"$300,000",$511,"$2,241",$103
85003,"$60,000","$1,000","$100,000",$437,"$1,906",$90
85003,"$60,000","$1,000","$300,000",$468,"$2,082",$98
85004,"$20,000",$500,"$100,000",$279,"$1,110",$62
85004,"$20,000",$500,"$300,000",$305,"$1,232",$70
85004,"$20,000","$1,000","$100,000",$253,"$1,001",$58
85004,"$20,000","$1,000","$300,000",$279,"$1,123",$66
85004,"$40,000",$500,"$100,000",$380,"$1,626",$79
85004,"$40,000",$500,"$300,000",$408,"$1,756",$87
85004,"$40,000","$1,000","$100,000",$344,"$1,485",$75
85004,"$40,000","$1,000","$300,000",$372,"$1,614",$83
85004,"$60,000",$500,"$100,000",$487,"$2,286",$94
85004,"$60,000",$500,"$300,000",$518,"$2,449",$103
85004,"$60,000","$1,000","$100,000",$444,"$2,099",$90
85004,"$60,000","$1,000","$300,000",$475,"$2,262",$98
85005,"$20,000",$500,"$100,000",$290,"$1,591",$62
85005,"$20,000",$500,"$300,000",$318,"$1,767",$70
85005,"$20,000","$1,000","$100,000",$263,"$1,436",$58
85005,"$20,000","$1,000","$300,000",$290,"$1,612",$66
85005,"$40,000",$500,"$100,000",$393,"$2,335",$79
85005,"$40,000",$500,"$300,000",$422,"$2,522",$87
85005,"$40,000","$1,000","$100,000",$357,"$2,133",$75
85005,"$40,000","$1,000","$300,000",$387,"$2,321",$83
85005,"$60,000",$500,"$100,000",$508,"$3,289",$94
85005,"$60,000",$500,"$300,000",$541,"$3,525",$103
85005,"$60,000","$1,000","$100,000",$464,"$3,023",$90
85005,"$60,000","$1,000","$300,000",$497,"$3,258",$98
85006,"$20,000",$500,"$100,000",$274,$938,$62
85006,"$20,000",$500,"$300,000",$300,"$1,060",$70
85006,"$20,000","$1,000","$100,000",$249,$854,$58
85006,"$20,000","$1,000","$300,000",$274,$976,$66
85006,"$40,000",$500,"$100,000",$371,"$1,361",$79
85006,"$40,000",$500,"$300,000",$399,"$1,491",$87
85006,"$40,000","$1,000","$100,000",$337,"$1,251",$75
85006,"$40,000","$1,000","$300,000",$365,"$1,381",$83
85006,"$60,000",$500,"$100,000",$476,"$1,918",$94
85006,"$60,000",$500,"$300,000",$507,"$2,081",$103
85006,"$60,000","$1,000","$100,000",$434,"$1,774",$90
85006,"$60,000","$1,000","$300,000",$464,"$1,937",$98
85007,"$20,000",$500,"$100,000",$277,"$1,057",$62
85007,"$20,000",$500,"$300,000",$303,"$1,180",$70
85007,"$20,000","$1,000","$100,000",$251,$956,$58
85007,"$20,000","$1,000","$300,000",$277,"$1,078",$66
85007,"$40,000",$500,"$100,000",$376,"$1,545",$79
85007,"$40,000",$500,"$300,000",$404,"$1,676",$87
85007,"$40,000","$1,000","$100,000",$341,"$1,413",$75
85007,"$40,000","$1,000","$300,000",$369,"$1,544",$83
85007,"$60,000",$500,"$100,000",$483,"$2,176",$94
85007,"$60,000",$500,"$300,000",$513,"$2,340",$103
85007,"$60,000","$1,000","$100,000",$440,"$2,001",$90
85007,"$60,000","$1,000","$300,000",$470,"$2,165",$98
85008,"$20,000",$500,"$100,000",$278,"$1,072",$62
85008,"$20,000",$500,"$300,000",$304,"$1,194",$70
85008,"$20,000","$1,000","$100,000",$252,$971,$58
85008,"$20,000","$1,000","$300,000",$278,"$1,093",$66
85008,"$40,000",$500,"$100,000",$378,"$1,584",$79
85008,"$40,000",$500,"$300,000",$406,"$1,714",$87
85008,"$40,000","$1,000","$100,000",$344,"$1,451",$75
85008,"$40,000","$1,000","$300,000",$372,"$1,581",$83
85008,"$60,000",$500,"$100,000",$486,"$2,243",$94
85008,"$60,000",$500,"$300,000",$517,"$2,406",$103
85008,"$60,000","$1,000","$100,000",$443,"$2,066",$90
85008,"$60,000","$1,000","$300,000",$474,"$2,229",$98
85009,"$20,000",$500,"$100,000",$272,$879,$62
85009,"$20,000",$500,"$300,000",$298,"$1,001",$70
85009,"$20,000","$1,000","$100,000",$246,$803,$58
85009,"$20,000","$1,000","$300,000",$272,$922,$66
85009,"$40,000",$500,"$100,000",$367,"$1,256",$79
85009,"$40,000",$500,"$300,000",$395,"$1,386",$87
85009,"$40,000","$1,000","$100,000",$334,"$1,155",$75
85009,"$40,000","$1,000","$300,000",$362,"$1,283",$83
85009,"$60,000",$500,"$100,000",$470,"$1,753",$94
85009,"$60,000",$500,"$300,000",$501,"$1,916",$103
85009,"$60,000","$1,000","$100,000",$428,"$1,628",$90
85009,"$60,000","$1,000","$300,000",$459,"$1,780",$98
85010,"$20,000",$500,"$100,000",$290,"$1,591",$62
85010,"$20,000",$500,"$300,000",$318,"$1,767",$70
85010,"$20,000","$1,000","$100,000",$263,"$1,436",$58
85010,"$20,000","$1,000","$300,000",$290,"$1,612",$66
85010,"$40,000",$500,"$100,000",$393,"$2,335",$79
85010,"$40,000",$500,"$300,000",$422,"$2,522",$87
85010,"$40,000","$1,000","$100,000",$357,"$2,133",$75
