ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
90001,"$20,000",$500,"$100,000",$283,"$1,115",$136
90001,"$20,000",$500,"$300,000",$304,"$1,115",$161
90001,"$20,000","$1,000","$100,000",$265,"$1,115",$122
90001,"$20,000","$1,000","$300,000",$286,"$1,115",$147
90001,"$40,000",$500,"$100,000",$366,"$1,115",$205
90001,"$40,000",$500,"$300,000",$388,"$1,115",$229
90001,"$40,000","$1,000","$100,000",$341,"$1,115",$188
90001,"$40,000","$1,000","$300,000",$363,"$1,115",$213
90001,"$60,000",$500,"$100,000",$449,"$1,115",$263
90001,"$60,000",$500,"$300,000",$472,"$1,115",$279
90001,"$60,000","$1,000","$100,000",$416,"$1,115",$247
90001,"$60,000","$1,000","$300,000",$439,"$1,115",$276
90002,"$20,000",$500,"$100,000",$283,"$1,115",$136
90002,"$20,000",$500,"$300,000",$304,"$1,115",$161
90002,"$20,000","$1,000","$100,000",$265,"$1,115",$122
90002,"$20,000","$1,000","$300,000",$286,"$1,115",$147
90002,"$40,000",$500,"$100,000",$366,"$1,115",$205
90002,"$40,000",$500,"$300,000",$388,"$1,115",$229
90002,"$40,000","$1,000","$100,000",$341,"$1,115",$188
90002,"$40,000","$1,000","$300,000",$363,"$1,115",$213
90002,"$60,000",$500,"$100,000",$449,"$1,115",$263
90002,"$60,000",$500,"$300,000",$472,"$1,115",$279
90002,"$60,000","$1,000","$100,000",$416,"$1,115",$247
90002,"$60,000","$1,000","$300,000",$439,"$1,115",$276
90003,"$20,000",$500,"$100,000",$283,"$1,115",$136
90003,"$20,000",$500,"$300,000",$304,"$1,115",$161
90003,"$20,000","$1,000","$100,000",$265,"$1,115",$122
90003,"$20,000","$1,000","$300,000",$286,"$1,115",$147
90003,"$40,000",$500,"$100,000",$366,"$1,115",$207
90003,"$40,000",$500,"$300,000",$388,"$1,115",$231
90003,"$40,000","$1,000","$100,000",$341,"$1,115",$190
90003,"$40,000","$1,000","$300,000",$363,"$1,115",$214
90003,"$60,000",$500,"$100,000",$449,"$1,115",$263
90003,"$60,000",$500,"$300,000",$472,"$1,115",$279
90003,"$60,000","$1,000","$100,000",$417,"$1,115",$250
90003,"$60,000","$1,000","$300,000",$439,"$1,115",$276
90004,"$20,000",$500,"$100,000",$280,"$1,060",$136
90004,"$20,000",$500,"$300,000",$301,"$1,060",$161
90004,"$20,000","$1,000","$100,000",$262,"$1,060",$122
90004,"$20,000","$1,000","$300,000",$283,"$1,060",$147
90004,"$40,000",$500,"$100,000",$363,"$1,060",$223
90004,"$40,000",$500,"$300,000",$385,"$1,060",$239
90004,"$40,000","$1,000","$100,000",$338,"$1,060",$206
90004,"$40,000","$1,000","$300,000",$360,"$1,060",$231
90004,"$60,000",$500,"$100,000",$447,"$1,060",$263
90004,"$60,000",$500,"$300,000",$470,"$1,060",$279
90004,"$60,000","$1,000","$100,000",$414,"$1,060",$260
90004,"$60,000","$1,000","$300,000",$437,"$1,060",$276
90005,"$20,000",$500,"$100,000",$285,"$1,060",$136
90005,"$20,000",$500,"$300,000",$306,"$1,060",$161
90005,"$20,000","$1,000","$100,000",$266,"$1,060",$122
90005,"$20,000","$1,000","$300,000",$287,"$1,060",$147
90005,"$40,000",$500,"$100,000",$371,"$1,060",$223
90005,"$40,000",$500,"$300,000",$393,"$1,060",$239
90005,"$40,000","$1,000","$100,000",$344,"$1,060",$206
90005,"$40,000","$1,000","$300,000",$366,"$1,060",$231
90005,"$60,000",$500,"$100,000",$456,"$1,060",$263
90005,"$60,000",$500,"$300,000",$479,"$1,060",$279
90005,"$60,000","$1,000","$100,000",$423,"$1,060",$260
90005,"$60,000","$1,000","$300,000",$446,"$1,060",$276
90006,"$20,000",$500,"$100,000",$287,"$1,115",$136
90006,"$20,000",$500,"$300,000",$308,"$1,115",$161
90006,"$20,000","$1,000","$100,000",$269,"$1,115",$122
90006,"$20,000","$1,000","$300,000",$290,"$1,115",$147
90006,"$40,000",$500,"$100,000",$373,"$1,115",$209
90006,"$40,000",$500,"$300,000",$395,"$1,115",$233
90006,"$40,000","$1,000","$100,000",$347,"$1,115",$192
90006,"$40,000","$1,000","$300,000",$369,"$1,115",$216
90006,"$60,000",$500,"$100,000",$458,"$1,115",$263
90006,"$60,000",$500,"$300,000",$481,"$1,115",$279
90006,"$60,000","$1,000","$100,000",$425,"$1,115",$253
90006,"$60,000","$1,000","$300,000",$448,"$1,115",$276
90007,"$20,000",$500,"$100,000",$283,"$1,115",$136
90007,"$20,000",$500,"$300,000",$304,"$1,115",$161
90007,"$20,000","$1,000","$100,000",$265,"$1,115",$122
90007,"$20,000","$1,000","$300,000",$286,"$1,115",$147
