ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
80001,"$20,000",$500,"$100,000",$239,"$1,748",$99
80001,"$20,000",$500,"$300,000",$258,"$1,763",$111
80001,"$20,000","$1,000","$100,000",$207,"$1,332",$89
80001,"$20,000","$1,000","$300,000",$226,"$1,347",$102
80001,"$40,000",$500,"$100,000",$323,"$2,545",$116
80001,"$40,000",$500,"$300,000",$344,"$2,560",$125
80001,"$40,000","$1,000","$100,000",$279,"$1,940",$109
80001,"$40,000","$1,000","$300,000",$299,"$1,955",$119
80001,"$60,000",$500,"$100,000",$395,"$3,015",$125
80001,"$60,000",$500,"$300,000",$418,"$3,030",$136
80001,"$60,000","$1,000","$100,000",$344,"$2,297",$122
80001,"$60,000","$1,000","$300,000",$366,"$2,312",$130
80002,"$20,000",$500,"$100,000",$232,"$1,748",$94
80002,"$20,000",$500,"$300,000",$251,"$1,763",$105
80002,"$20,000","$1,000","$100,000",$202,"$1,332",$85
80002,"$20,000","$1,000","$300,000",$220,"$1,347",$98
80002,"$40,000",$500,"$100,000",$313,"$2,545",$109
80002,"$40,000",$500,"$300,000",$334,"$2,560",$119
80002,"$40,000","$1,000","$100,000",$271,"$1,940",$103
80002,"$40,000","$1,000","$300,000",$291,"$1,955",$114
80002,"$60,000",$500,"$100,000",$383,"$3,015",$121
80002,"$60,000",$500,"$300,000",$405,"$3,030",$133
80002,"$60,000","$1,000","$100,000",$332,"$2,297",$116
80002,"$60,000","$1,000","$300,000",$355,"$2,312",$128
80003,"$20,000",$500,"$100,000",$235,"$1,748",$94
80003,"$20,000",$500,"$300,000",$254,"$1,763",$107
80003,"$20,000","$1,000","$100,000",$204,"$1,332",$85
80003,"$20,000","$1,000","$300,000",$222,"$1,347",$98
80003,"$40,000",$500,"$100,000",$316,"$2,545",$116
80003,"$40,000",$500,"$300,000",$336,"$2,560",$125
80003,"$40,000","$1,000","$100,000",$273,"$1,940",$109
80003,"$40,000","$1,000","$300,000",$293,"$1,955",$119
80003,"$60,000",$500,"$100,000",$385,"$3,015",$125
80003,"$60,000",$500,"$300,000",$407,"$3,030",$136
80003,"$60,000","$1,000","$100,000",$334,"$2,297",$122
80003,"$60,000","$1,000","$300,000",$356,"$2,312",$130
80004,"$20,000",$500,"$100,000",$232,"$1,748",$94
80004,"$20,000",$500,"$300,000",$250,"$1,763",$102
80004,"$20,000","$1,000","$100,000",$201,"$1,332",$85
80004,"$20,000","$1,000","$300,000",$219,"$1,347",$97
80004,"$40,000",$500,"$100,000",$312,"$2,545",$106
80004,"$40,000",$500,"$300,000",$332,"$2,560",$115
80004,"$40,000","$1,000","$100,000",$269,"$1,940",$101
80004,"$40,000","$1,000","$300,000",$289,"$1,955",$110
80004,"$60,000",$500,"$100,000",$380,"$3,015",$118
80004,"$60,000",$500,"$300,000",$402,"$3,030",$129
80004,"$60,000","$1,000","$100,000",$330,"$2,297",$113
80004,"$60,000","$1,000","$300,000",$352,"$2,312",$123
80005,"$20,000",$500,"$100,000",$235,"$1,748",$94
80005,"$20,000",$500,"$300,000",$254,"$1,763",$107
80005,"$20,000","$1,000","$100,000",$204,"$1,332",$85
80005,"$20,000","$1,000","$300,000",$222,"$1,347",$98
