ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
6001,"$20,000",$500,"$100,000",$238,$917,$65
6001,"$20,000",$500,"$300,000",$261,$935,$75
6001,"$20,000","$1,000","$100,000",$216,$823,$60
6001,"$20,000","$1,000","$300,000",$240,$841,$70
6001,"$40,000",$500,"$100,000",$355,"$1,541",$84
6001,"$40,000",$500,"$300,000",$380,"$1,559",$94
6001,"$40,000","$1,000","$100,000",$323,"$1,381",$78
6001,"$40,000","$1,000","$300,000",$348,"$1,399",$89
6001,"$60,000",$500,"$100,000",$485,"$2,307",$101
6001,"$60,000",$500,"$300,000",$510,"$2,325",$112
6001,"$60,000","$1,000","$100,000",$441,"$2,067",$96
6001,"$60,000","$1,000","$300,000",$467,"$2,085",$107
6002,"$20,000",$500,"$100,000",$240,$917,$65
6002,"$20,000",$500,"$300,000",$263,$935,$75
6002,"$20,000","$1,000","$100,000",$219,$823,$60
6002,"$20,000","$1,000","$300,000",$242,$841,$70
6002,"$40,000",$500,"$100,000",$362,"$1,541",$84
6002,"$40,000",$500,"$300,000",$387,"$1,559",$94
6002,"$40,000","$1,000","$100,000",$330,"$1,381",$78
6002,"$40,000","$1,000","$300,000",$354,"$1,399",$89
6002,"$60,000",$500,"$100,000",$497,"$2,307",$101
6002,"$60,000",$500,"$300,000",$523,"$2,325",$112
6002,"$60,000","$1,000","$100,000",$453,"$2,067",$96
6002,"$60,000","$1,000","$300,000",$479,"$2,085",$107
6006,"$20,000",$500,"$100,000",$250,$917,$65
6006,"$20,000",$500,"$300,000",$276,$935,$75
6006,"$20,000","$1,000","$100,000",$227,$823,$60
6006,"$20,000","$1,000","$300,000",$254,$841,$70
6006,"$40,000",$500,"$100,000",$377,"$1,541",$84
6006,"$40,000",$500,"$300,000",$405,"$1,559",$94
6006,"$40,000","$1,000","$100,000",$343,"$1,381",$78
6006,"$40,000","$1,000","$300,000",$371,"$1,399",$89
6006,"$60,000",$500,"$100,000",$517,"$2,307",$101
6006,"$60,000",$500,"$300,000",$546,"$2,325",$112
6006,"$60,000","$1,000","$100,000",$471,"$2,067",$96
6006,"$60,000","$1,000","$300,000",$500,"$2,085",$107
6010,"$20,000",$500,"$100,000",$240,$929,$65
6010,"$20,000",$500,"$300,000",$264,$947,$75
6010,"$20,000","$1,000","$100,000",$219,$833,$60
6010,"$20,000","$1,000","$300,000",$243,$851,$70
6010,"$40,000",$500,"$100,000",$362,"$1,562",$84
6010,"$40,000",$500,"$300,000",$387,"$1,580",$94
6010,"$40,000","$1,000","$100,000",$330,"$1,400",$78
6010,"$40,000","$1,000","$300,000",$355,"$1,418",$89
6010,"$60,000",$500,"$100,000",$497,"$2,337",$101
6010,"$60,000",$500,"$300,000",$523,"$2,355",$112
6010,"$60,000","$1,000","$100,000",$454,"$2,094",$96
6010,"$60,000","$1,000","$300,000",$480,"$2,112",$107
6011,"$20,000",$500,"$100,000",$240,$929,$65
6011,"$20,000",$500,"$300,000",$264,$947,$75
6011,"$20,000","$1,000","$100,000",$219,$833,$60
6011,"$20,000","$1,000","$300,000",$243,$851,$70
6011,"$40,000",$500,"$100,000",$362,"$1,562",$84
6011,"$40,000",$500,"$300,000",$387,"$1,580",$94
6011,"$40,000","$1,000","$100,000",$330,"$1,400",$78
6011,"$40,000","$1,000","$300,000",$355,"$1,418",$89
6011,"$60,000",$500,"$100,000",$497,"$2,337",$101
6011,"$60,000",$500,"$300,000",$523,"$2,355",$112
6011,"$60,000","$1,000","$100,000",$454,"$2,094",$96
6011,"$60,000","$1,000","$300,000",$480,"$2,112",$107
6013,"$20,000",$500,"$100,000",$239,$917,$65
6013,"$20,000",$500,"$300,000",$262,$935,$75
6013,"$20,000","$1,000","$100,000",$218,$823,$60
6013,"$20,000","$1,000","$300,000",$241,$841,$70
6013,"$40,000",$500,"$100,000",$359,"$1,541",$84
6013,"$40,000",$500,"$300,000",$383,"$1,559",$94
6013,"$40,000","$1,000","$100,000",$327,"$1,381",$78
6013,"$40,000","$1,000","$300,000",$351,"$1,399",$89
6013,"$60,000",$500,"$100,000",$492,"$2,307",$101
6013,"$60,000",$500,"$300,000",$518,"$2,325",$112
6013,"$60,000","$1,000","$100,000",$449,"$2,067",$96
6013,"$60,000","$1,000","$300,000",$474,"$2,085",$107
6016,"$20,000",$500,"$100,000",$236,$917,$65
6016,"$20,000",$500,"$300,000",$259,$935,$75
6016,"$20,000","$1,000","$100,000",$215,$823,$60
6016,"$20,000","$1,000","$300,000",$238,$841,$70
6016,"$40,000",$500,"$100,000",$353,"$1,541",$84
6016,"$40,000",$500,"$300,000",$377,"$1,559",$94
6016,"$40,000","$1,000","$100,000",$322,"$1,381",$78
6016,"$40,000","$1,000","$300,000",$345,"$1,399",$89
6016,"$60,000",$500,"$100,000",$483,"$2,307",$101
6016,"$60,000",$500,"$300,000",$508,"$2,325",$112
6016,"$60,000","$1,000","$100,000",$440,"$2,067",$96
6016,"$60,000","$1,000","$300,000",$465,"$2,085",$107
6018,"$20,000",$500,"$100,000",$216,$913,$59
6018,"$20,000",$500,"$300,000",$239,$931,$69
6018,"$20,000","$1,000","$100,000",$198,$819,$54
6018,"$20,000","$1,000","$300,000",$221,$837,$65
6018,"$40,000",$500,"$100,000",$320,"$1,533",$75
6018,"$40,000",$500,"$300,000",$345,"$1,551",$86
6018,"$40,000","$1,000","$100,000",$292,"$1,374",$71
6018,"$40,000","$1,000","$300,000",$318,"$1,392",$81
6018,"$60,000",$500,"$100,000",$438,"$2,294",$90
6018,"$60,000",$500,"$300,000",$465,"$2,312",$101
6018,"$60,000","$1,000","$100,000",$400,"$2,055",$86
6018,"$60,000","$1,000","$300,000",$427,"$2,073",$97
6019,"$20,000",$500,"$100,000",$240,$917,$65
6019,"$20,000",$500,"$300,000",$264,$935,$75
6019,"$20,000","$1,000","$100,000",$219,$823,$60
6019,"$20,000","$1,000","$300,000",$243,$841,$70
6019,"$40,000",$500,"$100,000",$362,"$1,541",$84
6019,"$40,000",$500,"$300,000",$386,"$1,559",$94
6019,"$40,000","$1,000","$100,000",$329,"$1,381",$78
6019,"$40,000","$1,000","$300,000",$354,"$1,399",$89
6019,"$60,000",$500,"$100,000",$497,"$2,307",$101
6019,"$60,000",$500,"$300,000",$522,"$2,325",$112
6019,"$60,000","$1,000","$100,000",$453,"$2,067",$96
6019,"$60,000","$1,000","$300,000",$478,"$2,085",$107
6020,"$20,000",$500,"$100,000",$240,$917,$65
6020,"$20,000",$500,"$300,000",$264,$935,$75
6020,"$20,000","$1,000","$100,000",$219,$823,$60
6020,"$20,000","$1,000","$300,000",$243,$841,$70
6020,"$40,000",$500,"$100,000",$362,"$1,541",$84
6020,"$40,000",$500,"$300,000",$386,"$1,559",$94
6020,"$40,000","$1,000","$100,000",$329,"$1,381",$78
6020,"$40,000","$1,000","$300,000",$354,"$1,399",$89
6020,"$60,000",$500,"$100,000",$497,"$2,307",$101
6020,"$60,000",$500,"$300,000",$522,"$2,325",$112
6020,"$60,000","$1,000","$100,000",$453,"$2,067",$96
6020,"$60,000","$1,000","$300,000",$478,"$2,085",$107
6021,"$20,000",$500,"$100,000",$211,$913,$59
6021,"$20,000",$500,"$300,000",$233,$931,$69
6021,"$20,000","$1,000","$100,000",$194,$819,$54
6021,"$20,000","$1,000","$300,000",$216,$837,$65
6021,"$40,000",$500,"$100,000",$312,"$1,533",$75
6021,"$40,000",$500,"$300,000",$336,"$1,551",$86
6021,"$40,000","$1,000","$100,000",$285,"$1,374",$71
6021,"$40,000","$1,000","$300,000",$309,"$1,392",$81
