ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
20001,"$20,000",$500,"$100,000",$238,$514,$63
20001,"$20,000",$500,"$300,000",$255,$540,$71
20001,"$20,000","$1,000","$100,000",$209,$427,$57
20001,"$20,000","$1,000","$300,000",$226,$496,$64
20001,"$40,000",$500,"$100,000",$319,$604,$82
20001,"$40,000",$500,"$300,000",$336,$673,$89
20001,"$40,000","$1,000","$100,000",$283,$560,$76
20001,"$40,000","$1,000","$300,000",$300,$628,$83
20001,"$60,000",$500,"$100,000",$426,$817,$99
20001,"$60,000",$500,"$300,000",$443,$859,$106
20001,"$60,000","$1,000","$100,000",$378,$729,$93
20001,"$60,000","$1,000","$300,000",$395,$771,$101
20002,"$20,000",$500,"$100,000",$238,$514,$63
20002,"$20,000",$500,"$300,000",$255,$540,$71
20002,"$20,000","$1,000","$100,000",$209,$427,$57
20002,"$20,000","$1,000","$300,000",$226,$496,$64
20002,"$40,000",$500,"$100,000",$319,$604,$82
20002,"$40,000",$500,"$300,000",$336,$673,$89
20002,"$40,000","$1,000","$100,000",$283,$560,$76
20002,"$40,000","$1,000","$300,000",$300,$628,$83
20002,"$60,000",$500,"$100,000",$426,$817,$99
20002,"$60,000",$500,"$300,000",$443,$859,$106
20002,"$60,000","$1,000","$100,000",$378,$729,$93
20002,"$60,000","$1,000","$300,000",$395,$771,$101
20003,"$20,000",$500,"$100,000",$238,$514,$63
20003,"$20,000",$500,"$300,000",$255,$540,$71
20003,"$20,000","$1,000","$100,000",$209,$427,$57
20003,"$20,000","$1,000","$300,000",$226,$496,$64
20003,"$40,000",$500,"$100,000",$319,$604,$82
20003,"$40,000",$500,"$300,000",$336,$673,$89
20003,"$40,000","$1,000","$100,000",$283,$560,$76
20003,"$40,000","$1,000","$300,000",$300,$628,$83
20003,"$60,000",$500,"$100,000",$426,$817,$99
20003,"$60,000",$500,"$300,000",$443,$859,$106
20003,"$60,000","$1,000","$100,000",$378,$729,$93
20003,"$60,000","$1,000","$300,000",$395,$771,$101
20004,"$20,000",$500,"$100,000",$238,$514,$63
20004,"$20,000",$500,"$300,000",$255,$540,$71
20004,"$20,000","$1,000","$100,000",$209,$427,$57
20004,"$20,000","$1,000","$300,000",$226,$496,$64
20004,"$40,000",$500,"$100,000",$319,$604,$82
20004,"$40,000",$500,"$300,000",$336,$673,$89
20004,"$40,000","$1,000","$100,000",$283,$560,$76
20004,"$40,000","$1,000","$300,000",$300,$628,$83
20004,"$60,000",$500,"$100,000",$426,$817,$99
20004,"$60,000",$500,"$300,000",$443,$859,$106
20004,"$60,000","$1,000","$100,000",$378,$729,$93
20004,"$60,000","$1,000","$300,000",$395,$771,$101
20005,"$20,000",$500,"$100,000",$238,$514,$63
20005,"$20,000",$500,"$300,000",$255,$540,$71
20005,"$20,000","$1,000","$100,000",$209,$427,$57
20005,"$20,000","$1,000","$300,000",$226,$496,$64
20005,"$40,000",$500,"$100,000",$319,$604,$82
20005,"$40,000",$500,"$300,000",$336,$673,$89
20005,"$40,000","$1,000","$100,000",$283,$560,$76
20005,"$40,000","$1,000","$300,000",$300,$628,$83
20005,"$60,000",$500,"$100,000",$426,$817,$99
20005,"$60,000",$500,"$300,000",$443,$859,$106
20005,"$60,000","$1,000","$100,000",$378,$729,$93
20005,"$60,000","$1,000","$300,000",$395,$771,$101
20006,"$20,000",$500,"$100,000",$238,$514,$63
20006,"$20,000",$500,"$300,000",$255,$540,$71
20006,"$20,000","$1,000","$100,000",$209,$427,$57
20006,"$20,000","$1,000","$300,000",$226,$496,$64
20006,"$40,000",$500,"$100,000",$319,$604,$82
20006,"$40,000",$500,"$300,000",$336,$673,$89
