ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
19701,"$20,000",$500,"$100,000",$291,"$1,410",$115
19701,"$20,000",$500,"$300,000",$301,"$1,410",$115
19701,"$20,000","$1,000","$100,000",$246,"$1,111",$115
19701,"$20,000","$1,000","$300,000",$255,"$1,111",$115
19701,"$40,000",$500,"$100,000",$428,"$2,123",$131
19701,"$40,000",$500,"$300,000",$440,"$2,123",$139
19701,"$40,000","$1,000","$100,000",$360,"$1,671",$125
19701,"$40,000","$1,000","$300,000",$371,"$1,671",$133
19701,"$60,000",$500,"$100,000",$554,"$2,268",$156
19701,"$60,000",$500,"$300,000",$567,"$2,268",$164
19701,"$60,000","$1,000","$100,000",$467,"$1,785",$149
19701,"$60,000","$1,000","$300,000",$479,"$1,785",$157
19702,"$20,000",$500,"$100,000",$294,"$1,410",$115
19702,"$20,000",$500,"$300,000",$304,"$1,410",$115
19702,"$20,000","$1,000","$100,000",$248,"$1,111",$115
19702,"$20,000","$1,000","$300,000",$258,"$1,111",$115
19702,"$40,000",$500,"$100,000",$434,"$2,123",$131
19702,"$40,000",$500,"$300,000",$445,"$2,123",$139
19702,"$40,000","$1,000","$100,000",$366,"$1,671",$125
19702,"$40,000","$1,000","$300,000",$377,"$1,671",$133
19702,"$60,000",$500,"$100,000",$563,"$2,268",$156
19702,"$60,000",$500,"$300,000",$576,"$2,268",$164
19702,"$60,000","$1,000","$100,000",$476,"$1,785",$149
19702,"$60,000","$1,000","$300,000",$488,"$1,785",$157
19703,"$20,000",$500,"$100,000",$291,"$1,410",$115
19703,"$20,000",$500,"$300,000",$301,"$1,410",$115
19703,"$20,000","$1,000","$100,000",$246,"$1,111",$115
19703,"$20,000","$1,000","$300,000",$255,"$1,111",$115
19703,"$40,000",$500,"$100,000",$428,"$2,123",$131
19703,"$40,000",$500,"$300,000",$440,"$2,123",$139
19703,"$40,000","$1,000","$100,000",$360,"$1,671",$125
19703,"$40,000","$1,000","$300,000",$371,"$1,671",$133
19703,"$60,000",$500,"$100,000",$554,"$2,268",$156
19703,"$60,000",$500,"$300,000",$567,"$2,268",$164
19703,"$60,000","$1,000","$100,000",$467,"$1,785",$149
19703,"$60,000","$1,000","$300,000",$479,"$1,785",$157
19706,"$20,000",$500,"$100,000",$291,"$1,410",$115
19706,"$20,000",$500,"$300,000",$301,"$1,410",$115
19706,"$20,000","$1,000","$100,000",$246,"$1,111",$115
19706,"$20,000","$1,000","$300,000",$255,"$1,111",$115
19706,"$40,000",$500,"$100,000",$428,"$2,123",$131
19706,"$40,000",$500,"$300,000",$440,"$2,123",$139
19706,"$40,000","$1,000","$100,000",$360,"$1,671",$125
19706,"$40,000","$1,000","$300,000",$371,"$1,671",$133
19706,"$60,000",$500,"$100,000",$554,"$2,268",$156
19706,"$60,000",$500,"$300,000",$567,"$2,268",$164
19706,"$60,000","$1,000","$100,000",$467,"$1,785",$149
19706,"$60,000","$1,000","$300,000",$479,"$1,785",$157
19707,"$20,000",$500,"$100,000",$291,"$1,410",$115
19707,"$20,000",$500,"$300,000",$300,"$1,410",$115
19707,"$20,000","$1,000","$100,000",$246,"$1,111",$115
19707,"$20,000","$1,000","$300,000",$255,"$1,111",$115
19707,"$40,000",$500,"$100,000",$428,"$2,123",$131
19707,"$40,000",$500,"$300,000",$439,"$2,123",$139
19707,"$40,000","$1,000","$100,000",$360,"$1,671",$125
19707,"$40,000","$1,000","$300,000",$371,"$1,671",$133
19707,"$60,000",$500,"$100,000",$553,"$2,268",$156
19707,"$60,000",$500,"$300,000",$566,"$2,268",$164
19707,"$60,000","$1,000","$100,000",$466,"$1,785",$149
19707,"$60,000","$1,000","$300,000",$479,"$1,785",$157
19708,"$20,000",$500,"$100,000",$298,"$1,410",$115
19708,"$20,000",$500,"$300,000",$308,"$1,410",$115
19708,"$20,000","$1,000","$100,000",$251,"$1,111",$115
19708,"$20,000","$1,000","$300,000",$261,"$1,111",$115
19708,"$40,000",$500,"$100,000",$442,"$2,123",$131
19708,"$40,000",$500,"$300,000",$453,"$2,123",$139
19708,"$40,000","$1,000","$100,000",$372,"$1,671",$125
19708,"$40,000","$1,000","$300,000",$384,"$1,671",$133
19708,"$60,000",$500,"$100,000",$575,"$2,268",$156
19708,"$60,000",$500,"$300,000",$587,"$2,268",$164
19708,"$60,000","$1,000","$100,000",$487,"$1,785",$149
19708,"$60,000","$1,000","$300,000",$499,"$1,785",$157
19709,"$20,000",$500,"$100,000",$291,"$1,410",$115
19709,"$20,000",$500,"$300,000",$300,"$1,410",$115
19709,"$20,000","$1,000","$100,000",$246,"$1,111",$115
19709,"$20,000","$1,000","$300,000",$255,"$1,111",$115
19709,"$40,000",$500,"$100,000",$427,"$2,123",$131
19709,"$40,000",$500,"$300,000",$439,"$2,123",$139
19709,"$40,000","$1,000","$100,000",$360,"$1,671",$125
19709,"$40,000","$1,000","$300,000",$371,"$1,671",$133
19709,"$60,000",$500,"$100,000",$553,"$2,268",$156
19709,"$60,000",$500,"$300,000",$565,"$2,268",$164
19709,"$60,000","$1,000","$100,000",$466,"$1,785",$149
19709,"$60,000","$1,000","$300,000",$478,"$1,785",$157
19710,"$20,000",$500,"$100,000",$291,"$1,410",$115
19710,"$20,000",$500,"$300,000",$300,"$1,410",$115
19710,"$20,000","$1,000","$100,000",$246,"$1,111",$115
19710,"$20,000","$1,000","$300,000",$255,"$1,111",$115
19710,"$40,000",$500,"$100,000",$428,"$2,123",$131
19710,"$40,000",$500,"$300,000",$439,"$2,123",$139
19710,"$40,000","$1,000","$100,000",$360,"$1,671",$125
19710,"$40,000","$1,000","$300,000",$371,"$1,671",$133
19710,"$60,000",$500,"$100,000",$553,"$2,268",$156
19710,"$60,000",$500,"$300,000",$566,"$2,268",$164
19710,"$60,000","$1,000","$100,000",$466,"$1,785",$149
19710,"$60,000","$1,000","$300,000",$479,"$1,785",$157
19711,"$20,000",$500,"$100,000",$291,"$1,410",$115
19711,"$20,000",$500,"$300,000",$300,"$1,410",$115
19711,"$20,000","$1,000","$100,000",$246,"$1,111",$115
19711,"$20,000","$1,000","$300,000",$255,"$1,111",$115
19711,"$40,000",$500,"$100,000",$428,"$2,123",$131
19711,"$40,000",$500,"$300,000",$439,"$2,123",$139
19711,"$40,000","$1,000","$100,000",$360,"$1,671",$125
19711,"$40,000","$1,000","$300,000",$371,"$1,671",$133
19711,"$60,000",$500,"$100,000",$553,"$2,268",$156
19711,"$60,000",$500,"$300,000",$566,"$2,268",$164
19711,"$60,000","$1,000","$100,000",$466,"$1,785",$149
19711,"$60,000","$1,000","$300,000",$479,"$1,785",$157
19712,"$20,000",$500,"$100,000",$291,"$1,410",$115
19712,"$20,000",$500,"$300,000",$301,"$1,410",$115
19712,"$20,000","$1,000","$100,000",$246,"$1,111",$115
19712,"$20,000","$1,000","$300,000",$255,"$1,111",$115
19712,"$40,000",$500,"$100,000",$428,"$2,123",$131
19712,"$40,000",$500,"$300,000",$439,"$2,123",$139
19712,"$40,000","$1,000","$100,000",$360,"$1,671",$125
19712,"$40,000","$1,000","$300,000",$371,"$1,671",$133
19712,"$60,000",$500,"$100,000",$553,"$2,268",$156
19712,"$60,000",$500,"$300,000",$566,"$2,268",$164
19712,"$60,000","$1,000","$100,000",$466,"$1,785",$149
19712,"$60,000","$1,000","$300,000",$479,"$1,785",$157
19713,"$20,000",$500,"$100,000",$291,"$1,410",$115
19713,"$20,000",$500,"$300,000",$301,"$1,410",$115
19713,"$20,000","$1,000","$100,000",$246,"$1,111",$115
19713,"$20,000","$1,000","$300,000",$255,"$1,111",$115
19713,"$40,000",$500,"$100,000",$429,"$2,123",$131
19713,"$40,000",$500,"$300,000",$440,"$2,123",$139
19713,"$40,000","$1,000","$100,000",$360,"$1,671",$125
19713,"$40,000","$1,000","$300,000",$371,"$1,671",$133
19713,"$60,000",$500,"$100,000",$554,"$2,268",$156
19713,"$60,000",$500,"$300,000",$567,"$2,268",$164
19713,"$60,000","$1,000","$100,000",$467,"$1,785",$149
19713,"$60,000","$1,000","$300,000",$479,"$1,785",$157
19714,"$20,000",$500,"$100,000",$291,"$1,410",$115
19714,"$20,000",$500,"$300,000",$301,"$1,410",$115
19714,"$20,000","$1,000","$100,000",$246,"$1,111",$115
19714,"$20,000","$1,000","$300,000",$255,"$1,111",$115
19714,"$40,000",$500,"$100,000",$428,"$2,123",$131
19714,"$40,000",$500,"$300,000",$439,"$2,123",$139
