ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
32003,"$20,000",$500,"$100,000",$165,$359,$123
32003,"$20,000",$500,"$300,000",$183,$379,$123
32003,"$20,000","$1,000","$100,000",$155,$342,$123
32003,"$20,000","$1,000","$300,000",$171,$362,$123
32003,"$40,000",$500,"$100,000",$254,$581,$190
32003,"$40,000",$500,"$300,000",$272,$620,$190
32003,"$40,000","$1,000","$100,000",$231,$519,$171
32003,"$40,000","$1,000","$300,000",$249,$558,$189
32003,"$60,000",$500,"$100,000",$344,$843,$230
32003,"$60,000",$500,"$300,000",$362,$882,$250
32003,"$60,000","$1,000","$100,000",$311,$751,$215
32003,"$60,000","$1,000","$300,000",$329,$790,$233
32004,"$20,000",$500,"$100,000",$329,$790,$233
32004,"$20,000",$500,"$300,000",$329,$790,$233
32004,"$20,000","$1,000","$100,000",$329,$790,$233
32004,"$20,000","$1,000","$300,000",$329,$790,$233
32004,"$40,000",$500,"$100,000",$329,$790,$233
32004,"$40,000",$500,"$300,000",$329,$790,$233
32004,"$40,000","$1,000","$100,000",$329,$790,$233
32004,"$40,000","$1,000","$300,000",$329,$790,$233
32004,"$60,000",$500,"$100,000",$329,$790,$233
32004,"$60,000",$500,"$300,000",$329,$790,$233
32004,"$60,000","$1,000","$100,000",$329,$790,$233
32004,"$60,000","$1,000","$300,000",$329,$790,$233
32006,"$20,000",$500,"$100,000",$165,$359,$123
32006,"$20,000",$500,"$300,000",$183,$379,$123
32006,"$20,000","$1,000","$100,000",$155,$342,$123
32006,"$20,000","$1,000","$300,000",$171,$362,$123
32006,"$40,000",$500,"$100,000",$254,$581,$190
32006,"$40,000",$500,"$300,000",$272,$620,$190
32006,"$40,000","$1,000","$100,000",$231,$519,$171
32006,"$40,000","$1,000","$300,000",$249,$558,$189
32006,"$60,000",$500,"$100,000",$344,$843,$230
32006,"$60,000",$500,"$300,000",$362,$882,$250
32006,"$60,000","$1,000","$100,000",$311,$751,$215
32006,"$60,000","$1,000","$300,000",$329,$790,$233
32007,"$20,000",$500,"$100,000",$175,$490,$115
32007,"$20,000",$500,"$300,000",$193,$510,$135
32007,"$20,000","$1,000","$100,000",$165,$466,$106
32007,"$20,000","$1,000","$300,000",$180,$486,$126
32007,"$40,000",$500,"$100,000",$267,$642,$183
32007,"$40,000",$500,"$300,000",$286,$662,$203
32007,"$40,000","$1,000","$100,000",$244,$614,$165
32007,"$40,000","$1,000","$300,000",$262,$634,$185
32007,"$60,000",$500,"$100,000",$358,$784,$248
32007,"$60,000",$500,"$300,000",$377,$804,$268
32007,"$60,000","$1,000","$100,000",$326,$747,$222
32007,"$60,000","$1,000","$300,000",$344,$767,$242
32008,"$20,000",$500,"$100,000",$163,$440,$94
32008,"$20,000",$500,"$300,000",$181,$460,$94
32008,"$20,000","$1,000","$100,000",$152,$418,$94
