ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
30002,"$20,000",$500,"$100,000",$374,"$2,172",$59
30002,"$20,000",$500,"$300,000",$396,"$2,182",$67
30002,"$20,000","$1,000","$100,000",$337,"$2,100",$55
30002,"$20,000","$1,000","$300,000",$360,"$2,110",$63
30002,"$40,000",$500,"$100,000",$581,"$3,671",$79
30002,"$40,000",$500,"$300,000",$606,"$3,681",$87
30002,"$40,000","$1,000","$100,000",$524,"$3,554",$76
30002,"$40,000","$1,000","$300,000",$548,"$3,564",$83
30002,"$60,000",$500,"$100,000",$644,"$2,675",$98
30002,"$60,000",$500,"$300,000",$672,"$2,802",$106
30002,"$60,000","$1,000","$100,000",$654,"$4,349",$96
30002,"$60,000","$1,000","$300,000",$681,"$4,359",$104
30003,"$20,000",$500,"$100,000",$380,"$1,897",$82
30003,"$20,000",$500,"$300,000",$405,"$1,907",$90
30003,"$20,000","$1,000","$100,000",$343,"$1,833",$75
30003,"$20,000","$1,000","$300,000",$368,"$1,843",$83
30003,"$40,000",$500,"$100,000",$584,"$3,209",$111
30003,"$40,000",$500,"$300,000",$611,"$3,219",$119
30003,"$40,000","$1,000","$100,000",$528,"$3,097",$105
30003,"$40,000","$1,000","$300,000",$555,"$3,107",$113
30003,"$60,000",$500,"$100,000",$810,"$4,836",$139
30003,"$60,000",$500,"$300,000",$839,"$4,846",$147
30003,"$60,000","$1,000","$100,000",$737,"$4,738",$135
30003,"$60,000","$1,000","$300,000",$766,"$4,748",$143
30004,"$20,000",$500,"$100,000",$364,"$2,054",$70
30004,"$20,000",$500,"$300,000",$387,"$2,064",$78
30004,"$20,000","$1,000","$100,000",$329,"$1,981",$65
30004,"$20,000","$1,000","$300,000",$352,"$1,991",$73
30004,"$40,000",$500,"$100,000",$564,"$3,481",$95
30004,"$40,000",$500,"$300,000",$589,"$3,491",$103
30004,"$40,000","$1,000","$100,000",$510,"$3,346",$90
30004,"$40,000","$1,000","$300,000",$535,"$3,356",$98
30004,"$60,000",$500,"$100,000",$628,"$2,643",$119
30004,"$60,000",$500,"$300,000",$658,"$2,812",$126
30004,"$60,000","$1,000","$100,000",$637,"$4,119",$116
30004,"$60,000","$1,000","$300,000",$665,"$4,129",$123
30005,"$20,000",$500,"$100,000",$362,"$2,054",$70
30005,"$20,000",$500,"$300,000",$386,"$2,064",$78
30005,"$20,000","$1,000","$100,000",$328,"$1,981",$65
30005,"$20,000","$1,000","$300,000",$351,"$1,991",$73
30005,"$40,000",$500,"$100,000",$561,"$3,481",$95
30005,"$40,000",$500,"$300,000",$586,"$3,491",$103
30005,"$40,000","$1,000","$100,000",$507,"$3,346",$90
30005,"$40,000","$1,000","$300,000",$532,"$3,356",$98
30005,"$60,000",$500,"$100,000",$621,"$2,451",$119
30005,"$60,000",$500,"$300,000",$651,"$2,623",$126
30005,"$60,000","$1,000","$100,000",$631,"$4,119",$116
30005,"$60,000","$1,000","$300,000",$659,"$4,129",$123
30006,"$20,000",$500,"$100,000",$403,"$2,040",$79
30006,"$20,000",$500,"$300,000",$427,"$2,050",$87
30006,"$20,000","$1,000","$100,000",$363,"$1,967",$73
30006,"$20,000","$1,000","$300,000",$388,"$1,977",$81
30006,"$40,000",$500,"$100,000",$622,"$3,445",$107
30006,"$40,000",$500,"$300,000",$649,"$3,455",$115
30006,"$40,000","$1,000","$100,000",$563,"$3,324",$102
30006,"$40,000","$1,000","$300,000",$589,"$3,334",$110
30006,"$60,000",$500,"$100,000",$726,"$4,099",$134
30006,"$60,000",$500,"$300,000",$758,"$4,316",$142
30006,"$60,000","$1,000","$100,000",$720,"$4,079",$130
30006,"$60,000","$1,000","$300,000",$751,"$4,089",$138
