ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
50001,"$20,000",$500,"$100,000",$248,"$3,517",$49
50001,"$20,000",$500,"$300,000",$270,"$3,982",$53
50001,"$20,000","$1,000","$100,000",$228,"$3,280",$47
50001,"$20,000","$1,000","$300,000",$249,"$3,745",$51
50001,"$40,000",$500,"$100,000",$269,"$1,057",$102
50001,"$40,000",$500,"$300,000",$282,"$1,077",$109
50001,"$40,000","$1,000","$100,000",$330,"$4,815",$60
50001,"$40,000","$1,000","$300,000",$256,$968,$105
50001,"$60,000",$500,"$100,000",$351,"$1,460",$115
50001,"$60,000",$500,"$300,000",$365,"$1,480",$122
50001,"$60,000","$1,000","$100,000",$318,"$1,309",$110
50001,"$60,000","$1,000","$300,000",$332,"$1,329",$118
50002,"$20,000",$500,"$100,000",$245,"$3,517",$49
50002,"$20,000",$500,"$300,000",$267,"$3,982",$53
50002,"$20,000","$1,000","$100,000",$226,"$3,280",$47
50002,"$20,000","$1,000","$300,000",$247,"$3,745",$51
50002,"$40,000",$500,"$100,000",$263,"$1,057",$101
50002,"$40,000",$500,"$300,000",$277,"$1,077",$108
50002,"$40,000","$1,000","$100,000",$326,"$4,815",$60
50002,"$40,000","$1,000","$300,000",$252,$968,$103
50002,"$60,000",$500,"$100,000",$343,"$1,460",$114
50002,"$60,000",$500,"$300,000",$357,"$1,480",$121
50002,"$60,000","$1,000","$100,000",$311,"$1,309",$109
50002,"$60,000","$1,000","$300,000",$326,"$1,329",$117
50003,"$20,000",$500,"$100,000",$248,"$3,517",$49
50003,"$20,000",$500,"$300,000",$270,"$3,982",$53
50003,"$20,000","$1,000","$100,000",$228,"$3,280",$47
50003,"$20,000","$1,000","$300,000",$249,"$3,745",$51
50003,"$40,000",$500,"$100,000",$268,"$1,057",$102
50003,"$40,000",$500,"$300,000",$281,"$1,077",$109
50003,"$40,000","$1,000","$100,000",$330,"$4,815",$60
50003,"$40,000","$1,000","$300,000",$256,$968,$105
50003,"$60,000",$500,"$100,000",$350,"$1,460",$115
50003,"$60,000",$500,"$300,000",$364,"$1,480",$122
50003,"$60,000","$1,000","$100,000",$317,"$1,309",$110
50003,"$60,000","$1,000","$300,000",$331,"$1,329",$118
50005,"$20,000",$500,"$100,000",$240,"$3,517",$49
50005,"$20,000",$500,"$300,000",$261,"$3,982",$53
50005,"$20,000","$1,000","$100,000",$221,"$3,280",$47
50005,"$20,000","$1,000","$300,000",$242,"$3,745",$51
50005,"$40,000",$500,"$100,000",$254,"$1,057",$102
50005,"$40,000",$500,"$300,000",$267,"$1,077",$109
50005,"$40,000","$1,000","$100,000",$318,"$4,815",$60
50005,"$40,000","$1,000","$300,000",$243,$968,$105
50005,"$60,000",$500,"$100,000",$331,"$1,460",$115
50005,"$60,000",$500,"$300,000",$345,"$1,480",$122
50005,"$60,000","$1,000","$100,000",$300,"$1,309",$110
50005,"$60,000","$1,000","$300,000",$314,"$1,329",$118
50006,"$20,000",$500,"$100,000",$241,"$3,517",$49
50006,"$20,000",$500,"$300,000",$263,"$3,982",$53
50006,"$20,000","$1,000","$100,000",$222,"$3,280",$47
50006,"$20,000","$1,000","$300,000",$243,"$3,745",$51
50006,"$40,000",$500,"$100,000",$258,"$1,057",$99
50006,"$40,000",$500,"$300,000",$271,"$1,077",$106
50006,"$40,000","$1,000","$100,000",$321,"$4,815",$60
50006,"$40,000","$1,000","$300,000",$247,$968,$102
50006,"$60,000",$500,"$100,000",$336,"$1,460",$111
50006,"$60,000",$500,"$300,000",$350,"$1,480",$119
50006,"$60,000","$1,000","$100,000",$305,"$1,309",$107
50006,"$60,000","$1,000","$300,000",$319,"$1,329",$115
50007,"$20,000",$500,"$100,000",$249,"$3,604",$50
50007,"$20,000",$500,"$300,000",$270,"$4,082",$54
50007,"$20,000","$1,000","$100,000",$229,"$3,359",$48
50007,"$20,000","$1,000","$300,000",$250,"$3,838",$52
50007,"$40,000",$500,"$100,000",$267,"$1,057",$103
50007,"$40,000",$500,"$300,000",$280,"$1,077",$110
50007,"$40,000","$1,000","$100,000",$331,"$4,940",$61
50007,"$40,000","$1,000","$300,000",$255,$968,$105
50007,"$60,000",$500,"$100,000",$349,"$1,460",$116
50007,"$60,000",$500,"$300,000",$362,"$1,480",$124
50007,"$60,000","$1,000","$100,000",$316,"$1,309",$111
50007,"$60,000","$1,000","$300,000",$330,"$1,329",$119
50008,"$20,000",$500,"$100,000",$244,"$3,517",$49
50008,"$20,000",$500,"$300,000",$265,"$3,982",$53
50008,"$20,000","$1,000","$100,000",$224,"$3,280",$47
50008,"$20,000","$1,000","$300,000",$246,"$3,745",$51
50008,"$40,000",$500,"$100,000",$261,"$1,057",$103
50008,"$40,000",$500,"$300,000",$274,"$1,077",$110
50008,"$40,000","$1,000","$100,000",$324,"$4,815",$60
50008,"$40,000","$1,000","$300,000",$250,$968,$106
50008,"$60,000",$500,"$100,000",$340,"$1,460",$116
50008,"$60,000",$500,"$300,000",$354,"$1,480",$124
50008,"$60,000","$1,000","$100,000",$309,"$1,309",$111
50008,"$60,000","$1,000","$300,000",$323,"$1,329",$119
50009,"$20,000",$500,"$100,000",$248,"$3,604",$50
50009,"$20,000",$500,"$300,000",$270,"$4,082",$54
50009,"$20,000","$1,000","$100,000",$228,"$3,359",$48
50009,"$20,000","$1,000","$300,000",$250,"$3,838",$52
50009,"$40,000",$500,"$100,000",$266,"$1,057",$104
50009,"$40,000",$500,"$300,000",$279,"$1,077",$111
