ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
83201,"$20,000",$500,"$100,000",$228,"$1,788",$62
83201,"$20,000",$500,"$300,000",$246,"$1,803",$69
83201,"$20,000","$1,000","$100,000",$211,"$1,744",$57
83201,"$20,000","$1,000","$300,000",$229,"$1,759",$64
83201,"$40,000",$500,"$100,000",$304,"$2,377",$81
83201,"$40,000",$500,"$300,000",$324,"$2,392",$88
83201,"$40,000","$1,000","$100,000",$282,"$2,333",$75
83201,"$40,000","$1,000","$300,000",$302,"$2,348",$83
83201,"$60,000",$500,"$100,000",$402,"$3,400",$97
83201,"$60,000",$500,"$300,000",$423,"$3,415",$105
83201,"$60,000","$1,000","$100,000",$377,"$3,357",$91
83201,"$60,000","$1,000","$300,000",$398,"$3,372",$100
83202,"$20,000",$500,"$100,000",$229,"$1,788",$62
83202,"$20,000",$500,"$300,000",$248,"$1,803",$69
83202,"$20,000","$1,000","$100,000",$212,"$1,744",$57
83202,"$20,000","$1,000","$300,000",$230,"$1,759",$64
83202,"$40,000",$500,"$100,000",$306,"$2,377",$81
83202,"$40,000",$500,"$300,000",$326,"$2,392",$88
83202,"$40,000","$1,000","$100,000",$283,"$2,333",$75
83202,"$40,000","$1,000","$300,000",$303,"$2,348",$83
83202,"$60,000",$500,"$100,000",$404,"$3,400",$97
83202,"$60,000",$500,"$300,000",$425,"$3,415",$105
83202,"$60,000","$1,000","$100,000",$379,"$3,357",$91
83202,"$60,000","$1,000","$300,000",$400,"$3,372",$100
83203,"$20,000",$500,"$100,000",$400,"$3,372",$100
83203,"$20,000",$500,"$300,000",$400,"$3,372",$100
83203,"$20,000","$1,000","$100,000",$400,"$3,372",$100
83203,"$20,000","$1,000","$300,000",$400,"$3,372",$100
83203,"$40,000",$500,"$100,000",$400,"$3,372",$100
83203,"$40,000",$500,"$300,000",$400,"$3,372",$100
83203,"$40,000","$1,000","$100,000",$400,"$3,372",$100
83203,"$40,000","$1,000","$300,000",$400,"$3,372",$100
83203,"$60,000",$500,"$100,000",$400,"$3,372",$100
83203,"$60,000",$500,"$300,000",$400,"$3,372",$100
83203,"$60,000","$1,000","$100,000",$400,"$3,372",$100
83203,"$60,000","$1,000","$300,000",$400,"$3,372",$100
83204,"$20,000",$500,"$100,000",$228,"$1,788",$62
83204,"$20,000",$500,"$300,000",$247,"$1,803",$69
83204,"$20,000","$1,000","$100,000",$211,"$1,744",$57
83204,"$20,000","$1,000","$300,000",$230,"$1,759",$64
83204,"$40,000",$500,"$100,000",$305,"$2,377",$81
83204,"$40,000",$500,"$300,000",$326,"$2,392",$88
83204,"$40,000","$1,000","$100,000",$283,"$2,333",$75
83204,"$40,000","$1,000","$300,000",$303,"$2,348",$83
83204,"$60,000",$500,"$100,000",$404,"$3,400",$97
83204,"$60,000",$500,"$300,000",$425,"$3,415",$105
83204,"$60,000","$1,000","$100,000",$379,"$3,357",$91
83204,"$60,000","$1,000","$300,000",$400,"$3,372",$100
83205,"$20,000",$500,"$100,000",$232,"$1,788",$62
83205,"$20,000",$500,"$300,000",$252,"$1,803",$69
83205,"$20,000","$1,000","$100,000",$215,"$1,744",$57
83205,"$20,000","$1,000","$300,000",$233,"$1,759",$64
83205,"$40,000",$500,"$100,000",$312,"$2,377",$81
83205,"$40,000",$500,"$300,000",$332,"$2,392",$88
83205,"$40,000","$1,000","$100,000",$289,"$2,333",$75
