ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
60001,"$20,000",$500,"$100,000",$268,"$2,014",$71
60001,"$20,000",$500,"$300,000",$268,"$2,014",$71
60001,"$20,000","$1,000","$100,000",$268,"$2,014",$71
60001,"$20,000","$1,000","$300,000",$268,"$2,014",$71
60001,"$40,000",$500,"$100,000",$268,"$2,014",$71
60001,"$40,000",$500,"$300,000",$268,"$2,014",$71
60001,"$40,000","$1,000","$100,000",$268,"$2,014",$71
60001,"$40,000","$1,000","$300,000",$268,"$2,014",$71
60001,"$60,000",$500,"$100,000",$268,"$2,014",$71
60001,"$60,000",$500,"$300,000",$268,"$2,014",$71
60001,"$60,000","$1,000","$100,000",$268,"$2,014",$71
60001,"$60,000","$1,000","$300,000",$268,"$2,014",$71
60002,"$20,000",$500,"$100,000",$268,"$2,014",$71
60002,"$20,000",$500,"$300,000",$268,"$2,014",$71
60002,"$20,000","$1,000","$100,000",$227,"$1,649",$60
60002,"$20,000","$1,000","$300,000",$242,"$1,662",$66
60002,"$40,000",$500,"$100,000",$362,"$2,975",$89
60002,"$40,000",$500,"$300,000",$362,"$2,975",$89
60002,"$40,000","$1,000","$100,000",$309,"$2,441",$78
60002,"$40,000","$1,000","$300,000",$326,"$2,454",$85
60002,"$60,000",$500,"$100,000",$441,"$3,872",$99
60002,"$60,000",$500,"$300,000",$459,"$3,885",$106
60002,"$60,000","$1,000","$100,000",$396,"$3,192",$95
60002,"$60,000","$1,000","$300,000",$415,"$3,205",$102
60004,"$20,000",$500,"$100,000",$252,"$2,001",$66
60004,"$20,000",$500,"$300,000",$267,"$2,014",$73
60004,"$20,000","$1,000","$100,000",$226,"$1,649",$61
60004,"$20,000","$1,000","$300,000",$241,"$1,662",$68
60004,"$40,000",$500,"$100,000",$342,"$2,962",$85
60004,"$40,000",$500,"$300,000",$359,"$2,975",$92
60004,"$40,000","$1,000","$100,000",$307,"$2,441",$80
60004,"$40,000","$1,000","$300,000",$324,"$2,454",$87
60004,"$60,000",$500,"$100,000",$436,"$3,872",$102
60004,"$60,000",$500,"$300,000",$454,"$3,885",$109
60004,"$60,000","$1,000","$100,000",$392,"$3,192",$98
60004,"$60,000","$1,000","$300,000",$409,"$3,205",$105
60005,"$20,000",$500,"$100,000",$252,"$2,001",$66
60005,"$20,000",$500,"$300,000",$267,"$2,014",$73
60005,"$20,000","$1,000","$100,000",$226,"$1,649",$61
60005,"$20,000","$1,000","$300,000",$241,"$1,662",$68
60005,"$40,000",$500,"$100,000",$342,"$2,962",$85
60005,"$40,000",$500,"$300,000",$359,"$2,975",$92
60005,"$40,000","$1,000","$100,000",$323,"$2,454",$87
60005,"$40,000","$1,000","$300,000",$323,"$2,454",$87
60005,"$60,000",$500,"$100,000",$434,"$3,872",$102
60005,"$60,000",$500,"$300,000",$452,"$3,885",$109
60005,"$60,000","$1,000","$100,000",$391,"$3,192",$98
60005,"$60,000","$1,000","$300,000",$408,"$3,205",$105
60006,"$20,000",$500,"$100,000",$252,"$2,001",$66
60006,"$20,000",$500,"$300,000",$267,"$2,014",$73
60006,"$20,000","$1,000","$100,000",$226,"$1,649",$61
60006,"$20,000","$1,000","$300,000",$241,"$1,662",$68
60006,"$40,000",$500,"$100,000",$342,"$2,962",$85
60006,"$40,000",$500,"$300,000",$359,"$2,975",$92
60006,"$40,000","$1,000","$100,000",$307,"$2,441",$80
60006,"$40,000","$1,000","$300,000",$324,"$2,454",$87
60006,"$60,000",$500,"$100,000",$436,"$3,872",$102
60006,"$60,000",$500,"$300,000",$454,"$3,885",$109
60006,"$60,000","$1,000","$100,000",$392,"$3,192",$98
60006,"$60,000","$1,000","$300,000",$409,"$3,205",$105
60007,"$20,000",$500,"$100,000",$249,"$2,001",$66
60007,"$20,000",$500,"$300,000",$264,"$2,014",$73
60007,"$20,000","$1,000","$100,000",$223,"$1,649",$61
60007,"$20,000","$1,000","$300,000",$238,"$1,662",$68
60007,"$40,000",$500,"$100,000",$337,"$2,962",$85
60007,"$40,000",$500,"$300,000",$354,"$2,975",$92
60007,"$40,000","$1,000","$100,000",$302,"$2,441",$80
60007,"$40,000","$1,000","$300,000",$318,"$2,454",$87
60007,"$60,000",$500,"$100,000",$428,"$3,872",$102
60007,"$60,000",$500,"$300,000",$445,"$3,885",$109
60007,"$60,000","$1,000","$100,000",$384,"$3,192",$98
60007,"$60,000","$1,000","$300,000",$401,"$3,205",$105
60008,"$20,000",$500,"$100,000",$252,"$2,001",$66
60008,"$20,000",$500,"$300,000",$267,"$2,014",$73
60008,"$20,000","$1,000","$100,000",$226,"$1,649",$61
60008,"$20,000","$1,000","$300,000",$241,"$1,662",$68
60008,"$40,000",$500,"$100,000",$342,"$2,962",$85
60008,"$40,000",$500,"$300,000",$359,"$2,975",$92
60008,"$40,000","$1,000","$100,000",$307,"$2,441",$80
60008,"$40,000","$1,000","$300,000",$323,"$2,454",$87
60008,"$60,000",$500,"$100,000",$435,"$3,872",$102
60008,"$60,000",$500,"$300,000",$453,"$3,885",$109
60008,"$60,000","$1,000","$100,000",$391,"$3,192",$98
60008,"$60,000","$1,000","$300,000",$408,"$3,205",$105
60009,"$20,000",$500,"$100,000",$249,"$2,001",$66
60009,"$20,000",$500,"$300,000",$264,"$2,014",$73
60009,"$20,000","$1,000","$100,000",$223,"$1,649",$61
60009,"$20,000","$1,000","$300,000",$238,"$1,662",$68
60009,"$40,000",$500,"$100,000",$337,"$2,962",$85
60009,"$40,000",$500,"$300,000",$354,"$2,975",$92
60009,"$40,000","$1,000","$100,000",$302,"$2,441",$80
60009,"$40,000","$1,000","$300,000",$318,"$2,454",$87
60009,"$60,000",$500,"$100,000",$428,"$3,872",$102
60009,"$60,000",$500,"$300,000",$445,"$3,885",$109
60009,"$60,000","$1,000","$100,000",$384,"$3,192",$98
60009,"$60,000","$1,000","$300,000",$401,"$3,205",$105
60010,"$20,000",$500,"$100,000",$255,"$2,001",$66
60010,"$20,000",$500,"$300,000",$271,"$2,014",$73
60010,"$20,000","$1,000","$100,000",$229,"$1,649",$61
60010,"$20,000","$1,000","$300,000",$244,"$1,662",$68
60010,"$40,000",$500,"$100,000",$347,"$2,962",$85
60010,"$40,000",$500,"$300,000",$364,"$2,975",$92
60010,"$40,000","$1,000","$100,000",$311,"$2,441",$80
60010,"$40,000","$1,000","$300,000",$328,"$2,454",$87
60010,"$60,000",$500,"$100,000",$442,"$3,872",$102
60010,"$60,000",$500,"$300,000",$461,"$3,885",$109
60010,"$60,000","$1,000","$100,000",$398,"$3,192",$98
60010,"$60,000","$1,000","$300,000",$416,"$3,205",$105
60011,"$20,000",$500,"$100,000",$255,"$2,001",$66
60011,"$20,000",$500,"$300,000",$271,"$2,014",$73
60011,"$20,000","$1,000","$100,000",$229,"$1,649",$61
60011,"$20,000","$1,000","$300,000",$244,"$1,662",$68
60011,"$40,000",$500,"$100,000",$347,"$2,962",$85
60011,"$40,000",$500,"$300,000",$364,"$2,975",$92
60011,"$40,000","$1,000","$100,000",$311,"$2,441",$80
60011,"$40,000","$1,000","$300,000",$328,"$2,454",$87
60011,"$60,000",$500,"$100,000",$442,"$3,872",$102
60011,"$60,000",$500,"$300,000",$461,"$3,885",$109
60011,"$60,000","$1,000","$100,000",$398,"$3,192",$98
60011,"$60,000","$1,000","$300,000",$416,"$3,205",$105
60012,"$20,000",$500,"$100,000",$247,"$2,001",$64
60012,"$20,000",$500,"$300,000",$262,"$2,014",$71
60012,"$20,000","$1,000","$100,000",$222,"$1,649",$60
60012,"$20,000","$1,000","$300,000",$237,"$1,662",$67
60012,"$40,000",$500,"$100,000",$352,"$2,975",$90
60012,"$40,000",$500,"$300,000",$352,"$2,975",$90
60012,"$40,000","$1,000","$100,000",$301,"$2,441",$78
60012,"$40,000","$1,000","$300,000",$317,"$2,454",$85
60012,"$60,000",$500,"$100,000",$426,"$3,872",$99
60012,"$60,000",$500,"$300,000",$444,"$3,885",$106
60012,"$60,000","$1,000","$100,000",$383,"$3,192",$95
60012,"$60,000","$1,000","$300,000",$400,"$3,205",$102
60013,"$20,000",$500,"$100,000",$251,"$2,001",$64
60013,"$20,000",$500,"$300,000",$266,"$2,014",$71
60013,"$20,000","$1,000","$100,000",$225,"$1,649",$60
60013,"$20,000","$1,000","$300,000",$240,"$1,662",$67
60013,"$40,000",$500,"$100,000",$340,"$2,962",$83
60013,"$40,000",$500,"$300,000",$357,"$2,975",$90
60013,"$40,000","$1,000","$100,000",$304,"$2,441",$78
60013,"$40,000","$1,000","$300,000",$321,"$2,454",$85
60013,"$60,000",$500,"$100,000",$433,"$3,872",$99
60013,"$60,000",$500,"$300,000",$450,"$3,885",$106
60013,"$60,000","$1,000","$100,000",$388,"$3,192",$95
60013,"$60,000","$1,000","$300,000",$405,"$3,205",$102
60014,"$20,000",$500,"$100,000",$248,"$2,001",$64
60014,"$20,000",$500,"$300,000",$263,"$2,014",$71
60014,"$20,000","$1,000","$100,000",$223,"$1,649",$60
60014,"$20,000","$1,000","$300,000",$238,"$1,662",$67
60014,"$40,000",$500,"$100,000",$336,"$2,962",$83
60014,"$40,000",$500,"$300,000",$353,"$2,975",$90
60014,"$40,000","$1,000","$100,000",$301,"$2,441",$78
60014,"$40,000","$1,000","$300,000",$318,"$2,454",$85
60014,"$60,000",$500,"$100,000",$427,"$3,872",$99
60014,"$60,000",$500,"$300,000",$444,"$3,885",$106
60014,"$60,000","$1,000","$100,000",$383,"$3,192",$95
60014,"$60,000","$1,000","$300,000",$401,"$3,205",$102
60015,"$20,000",$500,"$100,000",$257,"$2,198",$64
60015,"$20,000",$500,"$300,000",$272,"$2,211",$71
60015,"$20,000","$1,000","$100,000",$230,"$1,813",$60
60015,"$20,000","$1,000","$300,000",$245,"$1,826",$66
60015,"$40,000",$500,"$100,000",$349,"$3,251",$83
60015,"$40,000",$500,"$300,000",$366,"$3,264",$89
60015,"$40,000","$1,000","$100,000",$312,"$2,680",$78
60015,"$40,000","$1,000","$300,000",$328,"$2,693",$85
60015,"$60,000",$500,"$100,000",$445,"$4,257",$99
60015,"$60,000",$500,"$300,000",$463,"$4,270",$106
60015,"$60,000","$1,000","$100,000",$398,"$3,507",$95
60015,"$60,000","$1,000","$300,000",$416,"$3,520",$102
60016,"$20,000",$500,"$100,000",$254,"$2,001",$66
60016,"$20,000",$500,"$300,000",$270,"$2,014",$73
60016,"$20,000","$1,000","$100,000",$228,"$1,649",$61
60016,"$20,000","$1,000","$300,000",$244,"$1,662",$68
60016,"$40,000",$500,"$100,000",$347,"$2,962",$85
60016,"$40,000",$500,"$300,000",$365,"$2,975",$92
60016,"$40,000","$1,000","$100,000",$312,"$2,441",$80
60016,"$40,000","$1,000","$300,000",$329,"$2,454",$87
60016,"$60,000",$500,"$100,000",$444,"$3,872",$102
60016,"$60,000",$500,"$300,000",$462,"$3,885",$109
60016,"$60,000","$1,000","$100,000",$400,"$3,192",$98
60016,"$60,000","$1,000","$300,000",$418,"$3,205",$105
60017,"$20,000",$500,"$100,000",$254,"$2,001",$66
60017,"$20,000",$500,"$300,000",$270,"$2,014",$73
60017,"$20,000","$1,000","$100,000",$228,"$1,649",$61
60017,"$20,000","$1,000","$300,000",$244,"$1,662",$68
60017,"$40,000",$500,"$100,000",$347,"$2,962",$85
60017,"$40,000",$500,"$300,000",$365,"$2,975",$92
60017,"$40,000","$1,000","$100,000",$312,"$2,441",$80
60017,"$40,000","$1,000","$300,000",$329,"$2,454",$87
60017,"$60,000",$500,"$100,000",$444,"$3,872",$102
60017,"$60,000",$500,"$300,000",$462,"$3,885",$109
60017,"$60,000","$1,000","$100,000",$400,"$3,192",$98
60017,"$60,000","$1,000","$300,000",$418,"$3,205",$105
60018,"$20,000",$500,"$100,000",$251,"$2,001",$66
60018,"$20,000",$500,"$300,000",$267,"$2,014",$73
60018,"$20,000","$1,000","$100,000",$226,"$1,649",$61
60018,"$20,000","$1,000","$300,000",$241,"$1,662",$68
60018,"$40,000",$500,"$100,000",$342,"$2,962",$85
60018,"$40,000",$500,"$300,000",$307,"$2,441",$80
60018,"$40,000","$1,000","$100,000",$307,"$2,441",$80
60018,"$40,000","$1,000","$300,000",$324,"$2,454",$87
60018,"$60,000",$500,"$100,000",$437,"$3,872",$102
60018,"$60,000",$500,"$300,000",$455,"$3,885",$109
60018,"$60,000","$1,000","$100,000",$393,"$3,192",$98
60018,"$60,000","$1,000","$300,000",$411,"$3,205",$105
60019,"$20,000",$500,"$100,000",$254,"$2,001",$66
60019,"$20,000",$500,"$300,000",$270,"$2,014",$73
60019,"$20,000","$1,000","$100,000",$228,"$1,649",$61
60019,"$20,000","$1,000","$300,000",$244,"$1,662",$68
60019,"$40,000",$500,"$100,000",$347,"$2,962",$85
60019,"$40,000",$500,"$300,000",$365,"$2,975",$92
60019,"$40,000","$1,000","$100,000",$312,"$2,441",$80
60019,"$40,000","$1,000","$300,000",$329,"$2,454",$87
60019,"$60,000",$500,"$100,000",$444,"$3,872",$102
60019,"$60,000",$500,"$300,000",$462,"$3,885",$109
60019,"$60,000","$1,000","$100,000",$400,"$3,192",$98
60019,"$60,000","$1,000","$300,000",$418,"$3,205",$105
60020,"$20,000",$500,"$100,000",$253,"$2,147",$64
60020,"$20,000",$500,"$300,000",$268,"$2,160",$71
60020,"$20,000","$1,000","$100,000",$227,"$1,770",$60
60020,"$20,000","$1,000","$300,000",$242,"$1,783",$66
60020,"$40,000",$500,"$100,000",$361,"$3,188",$89
60020,"$40,000",$500,"$300,000",$361,"$3,188",$89
60020,"$40,000","$1,000","$100,000",$309,"$2,616",$78
60020,"$40,000","$1,000","$300,000",$325,"$2,629",$85
60020,"$60,000",$500,"$100,000",$439,"$4,157",$99
60020,"$60,000",$500,"$300,000",$457,"$4,170",$106
60020,"$60,000","$1,000","$100,000",$395,"$3,426",$95
60020,"$60,000","$1,000","$300,000",$412,"$3,439",$102
60021,"$20,000",$500,"$100,000",$252,"$2,001",$64
60021,"$20,000",$500,"$300,000",$226,"$1,649",$60
60021,"$20,000","$1,000","$100,000",$226,"$1,649",$60
60021,"$20,000","$1,000","$300,000",$241,"$1,662",$67
60021,"$40,000",$500,"$100,000",$342,"$2,962",$83
60021,"$40,000",$500,"$300,000",$359,"$2,975",$90
60021,"$40,000","$1,000","$100,000",$306,"$2,441",$78
60021,"$40,000","$1,000","$300,000",$322,"$2,454",$85
60021,"$60,000",$500,"$100,000",$435,"$3,872",$99
60021,"$60,000",$500,"$300,000",$452,"$3,885",$106
60021,"$60,000","$1,000","$100,000",$390,"$3,192",$95
60021,"$60,000","$1,000","$300,000",$407,"$3,205",$102
60022,"$20,000",$500,"$100,000",$252,"$2,297",$66
60022,"$20,000",$500,"$300,000",$267,"$2,310",$73
60022,"$20,000","$1,000","$100,000",$240,"$1,906",$68
60022,"$20,000","$1,000","$300,000",$240,"$1,906",$68
60022,"$40,000",$500,"$100,000",$343,"$3,401",$85
60022,"$40,000",$500,"$300,000",$359,"$3,414",$92
60022,"$40,000","$1,000","$100,000",$306,"$2,803",$80
60022,"$40,000","$1,000","$300,000",$321,"$2,816",$87
60022,"$60,000",$500,"$100,000",$434,"$4,450",$102
60022,"$60,000",$500,"$300,000",$450,"$4,463",$109
60022,"$60,000","$1,000","$100,000",$388,"$3,667",$98
60022,"$60,000","$1,000","$300,000",$405,"$3,680",$105
60025,"$20,000",$500,"$100,000",$257,"$2,001",$66
60025,"$20,000",$500,"$300,000",$273,"$2,014",$73
60025,"$20,000","$1,000","$100,000",$230,"$1,649",$61
60025,"$20,000","$1,000","$300,000",$245,"$1,662",$68
60025,"$40,000",$500,"$100,000",$350,"$2,962",$85
60025,"$40,000",$500,"$300,000",$367,"$2,975",$92
60025,"$40,000","$1,000","$100,000",$313,"$2,441",$80
60025,"$40,000","$1,000","$300,000",$330,"$2,454",$87
60025,"$60,000",$500,"$100,000",$446,"$3,872",$102
60025,"$60,000",$500,"$300,000",$464,"$3,885",$109
60025,"$60,000","$1,000","$100,000",$401,"$3,192",$98
60025,"$60,000","$1,000","$300,000",$419,"$3,205",$105
60026,"$20,000",$500,"$100,000",$255,"$2,001",$66
60026,"$20,000",$500,"$300,000",$271,"$2,014",$73
60026,"$20,000","$1,000","$100,000",$229,"$1,649",$61
60026,"$20,000","$1,000","$300,000",$244,"$1,662",$68
60026,"$40,000",$500,"$100,000",$348,"$2,962",$85
60026,"$40,000",$500,"$300,000",$311,"$2,441",$80
60026,"$40,000","$1,000","$100,000",$311,"$2,441",$80
60026,"$40,000","$1,000","$300,000",$328,"$2,454",$87
60026,"$60,000",$500,"$100,000",$444,"$3,872",$102
60026,"$60,000",$500,"$300,000",$462,"$3,885",$109
60026,"$60,000","$1,000","$100,000",$399,"$3,192",$98
60026,"$60,000","$1,000","$300,000",$417,"$3,205",$105
60029,"$20,000",$500,"$100,000",$258,"$2,001",$66
60029,"$20,000",$500,"$300,000",$230,"$1,649",$61
60029,"$20,000","$1,000","$100,000",$230,"$1,649",$61
60029,"$20,000","$1,000","$300,000",$246,"$1,662",$68
60029,"$40,000",$500,"$100,000",$368,"$2,975",$92
60029,"$40,000",$500,"$300,000",$314,"$2,441",$80
60029,"$40,000","$1,000","$100,000",$331,"$2,454",$87
60029,"$40,000","$1,000","$300,000",$331,"$2,454",$87
60029,"$60,000",$500,"$100,000",$466,"$3,885",$109
60029,"$60,000",$500,"$300,000",$466,"$3,885",$109
60029,"$60,000","$1,000","$100,000",$402,"$3,192",$98
60029,"$60,000","$1,000","$300,000",$420,"$3,205",$105
60030,"$20,000",$500,"$100,000",$249,"$2,001",$64
60030,"$20,000",$500,"$300,000",$264,"$2,014",$71
60030,"$20,000","$1,000","$100,000",$223,"$1,649",$60
60030,"$20,000","$1,000","$300,000",$238,"$1,662",$66
60030,"$40,000",$500,"$100,000",$338,"$2,962",$83
60030,"$40,000",$500,"$300,000",$355,"$2,975",$89
60030,"$40,000","$1,000","$100,000",$320,"$2,454",$85
60030,"$40,000","$1,000","$300,000",$431,"$3,872",$99
60030,"$60,000",$500,"$100,000",$431,"$3,872",$99
60030,"$60,000",$500,"$300,000",$387,"$3,192",$95
60030,"$60,000","$1,000","$100,000",$405,"$3,205",$102
60030,"$60,000","$1,000","$300,000",$250,"$2,001",$64
60031,"$20,000",$500,"$100,000",$250,"$2,001",$64
60031,"$20,000",$500,"$300,000",$265,"$2,014",$71
60031,"$20,000","$1,000","$100,000",$224,"$1,649",$60
60031,"$20,000","$1,000","$300,000",$239,"$1,662",$66
60031,"$40,000",$500,"$100,000",$340,"$2,962",$83
60031,"$40,000",$500,"$300,000",$357,"$2,975",$89
60031,"$40,000","$1,000","$100,000",$305,"$2,441",$78
60031,"$40,000","$1,000","$300,000",$433,"$3,872",$99
60031,"$60,000",$500,"$100,000",$433,"$3,872",$99
60031,"$60,000",$500,"$300,000",$451,"$3,885",$106
60031,"$60,000","$1,000","$100,000",$407,"$3,205",$102
60031,"$60,000","$1,000","$300,000",$407,"$3,205",$102
60033,"$20,000",$500,"$100,000",$250,"$2,001",$64
60033,"$20,000",$500,"$300,000",$266,"$2,014",$71
60033,"$20,000","$1,000","$100,000",$240,"$1,662",$67
60033,"$20,000","$1,000","$300,000",$340,"$2,962",$83
60033,"$40,000",$500,"$100,000",$340,"$2,962",$83
60033,"$40,000",$500,"$300,000",$357,"$2,975",$90
60033,"$40,000","$1,000","$100,000",$305,"$2,441",$78
60033,"$40,000","$1,000","$300,000",$322,"$2,454",$85
60033,"$60,000",$500,"$100,000",$432,"$3,872",$99
60033,"$60,000",$500,"$300,000",$388,"$3,192",$95
60033,"$60,000","$1,000","$100,000",$406,"$3,205",$102
60033,"$60,000","$1,000","$300,000",$406,"$3,205",$102
60034,"$20,000",$500,"$100,000",$255,"$2,147",$64
60034,"$20,000",$500,"$300,000",$229,"$1,770",$60
60034,"$20,000","$1,000","$100,000",$229,"$1,770",$60
60034,"$20,000","$1,000","$300,000",$244,"$1,783",$67
60034,"$40,000",$500,"$100,000",$346,"$3,175",$83
60034,"$40,000",$500,"$300,000",$363,"$3,188",$90
60034,"$40,000","$1,000","$100,000",$310,"$2,616",$78
60034,"$40,000","$1,000","$300,000",$327,"$2,629",$85
60034,"$60,000",$500,"$100,000",$440,"$4,157",$99
60034,"$60,000",$500,"$300,000",$458,"$4,170",$106
60034,"$60,000","$1,000","$100,000",$395,"$3,426",$95
60034,"$60,000","$1,000","$300,000",$259,"$2,198",$64
60035,"$20,000",$500,"$100,000",$274,"$2,211",$71
60035,"$20,000",$500,"$300,000",$274,"$2,211",$71
60035,"$20,000","$1,000","$100,000",$231,"$1,813",$60
60035,"$20,000","$1,000","$300,000",$246,"$1,826",$66
60035,"$40,000",$500,"$100,000",$352,"$3,251",$83
60035,"$40,000",$500,"$300,000",$369,"$3,264",$89
60035,"$40,000","$1,000","$100,000",$314,"$2,680",$78
60035,"$40,000","$1,000","$300,000",$330,"$2,693",$85
60035,"$60,000",$500,"$100,000",$448,"$4,257",$99
60035,"$60,000",$500,"$300,000",$466,"$4,270",$106
60035,"$60,000","$1,000","$100,000",$401,"$3,507",$95
60035,"$60,000","$1,000","$300,000",$419,"$3,520",$102
60037,"$20,000",$500,"$100,000",$247,"$2,001",$64
60037,"$20,000",$500,"$300,000",$262,"$2,014",$71
60037,"$20,000","$1,000","$100,000",$222,"$1,649",$60
60037,"$20,000","$1,000","$300,000",$237,"$1,662",$66
60037,"$40,000",$500,"$100,000",$336,"$2,962",$83
60037,"$40,000",$500,"$300,000",$352,"$2,975",$89
60037,"$40,000","$1,000","$100,000",$301,"$2,441",$78
60037,"$40,000","$1,000","$300,000",$317,"$2,454",$85
60037,"$60,000",$500,"$100,000",$426,"$3,872",$99
60037,"$60,000",$500,"$300,000",$444,"$3,885",$106
60037,"$60,000","$1,000","$100,000",$383,"$3,192",$95
60037,"$60,000","$1,000","$300,000",$401,"$3,205",$102
60038,"$20,000",$500,"$100,000",$253,"$2,001",$66
60038,"$20,000",$500,"$300,000",$268,"$2,014",$73
60038,"$20,000","$1,000","$100,000",$227,"$1,649",$61
60038,"$20,000","$1,000","$300,000",$242,"$1,662",$68
60038,"$40,000",$500,"$100,000",$344,"$2,962",$85
60038,"$40,000",$500,"$300,000",$361,"$2,975",$92
60038,"$40,000","$1,000","$100,000",$308,"$2,441",$80
60038,"$40,000","$1,000","$300,000",$325,"$2,454",$87
60038,"$60,000",$500,"$100,000",$437,"$3,872",$102
60038,"$60,000",$500,"$300,000",$455,"$3,885",$109
60038,"$60,000","$1,000","$100,000",$393,"$3,192",$98
60038,"$60,000","$1,000","$300,000",$410,"$3,205",$105
60039,"$20,000",$500,"$100,000",$248,"$2,001",$64
60039,"$20,000",$500,"$300,000",$263,"$2,014",$71
60039,"$20,000","$1,000","$100,000",$223,"$1,649",$60
60039,"$20,000","$1,000","$300,000",$238,"$1,662",$67
60039,"$40,000",$500,"$100,000",$336,"$2,962",$83
60039,"$40,000",$500,"$300,000",$353,"$2,975",$90
60039,"$40,000","$1,000","$100,000",$301,"$2,441",$78
60039,"$40,000","$1,000","$300,000",$318,"$2,454",$85
60039,"$60,000",$500,"$100,000",$427,"$3,872",$99
60039,"$60,000",$500,"$300,000",$444,"$3,885",$106
60039,"$60,000","$1,000","$100,000",$383,"$3,192",$95
60039,"$60,000","$1,000","$300,000",$401,"$3,205",$102
60040,"$20,000",$500,"$100,000",$247,"$2,001",$64
60040,"$20,000",$500,"$300,000",$262,"$2,014",$71
60040,"$20,000","$1,000","$100,000",$222,"$1,649",$60
60040,"$20,000","$1,000","$300,000",$237,"$1,662",$66
60040,"$40,000",$500,"$100,000",$353,"$2,975",$89
60040,"$40,000",$500,"$300,000",$353,"$2,975",$89
60040,"$40,000","$1,000","$100,000",$301,"$2,441",$78
60040,"$40,000","$1,000","$300,000",$317,"$2,454",$85
60040,"$60,000",$500,"$100,000",$427,"$3,872",$99
60040,"$60,000",$500,"$300,000",$384,"$3,192",$95
60040,"$60,000","$1,000","$100,000",$384,"$3,192",$95
60040,"$60,000","$1,000","$300,000",$401,"$3,205",$102
60041,"$20,000",$500,"$100,000",$254,"$2,001",$64
60041,"$20,000",$500,"$300,000",$269,"$2,014",$71
60041,"$20,000","$1,000","$100,000",$243,"$1,662",$66
60041,"$20,000","$1,000","$300,000",$243,"$1,662",$66
60041,"$40,000",$500,"$100,000",$364,"$2,975",$89
60041,"$40,000",$500,"$300,000",$311,"$2,441",$78
60041,"$40,000","$1,000","$100,000",$311,"$2,441",$78
60041,"$40,000","$1,000","$300,000",$444,"$3,872",$99
60041,"$60,000",$500,"$100,000",$462,"$3,885",$106
60041,"$60,000",$500,"$300,000",$400,"$3,192",$95
60041,"$60,000","$1,000","$100,000",$400,"$3,192",$95
