ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
46001,"$20,000",$500,"$100,000",$233,$833,$59
46001,"$20,000",$500,"$300,000",$250,$854,$68
46001,"$20,000","$1,000","$100,000",$215,$773,$54
46001,"$20,000","$1,000","$300,000",$232,$794,$63
46001,"$40,000",$500,"$100,000",$320,"$1,251",$76
46001,"$40,000",$500,"$300,000",$339,"$1,272",$84
46001,"$40,000","$1,000","$100,000",$296,"$1,153",$71
46001,"$40,000","$1,000","$300,000",$314,"$1,174",$79
46001,"$60,000",$500,"$100,000",$412,"$1,683",$91
46001,"$60,000",$500,"$300,000",$432,"$1,704",$99
46001,"$60,000","$1,000","$100,000",$382,"$1,545",$86
46001,"$60,000","$1,000","$300,000",$402,"$1,566",$95
46011,"$20,000",$500,"$100,000",$242,$833,$59
46011,"$20,000",$500,"$300,000",$260,$854,$68
46011,"$20,000","$1,000","$100,000",$223,$773,$54
46011,"$20,000","$1,000","$300,000",$240,$794,$63
46011,"$40,000",$500,"$100,000",$337,"$1,251",$76
46011,"$40,000",$500,"$300,000",$356,"$1,272",$84
46011,"$40,000","$1,000","$100,000",$311,"$1,153",$71
46011,"$40,000","$1,000","$300,000",$329,"$1,174",$79
46011,"$60,000",$500,"$100,000",$436,"$1,683",$91
46011,"$60,000",$500,"$300,000",$456,"$1,704",$99
46011,"$60,000","$1,000","$100,000",$404,"$1,545",$86
46011,"$60,000","$1,000","$300,000",$423,"$1,566",$95
46012,"$20,000",$500,"$100,000",$240,$833,$59
46012,"$20,000",$500,"$300,000",$257,$854,$68
46012,"$20,000","$1,000","$100,000",$221,$773,$54
46012,"$20,000","$1,000","$300,000",$238,$794,$63
46012,"$40,000",$500,"$100,000",$332,"$1,251",$76
46012,"$40,000",$500,"$300,000",$351,"$1,272",$84
46012,"$40,000","$1,000","$100,000",$306,"$1,153",$71
46012,"$40,000","$1,000","$300,000",$324,"$1,174",$79
46012,"$60,000",$500,"$100,000",$428,"$1,683",$91
46012,"$60,000",$500,"$300,000",$448,"$1,704",$99
46012,"$60,000","$1,000","$100,000",$396,"$1,545",$86
46012,"$60,000","$1,000","$300,000",$416,"$1,566",$95
46013,"$20,000",$500,"$100,000",$242,$833,$59
46013,"$20,000",$500,"$300,000",$260,$854,$68
46013,"$20,000","$1,000","$100,000",$223,$773,$54
46013,"$20,000","$1,000","$300,000",$240,$794,$63
46013,"$40,000",$500,"$100,000",$337,"$1,251",$76
46013,"$40,000",$500,"$300,000",$356,"$1,272",$84
46013,"$40,000","$1,000","$100,000",$311,"$1,153",$71
46013,"$40,000","$1,000","$300,000",$329,"$1,174",$79
46013,"$60,000",$500,"$100,000",$436,"$1,683",$91
46013,"$60,000",$500,"$300,000",$456,"$1,704",$99
46013,"$60,000","$1,000","$100,000",$404,"$1,545",$86
46013,"$60,000","$1,000","$300,000",$423,"$1,566",$95
46014,"$20,000",$500,"$100,000",$242,$833,$59
46014,"$20,000",$500,"$300,000",$260,$854,$68
46014,"$20,000","$1,000","$100,000",$223,$773,$54
46014,"$20,000","$1,000","$300,000",$240,$794,$63
46014,"$40,000",$500,"$100,000",$337,"$1,251",$76
46014,"$40,000",$500,"$300,000",$356,"$1,272",$84
46014,"$40,000","$1,000","$100,000",$311,"$1,153",$71
46014,"$40,000","$1,000","$300,000",$329,"$1,174",$79
46014,"$60,000",$500,"$100,000",$436,"$1,683",$91
46014,"$60,000",$500,"$300,000",$456,"$1,704",$99
46014,"$60,000","$1,000","$100,000",$404,"$1,545",$86
46014,"$60,000","$1,000","$300,000",$423,"$1,566",$95
46015,"$20,000",$500,"$100,000",$242,$833,$59
46015,"$20,000",$500,"$300,000",$260,$854,$68
46015,"$20,000","$1,000","$100,000",$223,$773,$54
46015,"$20,000","$1,000","$300,000",$240,$794,$63
46015,"$40,000",$500,"$100,000",$337,"$1,251",$76
46015,"$40,000",$500,"$300,000",$356,"$1,272",$84
46015,"$40,000","$1,000","$100,000",$311,"$1,153",$71
46015,"$40,000","$1,000","$300,000",$329,"$1,174",$79
46015,"$60,000",$500,"$100,000",$436,"$1,683",$91
46015,"$60,000",$500,"$300,000",$456,"$1,704",$99
46015,"$60,000","$1,000","$100,000",$404,"$1,545",$86
46015,"$60,000","$1,000","$300,000",$423,"$1,566",$95
46016,"$20,000",$500,"$100,000",$238,$833,$59
46016,"$20,000",$500,"$300,000",$255,$854,$68
46016,"$20,000","$1,000","$100,000",$220,$773,$54
46016,"$20,000","$1,000","$300,000",$236,$794,$63
46016,"$40,000",$500,"$100,000",$330,"$1,251",$76
46016,"$40,000",$500,"$300,000",$348,"$1,272",$84
46016,"$40,000","$1,000","$100,000",$304,"$1,153",$71
46016,"$40,000","$1,000","$300,000",$322,"$1,174",$79
46016,"$60,000",$500,"$100,000",$425,"$1,683",$91
46016,"$60,000",$500,"$300,000",$445,"$1,704",$99
46016,"$60,000","$1,000","$100,000",$394,"$1,545",$86
46016,"$60,000","$1,000","$300,000",$413,"$1,566",$95
46017,"$20,000",$500,"$100,000",$242,$833,$59
46017,"$20,000",$500,"$300,000",$259,$854,$68
46017,"$20,000","$1,000","$100,000",$223,$773,$54
46017,"$20,000","$1,000","$300,000",$240,$794,$63
46017,"$40,000",$500,"$100,000",$336,"$1,251",$76
46017,"$40,000",$500,"$300,000",$355,"$1,272",$84
46017,"$40,000","$1,000","$100,000",$310,"$1,153",$71
46017,"$40,000","$1,000","$300,000",$328,"$1,174",$79
46017,"$60,000",$500,"$100,000",$434,"$1,683",$91
46017,"$60,000",$500,"$300,000",$454,"$1,704",$99
46017,"$60,000","$1,000","$100,000",$402,"$1,545",$86
46017,"$60,000","$1,000","$300,000",$422,"$1,566",$95
46018,"$20,000",$500,"$100,000",$242,$833,$59
46018,"$20,000",$500,"$300,000",$260,$854,$68
46018,"$20,000","$1,000","$100,000",$223,$773,$54
46018,"$20,000","$1,000","$300,000",$240,$794,$63
46018,"$40,000",$500,"$100,000",$337,"$1,251",$76
46018,"$40,000",$500,"$300,000",$356,"$1,272",$84
46018,"$40,000","$1,000","$100,000",$311,"$1,153",$71
46018,"$40,000","$1,000","$300,000",$329,"$1,174",$79
46018,"$60,000",$500,"$100,000",$436,"$1,683",$91
46018,"$60,000",$500,"$300,000",$456,"$1,704",$99
46018,"$60,000","$1,000","$100,000",$404,"$1,545",$86
46018,"$60,000","$1,000","$300,000",$423,"$1,566",$95
46030,"$20,000",$500,"$100,000",$230,$833,$59
46030,"$20,000",$500,"$300,000",$247,$854,$68
46030,"$20,000","$1,000","$100,000",$214,$773,$54
46030,"$20,000","$1,000","$300,000",$230,$794,$63
46030,"$40,000",$500,"$100,000",$317,"$1,251",$76
46030,"$40,000",$500,"$300,000",$335,"$1,272",$84
46030,"$40,000","$1,000","$100,000",$294,"$1,153",$70
46030,"$40,000","$1,000","$300,000",$312,"$1,174",$79
46030,"$60,000",$500,"$100,000",$409,"$1,683",$90
46030,"$60,000",$500,"$300,000",$429,"$1,704",$99
46030,"$60,000","$1,000","$100,000",$381,"$1,545",$86
46030,"$60,000","$1,000","$300,000",$401,"$1,566",$94
46031,"$20,000",$500,"$100,000",$229,$833,$59
46031,"$20,000",$500,"$300,000",$246,$854,$68
46031,"$20,000","$1,000","$100,000",$213,$773,$54
46031,"$20,000","$1,000","$300,000",$229,$794,$63
46031,"$40,000",$500,"$100,000",$315,"$1,251",$76
46031,"$40,000",$500,"$300,000",$333,"$1,272",$84
46031,"$40,000","$1,000","$100,000",$292,"$1,153",$70
46031,"$40,000","$1,000","$300,000",$310,"$1,174",$79
46031,"$60,000",$500,"$100,000",$406,"$1,683",$90
46031,"$60,000",$500,"$300,000",$425,"$1,704",$99
46031,"$60,000","$1,000","$100,000",$378,"$1,545",$86
46031,"$60,000","$1,000","$300,000",$397,"$1,566",$94
46032,"$20,000",$500,"$100,000",$234,$833,$59
46032,"$20,000",$500,"$300,000",$251,$854,$68
46032,"$20,000","$1,000","$100,000",$216,$773,$54
46032,"$20,000","$1,000","$300,000",$233,$794,$63
46032,"$40,000",$500,"$100,000",$324,"$1,251",$76
46032,"$40,000",$500,"$300,000",$342,"$1,272",$84
