ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
66002,"$20,000",$500,"$100,000",$302,"$1,864",$99
66002,"$20,000",$500,"$300,000",$314,"$1,874",$115
66002,"$20,000","$1,000","$100,000",$267,"$1,597",$90
66002,"$20,000","$1,000","$300,000",$278,"$1,607",$108
66002,"$40,000",$500,"$100,000",$453,"$2,987",$132
66002,"$40,000",$500,"$300,000",$467,"$2,997",$136
66002,"$40,000","$1,000","$100,000",$398,"$2,559",$122
66002,"$40,000","$1,000","$300,000",$412,"$2,569",$127
66002,"$60,000",$500,"$100,000",$614,"$4,130",$151
66002,"$60,000",$500,"$300,000",$629,"$4,140",$156
66002,"$60,000","$1,000","$100,000",$540,"$3,535",$141
66002,"$60,000","$1,000","$300,000",$556,"$3,545",$146
66006,"$20,000",$500,"$100,000",$297,"$1,864",$99
66006,"$20,000",$500,"$300,000",$309,"$1,874",$115
66006,"$20,000","$1,000","$100,000",$263,"$1,597",$90
66006,"$20,000","$1,000","$300,000",$274,"$1,607",$104
66006,"$40,000",$500,"$100,000",$445,"$2,987",$132
66006,"$40,000",$500,"$300,000",$459,"$2,997",$136
66006,"$40,000","$1,000","$100,000",$392,"$2,559",$122
66006,"$40,000","$1,000","$300,000",$405,"$2,569",$126
66006,"$60,000",$500,"$100,000",$603,"$4,130",$151
66006,"$60,000",$500,"$300,000",$618,"$4,140",$156
66006,"$60,000","$1,000","$100,000",$532,"$3,535",$141
66006,"$60,000","$1,000","$300,000",$546,"$3,545",$146
66007,"$20,000",$500,"$100,000",$297,"$1,864",$99
66007,"$20,000",$500,"$300,000",$308,"$1,874",$115
66007,"$20,000","$1,000","$100,000",$262,"$1,597",$90
66007,"$20,000","$1,000","$300,000",$274,"$1,607",$99
66007,"$40,000",$500,"$100,000",$443,"$2,987",$131
66007,"$40,000",$500,"$300,000",$457,"$2,997",$135
66007,"$40,000","$1,000","$100,000",$390,"$2,559",$121
66007,"$40,000","$1,000","$300,000",$404,"$2,569",$126
66007,"$60,000",$500,"$100,000",$599,"$4,130",$150
66007,"$60,000",$500,"$300,000",$614,"$4,140",$155
66007,"$60,000","$1,000","$100,000",$528,"$3,535",$140
66007,"$60,000","$1,000","$300,000",$543,"$3,545",$144
66008,"$20,000",$500,"$100,000",$299,"$1,864",$99
66008,"$20,000",$500,"$300,000",$310,"$1,874",$115
66008,"$20,000","$1,000","$100,000",$264,"$1,597",$90
66008,"$20,000","$1,000","$300,000",$276,"$1,607",$108
66008,"$40,000",$500,"$100,000",$447,"$2,987",$131
66008,"$40,000",$500,"$300,000",$460,"$2,997",$135
66008,"$40,000","$1,000","$100,000",$393,"$2,559",$122
66008,"$40,000","$1,000","$300,000",$407,"$2,569",$126
66008,"$60,000",$500,"$100,000",$605,"$4,130",$150
66008,"$60,000",$500,"$300,000",$620,"$4,140",$155
66008,"$60,000","$1,000","$100,000",$533,"$3,535",$140
66008,"$60,000","$1,000","$300,000",$548,"$3,545",$145
66010,"$20,000",$500,"$100,000",$300,"$1,864",$99
66010,"$20,000",$500,"$300,000",$312,"$1,874",$115
66010,"$20,000","$1,000","$100,000",$266,"$1,597",$90
66010,"$20,000","$1,000","$300,000",$277,"$1,607",$108
66010,"$40,000",$500,"$100,000",$450,"$2,987",$131
66010,"$40,000",$500,"$300,000",$464,"$2,997",$135
66010,"$40,000","$1,000","$100,000",$396,"$2,559",$122
66010,"$40,000","$1,000","$300,000",$410,"$2,569",$126
66010,"$60,000",$500,"$100,000",$610,"$4,130",$150
66010,"$60,000",$500,"$300,000",$625,"$4,140",$155
66010,"$60,000","$1,000","$100,000",$537,"$3,535",$140
66010,"$60,000","$1,000","$300,000",$552,"$3,545",$145
66012,"$20,000",$500,"$100,000",$300,"$1,864",$99
66012,"$20,000",$500,"$300,000",$312,"$1,874",$115
66012,"$20,000","$1,000","$100,000",$265,"$1,597",$90
66012,"$20,000","$1,000","$300,000",$277,"$1,607",$106
66012,"$40,000",$500,"$100,000",$449,"$2,987",$131
66012,"$40,000",$500,"$300,000",$463,"$2,997",$135
66012,"$40,000","$1,000","$100,000",$396,"$2,559",$122
66012,"$40,000","$1,000","$300,000",$409,"$2,569",$126
66012,"$60,000",$500,"$100,000",$609,"$4,130",$151
66012,"$60,000",$500,"$300,000",$624,"$4,140",$156
66012,"$60,000","$1,000","$100,000",$536,"$3,535",$141
66012,"$60,000","$1,000","$300,000",$552,"$3,545",$145
66013,"$20,000",$500,"$100,000",$299,"$1,864",$99
66013,"$20,000",$500,"$300,000",$311,"$1,874",$115
66013,"$20,000","$1,000","$100,000",$265,"$1,597",$90
66013,"$20,000","$1,000","$300,000",$277,"$1,607",$100
66013,"$40,000",$500,"$100,000",$448,"$2,987",$131
66013,"$40,000",$500,"$300,000",$462,"$2,997",$135
66013,"$40,000","$1,000","$100,000",$395,"$2,559",$122
66013,"$40,000","$1,000","$300,000",$408,"$2,569",$126
66013,"$60,000",$500,"$100,000",$606,"$4,130",$151
66013,"$60,000",$500,"$300,000",$622,"$4,140",$156
66013,"$60,000","$1,000","$100,000",$535,"$3,535",$141
66013,"$60,000","$1,000","$300,000",$550,"$3,545",$145
66014,"$20,000",$500,"$100,000",$301,"$1,864",$99
66014,"$20,000",$500,"$300,000",$312,"$1,874",$115
