ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
40003,"$20,000",$500,"$100,000",$298,"$3,426",$61
40003,"$20,000",$500,"$300,000",$318,"$3,528",$67
40003,"$20,000","$1,000","$100,000",$271,"$3,301",$55
40003,"$20,000","$1,000","$300,000",$291,"$3,403",$62
40003,"$40,000",$500,"$100,000",$436,"$4,911",$79
40003,"$40,000",$500,"$300,000",$397,$849,$85
40003,"$40,000","$1,000","$100,000",$396,"$4,711",$73
40003,"$40,000","$1,000","$300,000",$417,"$4,813",$80
40003,"$60,000",$500,"$100,000",$495,"$1,142",$95
40003,"$60,000",$500,"$300,000",$516,"$1,163",$102
40003,"$60,000","$1,000","$100,000",$445,"$1,066",$90
40003,"$60,000","$1,000","$300,000",$466,"$1,086",$96
40004,"$20,000",$500,"$100,000",$300,"$3,426",$61
40004,"$20,000",$500,"$300,000",$321,"$3,528",$67
40004,"$20,000","$1,000","$100,000",$273,"$3,301",$55
40004,"$20,000","$1,000","$300,000",$294,"$3,403",$62
40004,"$40,000",$500,"$100,000",$440,"$4,911",$79
40004,"$40,000",$500,"$300,000",$402,$822,$85
40004,"$40,000","$1,000","$100,000",$400,"$4,711",$73
40004,"$40,000","$1,000","$300,000",$422,"$4,813",$80
40004,"$60,000",$500,"$100,000",$500,"$1,106",$95
40004,"$60,000",$500,"$300,000",$522,"$1,126",$102
40004,"$60,000","$1,000","$100,000",$450,"$1,029",$90
40004,"$60,000","$1,000","$300,000",$472,"$1,050",$96
40006,"$20,000",$500,"$100,000",$298,"$3,426",$61
40006,"$20,000",$500,"$300,000",$319,"$3,528",$67
40006,"$20,000","$1,000","$100,000",$271,"$3,301",$55
40006,"$20,000","$1,000","$300,000",$292,"$3,403",$62
40006,"$40,000",$500,"$100,000",$437,"$4,911",$79
40006,"$40,000",$500,"$300,000",$399,$849,$85
40006,"$40,000","$1,000","$100,000",$397,"$4,711",$73
40006,"$40,000","$1,000","$300,000",$419,"$4,813",$80
40006,"$60,000",$500,"$100,000",$496,"$1,142",$95
40006,"$60,000",$500,"$300,000",$518,"$1,163",$102
40006,"$60,000","$1,000","$100,000",$446,"$1,066",$90
40006,"$60,000","$1,000","$300,000",$468,"$1,086",$96
40007,"$20,000",$500,"$100,000",$301,"$3,426",$61
40007,"$20,000",$500,"$300,000",$322,"$3,528",$67
40007,"$20,000","$1,000","$100,000",$274,"$3,301",$55
40007,"$20,000","$1,000","$300,000",$295,"$3,403",$62
40007,"$40,000",$500,"$100,000",$442,"$4,911",$79
40007,"$40,000",$500,"$300,000",$404,$849,$85
40007,"$40,000","$1,000","$100,000",$402,"$4,711",$73
40007,"$40,000","$1,000","$300,000",$424,"$4,813",$80
40007,"$60,000",$500,"$100,000",$502,"$1,142",$95
40007,"$60,000",$500,"$300,000",$524,"$1,163",$102
40007,"$60,000","$1,000","$100,000",$452,"$1,066",$90
40007,"$60,000","$1,000","$300,000",$474,"$1,086",$96
40008,"$20,000",$500,"$100,000",$300,"$3,426",$61
40008,"$20,000",$500,"$300,000",$321,"$3,528",$67
40008,"$20,000","$1,000","$100,000",$273,"$3,301",$55
40008,"$20,000","$1,000","$300,000",$294,"$3,403",$62
40008,"$40,000",$500,"$100,000",$441,"$4,911",$79
40008,"$40,000",$500,"$300,000",$403,$822,$85
40008,"$40,000","$1,000","$100,000",$401,"$4,711",$73
40008,"$40,000","$1,000","$300,000",$423,"$4,813",$80
40008,"$60,000",$500,"$100,000",$501,"$1,106",$95
40008,"$60,000",$500,"$300,000",$523,"$1,126",$102
40008,"$60,000","$1,000","$100,000",$451,"$1,029",$90
40008,"$60,000","$1,000","$300,000",$473,"$1,050",$96
40009,"$20,000",$500,"$100,000",$298,"$3,426",$59
40009,"$20,000",$500,"$300,000",$319,"$3,528",$65
40009,"$20,000","$1,000","$100,000",$272,"$3,301",$54
