ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
70001,"$20,000",$500,"$100,000",$659,"$3,232",$139
70001,"$20,000",$500,"$300,000",$688,"$3,275",$159
70001,"$20,000","$1,000","$100,000",$621,"$2,680",$146
70001,"$20,000","$1,000","$300,000",$948,"$1,918",$198
70001,"$40,000",$500,"$100,000",$948,"$1,918",$198
70001,"$40,000",$500,"$300,000",$976,"$1,984",$218
70001,"$40,000","$1,000","$100,000",$951,"$4,543",$179
70001,"$40,000","$1,000","$300,000",$980,"$4,586",$199
70001,"$60,000",$500,"$100,000","$1,280","$2,604",$240
70001,"$60,000",$500,"$300,000","$1,308","$2,669",$260
70001,"$60,000","$1,000","$100,000","$1,198","$2,504",$228
70001,"$60,000","$1,000","$300,000","$1,225","$2,569",$248
70002,"$20,000",$500,"$100,000",$676,"$3,232",$139
70002,"$20,000",$500,"$300,000",$704,"$3,275",$159
70002,"$20,000","$1,000","$100,000",$608,"$2,637",$126
70002,"$20,000","$1,000","$300,000",$636,"$2,680",$146
70002,"$40,000",$500,"$100,000",$984,"$1,918",$198
70002,"$40,000",$500,"$300,000","$1,012","$1,984",$218
70002,"$40,000","$1,000","$100,000",$981,"$4,543",$179
70002,"$40,000","$1,000","$300,000","$1,010","$4,586",$199
70002,"$60,000",$500,"$100,000","$1,334","$2,604",$240
70002,"$60,000",$500,"$300,000","$1,361","$2,669",$260
70002,"$60,000","$1,000","$100,000","$1,246","$2,504",$228
70002,"$60,000","$1,000","$300,000","$1,274","$2,569",$248
70003,"$20,000",$500,"$100,000",$663,"$3,232",$139
70003,"$20,000",$500,"$300,000",$691,"$3,275",$159
70003,"$20,000","$1,000","$100,000",$595,"$2,637",$126
70003,"$20,000","$1,000","$300,000",$624,"$2,680",$146
70003,"$40,000",$500,"$100,000",$956,"$1,918",$198
70003,"$40,000",$500,"$300,000",$984,"$1,984",$218
70003,"$40,000","$1,000","$100,000",$958,"$4,543",$179
70003,"$40,000","$1,000","$300,000",$986,"$4,586",$199
70003,"$60,000",$500,"$100,000","$1,292","$2,604",$240
70003,"$60,000",$500,"$300,000","$1,320","$2,669",$260
70003,"$60,000","$1,000","$100,000","$1,208","$2,504",$228
70003,"$60,000","$1,000","$300,000","$1,235","$2,569",$248
70004,"$20,000",$500,"$100,000",$676,"$3,232",$139
70004,"$20,000",$500,"$300,000",$704,"$3,275",$159
70004,"$20,000","$1,000","$100,000",$608,"$2,637",$126
70004,"$20,000","$1,000","$300,000",$636,"$2,680",$146
70004,"$40,000",$500,"$100,000",$984,"$1,918",$198
70004,"$40,000",$500,"$300,000","$1,012","$1,984",$218
70004,"$40,000","$1,000","$100,000",$981,"$4,543",$179
70004,"$40,000","$1,000","$300,000","$1,010","$4,586",$199
70004,"$60,000",$500,"$100,000","$1,334","$2,604",$240
70004,"$60,000",$500,"$300,000","$1,361","$2,669",$260
70004,"$60,000","$1,000","$100,000","$1,246","$2,504",$228
70004,"$60,000","$1,000","$300,000","$1,274","$2,569",$248
70005,"$20,000",$500,"$100,000",$668,"$3,232",$139
70005,"$20,000",$500,"$300,000",$697,"$3,275",$159
70005,"$20,000","$1,000","$100,000",$600,"$2,637",$126
70005,"$20,000","$1,000","$300,000",$629,"$2,680",$146
70005,"$40,000",$500,"$100,000",$968,"$1,918",$198
70005,"$40,000",$500,"$300,000",$996,"$1,984",$218
70005,"$40,000","$1,000","$100,000",$967,"$4,543",$179
70005,"$40,000","$1,000","$300,000",$996,"$4,586",$199
70005,"$60,000",$500,"$100,000","$1,310","$2,604",$240
70005,"$60,000",$500,"$300,000","$1,338","$2,669",$260
70005,"$60,000","$1,000","$100,000","$1,223","$2,504",$228
70005,"$60,000","$1,000","$300,000","$1,251","$2,569",$248
70006,"$20,000",$500,"$100,000",$669,"$3,232",$139
70006,"$20,000",$500,"$300,000",$698,"$3,275",$159
70006,"$20,000","$1,000","$100,000",$601,"$2,637",$126
70006,"$20,000","$1,000","$300,000",$630,"$2,680",$146
70006,"$40,000",$500,"$100,000",$970,"$1,918",$198
70006,"$40,000",$500,"$300,000",$998,"$1,984",$218
70006,"$40,000","$1,000","$100,000",$968,"$4,543",$179
70006,"$40,000","$1,000","$300,000",$997,"$4,586",$199
70006,"$60,000",$500,"$100,000","$1,313","$2,604",$240
70006,"$60,000",$500,"$300,000","$1,341","$2,669",$260
70006,"$60,000","$1,000","$100,000","$1,225","$2,504",$228
70006,"$60,000","$1,000","$300,000","$1,253","$2,569",$248
70009,"$20,000",$500,"$100,000",$676,"$3,232",$139
70009,"$20,000",$500,"$300,000",$704,"$3,275",$159
70009,"$20,000","$1,000","$100,000",$608,"$2,637",$126
70009,"$20,000","$1,000","$300,000",$636,"$2,680",$146
70009,"$40,000",$500,"$100,000",$984,"$1,918",$198
70009,"$40,000",$500,"$300,000","$1,012","$1,984",$218
70009,"$40,000","$1,000","$100,000",$981,"$4,543",$179
70009,"$40,000","$1,000","$300,000","$1,010","$4,586",$199
70009,"$60,000",$500,"$100,000","$1,334","$2,604",$240
70009,"$60,000",$500,"$300,000","$1,361","$2,669",$260
70009,"$60,000","$1,000","$100,000","$1,246","$2,504",$228
70009,"$60,000","$1,000","$300,000","$1,274","$2,569",$248
70010,"$20,000",$500,"$100,000",$676,"$3,232",$139
70010,"$20,000",$500,"$300,000",$704,"$3,275",$159
70010,"$20,000","$1,000","$100,000",$608,"$2,637",$126
70010,"$20,000","$1,000","$300,000",$636,"$2,680",$146
