ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
1001,"$20,000",$500,"$100,000",$262,$616,$115
1001,"$20,000",$500,"$300,000",$277,$632,$124
1001,"$20,000","$1,000","$100,000",$241,$565,$115
1001,"$20,000","$1,000","$300,000",$255,$581,$115
1001,"$40,000",$500,"$100,000",$439,"$1,053",$153
1001,"$40,000",$500,"$300,000",$457,"$1,069",$170
1001,"$40,000","$1,000","$100,000",$400,$966,$141
1001,"$40,000","$1,000","$300,000",$418,$982,$158
1001,"$60,000",$500,"$100,000",$610,"$1,465",$198
1001,"$60,000",$500,"$300,000",$631,"$1,481",$215
1001,"$60,000","$1,000","$100,000",$557,"$1,344",$187
1001,"$60,000","$1,000","$300,000",$576,"$1,360",$204
1002,"$20,000",$500,"$100,000",$264,$616,$115
1002,"$20,000",$500,"$300,000",$279,$632,$124
1002,"$20,000","$1,000","$100,000",$243,$565,$115
1002,"$20,000","$1,000","$300,000",$256,$581,$115
1002,"$40,000",$500,"$100,000",$443,"$1,053",$153
1002,"$40,000",$500,"$300,000",$461,"$1,069",$170
1002,"$40,000","$1,000","$100,000",$404,$966,$141
1002,"$40,000","$1,000","$300,000",$421,$982,$158
1002,"$60,000",$500,"$100,000",$616,"$1,465",$198
1002,"$60,000",$500,"$300,000",$637,"$1,481",$215
1002,"$60,000","$1,000","$100,000",$562,"$1,344",$187
1002,"$60,000","$1,000","$300,000",$581,"$1,360",$204
1003,"$20,000",$500,"$100,000",$264,$616,$115
1003,"$20,000",$500,"$300,000",$279,$632,$124
1003,"$20,000","$1,000","$100,000",$243,$565,$115
1003,"$20,000","$1,000","$300,000",$256,$581,$115
1003,"$40,000",$500,"$100,000",$443,"$1,053",$153
1003,"$40,000",$500,"$300,000",$461,"$1,069",$170
1003,"$40,000","$1,000","$100,000",$404,$966,$141
1003,"$40,000","$1,000","$300,000",$421,$982,$158
1003,"$60,000",$500,"$100,000",$616,"$1,465",$198
1003,"$60,000",$500,"$300,000",$637,"$1,481",$215
1003,"$60,000","$1,000","$100,000",$562,"$1,344",$187
1003,"$60,000","$1,000","$300,000",$581,"$1,360",$204
1004,"$20,000",$500,"$100,000",$264,$616,$115
1004,"$20,000",$500,"$300,000",$279,$632,$124
1004,"$20,000","$1,000","$100,000",$243,$565,$115
1004,"$20,000","$1,000","$300,000",$256,$581,$115
1004,"$40,000",$500,"$100,000",$443,"$1,053",$153
