ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
20588,"$20,000",$500,"$100,000",$590,"$1,467",$133
20588,"$20,000",$500,"$300,000",$590,"$1,467",$133
20588,"$20,000","$1,000","$100,000",$590,"$1,467",$133
20588,"$20,000","$1,000","$300,000",$590,"$1,467",$133
20588,"$40,000",$500,"$100,000",$590,"$1,467",$133
20588,"$40,000",$500,"$300,000",$590,"$1,467",$133
20588,"$40,000","$1,000","$100,000",$590,"$1,467",$133
20588,"$40,000","$1,000","$300,000",$590,"$1,467",$133
20588,"$60,000",$500,"$100,000",$590,"$1,467",$133
20588,"$60,000",$500,"$300,000",$590,"$1,467",$133
20588,"$60,000","$1,000","$100,000",$590,"$1,467",$133
20588,"$60,000","$1,000","$300,000",$590,"$1,467",$133
20601,"$20,000",$500,"$100,000",$192,$319,$95
20601,"$20,000",$500,"$300,000",$207,$373,$110
20601,"$20,000","$1,000","$100,000",$175,$296,$87
20601,"$20,000","$1,000","$300,000",$190,$345,$101
20601,"$40,000",$500,"$100,000",$271,$410,$125
20601,"$40,000",$500,"$300,000",$287,$461,$139
20601,"$40,000","$1,000","$100,000",$246,$387,$116
20601,"$40,000","$1,000","$300,000",$262,$432,$130
20601,"$60,000",$500,"$100,000",$357,$554,$152
20601,"$60,000",$500,"$300,000",$375,$582,$166
20601,"$60,000","$1,000","$100,000",$324,$501,$143
20601,"$60,000","$1,000","$300,000",$342,$529,$158
20602,"$20,000",$500,"$100,000",$192,$319,$95
20602,"$20,000",$500,"$300,000",$207,$373,$110
20602,"$20,000","$1,000","$100,000",$175,$296,$87
20602,"$20,000","$1,000","$300,000",$190,$345,$101
20602,"$40,000",$500,"$100,000",$271,$410,$125
20602,"$40,000",$500,"$300,000",$288,$461,$139
20602,"$40,000","$1,000","$100,000",$246,$387,$116
20602,"$40,000","$1,000","$300,000",$262,$432,$130
20602,"$60,000",$500,"$100,000",$358,$554,$152
20602,"$60,000",$500,"$300,000",$375,$582,$166
20602,"$60,000","$1,000","$100,000",$325,$501,$143
20602,"$60,000","$1,000","$300,000",$342,$529,$158
20603,"$20,000",$500,"$100,000",$191,$319,$95
20603,"$20,000",$500,"$300,000",$206,$373,$110
20603,"$20,000","$1,000","$100,000",$174,$296,$87
20603,"$20,000","$1,000","$300,000",$188,$345,$101
20603,"$40,000",$500,"$100,000",$269,$410,$125
20603,"$40,000",$500,"$300,000",$286,$461,$139
20603,"$40,000","$1,000","$100,000",$244,$387,$116
20603,"$40,000","$1,000","$300,000",$260,$432,$130
20603,"$60,000",$500,"$100,000",$355,$554,$152
20603,"$60,000",$500,"$300,000",$373,$582,$166
20603,"$60,000","$1,000","$100,000",$322,$501,$143
20603,"$60,000","$1,000","$300,000",$339,$529,$158
20604,"$20,000",$500,"$100,000",$192,$319,$95
20604,"$20,000",$500,"$300,000",$207,$373,$110
20604,"$20,000","$1,000","$100,000",$175,$296,$87
20604,"$20,000","$1,000","$300,000",$190,$345,$101
20604,"$40,000",$500,"$100,000",$271,$410,$125
20604,"$40,000",$500,"$300,000",$288,$461,$139
20604,"$40,000","$1,000","$100,000",$246,$387,$116
20604,"$40,000","$1,000","$300,000",$262,$432,$130
20604,"$60,000",$500,"$100,000",$358,$554,$152
20604,"$60,000",$500,"$300,000",$375,$582,$166
20604,"$60,000","$1,000","$100,000",$325,$501,$143
20604,"$60,000","$1,000","$300,000",$342,$529,$158
