ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
3901,"$20,000",$500,"$100,000",$212,"$1,165",$54
3901,"$20,000",$500,"$300,000",$227,"$1,165",$60
3901,"$20,000","$1,000","$100,000",$197,"$1,074",$49
3901,"$20,000","$1,000","$300,000",$211,"$1,074",$55
3901,"$40,000",$500,"$100,000",$332,"$1,914",$73
3901,"$40,000",$500,"$300,000",$349,"$1,914",$79
3901,"$40,000","$1,000","$100,000",$308,"$1,764",$68
3901,"$40,000","$1,000","$300,000",$325,"$1,764",$74
3901,"$60,000",$500,"$100,000",$455,"$2,674",$91
3901,"$60,000",$500,"$300,000",$473,"$2,674",$97
3901,"$60,000","$1,000","$100,000",$423,"$2,464",$87
3901,"$60,000","$1,000","$300,000",$440,"$2,464",$93
3902,"$20,000",$500,"$100,000",$212,"$1,165",$54
3902,"$20,000",$500,"$300,000",$227,"$1,165",$60
3902,"$20,000","$1,000","$100,000",$196,"$1,074",$49
3902,"$20,000","$1,000","$300,000",$210,"$1,074",$55
3902,"$40,000",$500,"$100,000",$331,"$1,914",$73
3902,"$40,000",$500,"$300,000",$348,"$1,914",$79
3902,"$40,000","$1,000","$100,000",$306,"$1,764",$68
3902,"$40,000","$1,000","$300,000",$322,"$1,764",$74
3902,"$60,000",$500,"$100,000",$452,"$2,674",$91
3902,"$60,000",$500,"$300,000",$470,"$2,674",$97
3902,"$60,000","$1,000","$100,000",$419,"$2,464",$87
3902,"$60,000","$1,000","$300,000",$437,"$2,464",$93
3903,"$20,000",$500,"$100,000",$205,"$1,165",$54
3903,"$20,000",$500,"$300,000",$220,"$1,165",$60
3903,"$20,000","$1,000","$100,000",$191,"$1,074",$49
3903,"$20,000","$1,000","$300,000",$205,"$1,074",$55
3903,"$40,000",$500,"$100,000",$319,"$1,914",$73
3903,"$40,000",$500,"$300,000",$336,"$1,914",$79
3903,"$40,000","$1,000","$100,000",$296,"$1,764",$68
3903,"$40,000","$1,000","$300,000",$313,"$1,764",$74
3903,"$60,000",$500,"$100,000",$436,"$2,674",$91
3903,"$60,000",$500,"$300,000",$454,"$2,674",$97
3903,"$60,000","$1,000","$100,000",$404,"$2,464",$87
3903,"$60,000","$1,000","$300,000",$423,"$2,464",$93
3904,"$20,000",$500,"$100,000",$205,"$1,165",$54
3904,"$20,000",$500,"$300,000",$220,"$1,165",$60
3904,"$20,000","$1,000","$100,000",$190,"$1,074",$49
3904,"$20,000","$1,000","$300,000",$205,"$1,074",$55
3904,"$40,000",$500,"$100,000",$319,"$1,914",$73
3904,"$40,000",$500,"$300,000",$335,"$1,914",$79
3904,"$40,000","$1,000","$100,000",$295,"$1,764",$68
