ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
48001,"$20,000",$500,"$100,000",$351,"$1,393",$24
48001,"$20,000",$500,"$300,000",$370,"$1,429",$24
48001,"$20,000","$1,000","$100,000",$317,"$1,288",$24
48001,"$20,000","$1,000","$300,000",$336,"$1,324",$24
48001,"$40,000",$500,"$100,000",$529,"$2,096",$25
48001,"$40,000",$500,"$300,000",$548,"$2,132",$25
48001,"$40,000","$1,000","$100,000",$481,"$1,924",$25
48001,"$40,000","$1,000","$300,000",$500,"$1,960",$25
48001,"$60,000",$500,"$100,000",$696,"$2,797",$26
48001,"$60,000",$500,"$300,000",$715,"$2,833",$26
48001,"$60,000","$1,000","$100,000",$636,"$2,557",$25
48001,"$60,000","$1,000","$300,000",$654,"$2,593",$25
48002,"$20,000",$500,"$100,000",$405,"$1,700",$24
48002,"$20,000",$500,"$300,000",$424,"$1,702",$24
48002,"$20,000","$1,000","$100,000",$366,"$1,588",$24
48002,"$20,000","$1,000","$300,000",$384,"$1,590",$24
48002,"$40,000",$500,"$100,000",$618,"$2,887",$25
48002,"$40,000",$500,"$300,000",$636,"$2,889",$25
48002,"$40,000","$1,000","$100,000",$561,"$2,703",$25
48002,"$40,000","$1,000","$300,000",$580,"$2,705",$25
48002,"$60,000",$500,"$100,000",$813,"$4,000",$26
48002,"$60,000",$500,"$300,000",$832,"$4,002",$26
48002,"$60,000","$1,000","$100,000",$742,"$3,746",$25
48002,"$60,000","$1,000","$300,000",$761,"$3,748",$25
48003,"$20,000",$500,"$100,000",$381,"$1,393",$24
48003,"$20,000",$500,"$300,000",$400,"$1,429",$24
48003,"$20,000","$1,000","$100,000",$344,"$1,288",$24
48003,"$20,000","$1,000","$300,000",$362,"$1,324",$24
48003,"$40,000",$500,"$100,000",$577,"$2,096",$25
48003,"$40,000",$500,"$300,000",$596,"$2,132",$25
48003,"$40,000","$1,000","$100,000",$524,"$1,924",$25
48003,"$40,000","$1,000","$300,000",$542,"$1,960",$25
48003,"$60,000",$500,"$100,000",$757,"$2,846",$26
48003,"$60,000",$500,"$300,000",$776,"$2,848",$26
48003,"$60,000","$1,000","$100,000",$690,"$2,666",$25
48003,"$60,000","$1,000","$300,000",$709,"$2,668",$25
48004,"$20,000",$500,"$100,000",$376,"$1,700",$24
48004,"$20,000",$500,"$300,000",$394,"$1,702",$24
48004,"$20,000","$1,000","$100,000",$340,"$1,588",$24
48004,"$20,000","$1,000","$300,000",$358,"$1,590",$24
48004,"$40,000",$500,"$100,000",$573,"$2,887",$25
48004,"$40,000",$500,"$300,000",$591,"$2,889",$25
48004,"$40,000","$1,000","$100,000",$522,"$2,703",$25
48004,"$40,000","$1,000","$300,000",$540,"$2,705",$25
48004,"$60,000",$500,"$100,000",$756,"$4,000",$26
48004,"$60,000",$500,"$300,000",$775,"$4,002",$26
48004,"$60,000","$1,000","$100,000",$692,"$3,746",$25
48004,"$60,000","$1,000","$300,000",$711,"$3,748",$25
48005,"$20,000",$500,"$100,000",$394,"$1,618",$24
48005,"$20,000",$500,"$300,000",$413,"$1,660",$24
48005,"$20,000","$1,000","$100,000",$356,"$1,495",$24
48005,"$20,000","$1,000","$300,000",$374,"$1,537",$24
48005,"$40,000",$500,"$100,000",$597,"$2,471",$25
48005,"$40,000",$500,"$300,000",$616,"$2,483",$25
48005,"$40,000","$1,000","$100,000",$542,"$2,314",$25
48005,"$40,000","$1,000","$300,000",$561,"$2,316",$25
48005,"$60,000",$500,"$100,000",$785,"$3,423",$26
48005,"$60,000",$500,"$300,000",$803,"$3,425",$26
48005,"$60,000","$1,000","$100,000",$715,"$3,206",$26
48005,"$60,000","$1,000","$300,000",$733,"$3,208",$26
48006,"$20,000",$500,"$100,000",$362,"$1,786",$24
48006,"$20,000",$500,"$300,000",$381,"$1,788",$24
48006,"$20,000","$1,000","$100,000",$328,"$1,668",$24
48006,"$20,000","$1,000","$300,000",$346,"$1,670",$24
48006,"$40,000",$500,"$100,000",$552,"$3,034",$25
48006,"$40,000",$500,"$300,000",$570,"$3,036",$25
48006,"$40,000","$1,000","$100,000",$503,"$2,840",$25
48006,"$40,000","$1,000","$300,000",$521,"$2,842",$25
48006,"$60,000",$500,"$100,000",$728,"$4,204",$26
48006,"$60,000",$500,"$300,000",$746,"$4,206",$26
48006,"$60,000","$1,000","$100,000",$666,"$3,937",$25
48006,"$60,000","$1,000","$300,000",$685,"$3,939",$25
48007,"$20,000",$500,"$100,000",$328,"$1,393",$24
48007,"$20,000",$500,"$300,000",$346,"$1,429",$24
48007,"$20,000","$1,000","$100,000",$297,"$1,288",$24
48007,"$20,000","$1,000","$300,000",$315,"$1,324",$24
48007,"$40,000",$500,"$100,000",$495,"$2,178",$25
48007,"$40,000",$500,"$300,000",$513,"$2,180",$25
48007,"$40,000","$1,000","$100,000",$449,"$2,039",$25
48007,"$40,000","$1,000","$300,000",$468,"$2,041",$25
48007,"$60,000",$500,"$100,000",$649,"$3,016",$26
48007,"$60,000",$500,"$300,000",$668,"$3,018",$26
48007,"$60,000","$1,000","$100,000",$592,"$2,825",$25
48007,"$60,000","$1,000","$300,000",$611,"$2,827",$25
48009,"$20,000",$500,"$100,000",$332,"$1,340",$24
48009,"$20,000",$500,"$300,000",$350,"$1,374",$24
48009,"$20,000","$1,000","$100,000",$300,"$1,239",$24
48009,"$20,000","$1,000","$300,000",$318,"$1,273",$24
48009,"$40,000",$500,"$100,000",$500,"$2,214",$25
48009,"$40,000",$500,"$300,000",$519,"$2,216",$25
48009,"$40,000","$1,000","$100,000",$454,"$2,073",$25
48009,"$40,000","$1,000","$300,000",$473,"$2,075",$25
48009,"$60,000",$500,"$100,000",$657,"$3,067",$25
48009,"$60,000",$500,"$300,000",$675,"$3,069",$25
48009,"$60,000","$1,000","$100,000",$600,"$2,873",$25
48009,"$60,000","$1,000","$300,000",$618,"$2,875",$25
48012,"$20,000",$500,"$100,000",$332,"$1,340",$24
48012,"$20,000",$500,"$300,000",$350,"$1,374",$24
48012,"$20,000","$1,000","$100,000",$300,"$1,239",$24
48012,"$20,000","$1,000","$300,000",$318,"$1,273",$24
48012,"$40,000",$500,"$100,000",$500,"$2,214",$25
48012,"$40,000",$500,"$300,000",$519,"$2,216",$25
48012,"$40,000","$1,000","$100,000",$454,"$2,073",$25
48012,"$40,000","$1,000","$300,000",$473,"$2,075",$25
48012,"$60,000",$500,"$100,000",$657,"$3,067",$25
48012,"$60,000",$500,"$300,000",$675,"$3,069",$25
48012,"$60,000","$1,000","$100,000",$600,"$2,873",$25
48012,"$60,000","$1,000","$300,000",$618,"$2,875",$25
48014,"$20,000",$500,"$100,000",$382,"$1,393",$24
48014,"$20,000",$500,"$300,000",$401,"$1,429",$24
48014,"$20,000","$1,000","$100,000",$344,"$1,288",$24
48014,"$20,000","$1,000","$300,000",$363,"$1,324",$24
48014,"$40,000",$500,"$100,000",$578,"$2,096",$25
48014,"$40,000",$500,"$300,000",$597,"$2,132",$25
48014,"$40,000","$1,000","$100,000",$524,"$1,924",$25
48014,"$40,000","$1,000","$300,000",$543,"$1,960",$25
48014,"$60,000",$500,"$100,000",$758,"$2,797",$26
48014,"$60,000",$500,"$300,000",$777,"$2,833",$26
48014,"$60,000","$1,000","$100,000",$690,"$2,557",$25
48014,"$60,000","$1,000","$300,000",$709,"$2,593",$25
48015,"$20,000",$500,"$100,000",$383,"$1,645",$24
48015,"$20,000",$500,"$300,000",$401,"$1,688",$24
48015,"$20,000","$1,000","$100,000",$346,"$1,520",$24
48015,"$20,000","$1,000","$300,000",$364,"$1,562",$24
48015,"$40,000",$500,"$100,000",$580,"$2,569",$25
48015,"$40,000",$500,"$300,000",$599,"$2,571",$25
48015,"$40,000","$1,000","$100,000",$528,"$2,405",$25
48015,"$40,000","$1,000","$300,000",$546,"$2,407",$25
48015,"$60,000",$500,"$100,000",$765,"$3,559",$26
48015,"$60,000",$500,"$300,000",$783,"$3,561",$26
48015,"$60,000","$1,000","$100,000",$699,"$3,333",$26
48015,"$60,000","$1,000","$300,000",$717,"$3,335",$26
48017,"$20,000",$500,"$100,000",$345,"$1,492",$24
48017,"$20,000",$500,"$300,000",$363,"$1,494",$24
48017,"$20,000","$1,000","$100,000",$313,"$1,394",$24
48017,"$20,000","$1,000","$300,000",$331,"$1,396",$24
48017,"$40,000",$500,"$100,000",$522,"$2,532",$25
48017,"$40,000",$500,"$300,000",$541,"$2,534",$25
48017,"$40,000","$1,000","$100,000",$476,"$2,371",$25
48017,"$40,000","$1,000","$300,000",$494,"$2,373",$25
48017,"$60,000",$500,"$100,000",$687,"$3,508",$26
48017,"$60,000",$500,"$300,000",$706,"$3,510",$26
48017,"$60,000","$1,000","$100,000",$629,"$3,286",$25
48017,"$60,000","$1,000","$300,000",$647,"$3,288",$25
48021,"$20,000",$500,"$100,000",$342,"$1,645",$24
48021,"$20,000",$500,"$300,000",$360,"$1,688",$24
48021,"$20,000","$1,000","$100,000",$309,"$1,520",$24
48021,"$20,000","$1,000","$300,000",$327,"$1,562",$24
48021,"$40,000",$500,"$100,000",$515,"$2,482",$25
48021,"$40,000",$500,"$300,000",$534,"$2,525",$25
48021,"$40,000","$1,000","$100,000",$469,"$2,276",$25
48021,"$40,000","$1,000","$300,000",$487,"$2,319",$25
48021,"$60,000",$500,"$100,000",$677,"$3,315",$26
48021,"$60,000",$500,"$300,000",$695,"$3,358",$26
48021,"$60,000","$1,000","$100,000",$619,"$3,030",$26
48021,"$60,000","$1,000","$300,000",$637,"$3,073",$26
48022,"$20,000",$500,"$100,000",$413,"$1,808",$24
48022,"$20,000",$500,"$300,000",$432,"$1,810",$24
48022,"$20,000","$1,000","$100,000",$373,"$1,688",$24
48022,"$20,000","$1,000","$300,000",$391,"$1,690",$24
48022,"$40,000",$500,"$100,000",$630,"$3,071",$25
48022,"$40,000",$500,"$300,000",$649,"$3,073",$25
48022,"$40,000","$1,000","$100,000",$573,"$2,874",$25
48022,"$40,000","$1,000","$300,000",$591,"$2,876",$25
48022,"$60,000",$500,"$100,000",$830,"$4,254",$26
48022,"$60,000",$500,"$300,000",$849,"$4,256",$26
48022,"$60,000","$1,000","$100,000",$758,"$3,985",$25
48022,"$60,000","$1,000","$300,000",$777,"$3,987",$25
48023,"$20,000",$500,"$100,000",$352,"$1,393",$24
48023,"$20,000",$500,"$300,000",$370,"$1,429",$24
48023,"$20,000","$1,000","$100,000",$318,"$1,288",$24
48023,"$20,000","$1,000","$300,000",$336,"$1,324",$24
48023,"$40,000",$500,"$100,000",$530,"$2,096",$25
48023,"$40,000",$500,"$300,000",$549,"$2,132",$25
48023,"$40,000","$1,000","$100,000",$482,"$1,924",$25
48023,"$40,000","$1,000","$300,000",$501,"$1,960",$25
48023,"$60,000",$500,"$100,000",$698,"$2,797",$26
48023,"$60,000",$500,"$300,000",$716,"$2,833",$26
48023,"$60,000","$1,000","$100,000",$637,"$2,557",$25
48023,"$60,000","$1,000","$300,000",$656,"$2,593",$25
48025,"$20,000",$500,"$100,000",$347,"$1,528",$24
48025,"$20,000",$500,"$300,000",$365,"$1,530",$24
48025,"$20,000","$1,000","$100,000",$314,"$1,427",$24
48025,"$20,000","$1,000","$300,000",$332,"$1,429",$24
48025,"$40,000",$500,"$100,000",$525,"$2,594",$25
48025,"$40,000",$500,"$300,000",$543,"$2,596",$25
48025,"$40,000","$1,000","$100,000",$477,"$2,428",$25
48025,"$40,000","$1,000","$300,000",$496,"$2,430",$25
48025,"$60,000",$500,"$100,000",$690,"$3,593",$26
48025,"$60,000",$500,"$300,000",$709,"$3,595",$26
48025,"$60,000","$1,000","$100,000",$631,"$3,365",$25
48025,"$60,000","$1,000","$300,000",$649,"$3,367",$25
48026,"$20,000",$500,"$100,000",$334,"$1,645",$24
48026,"$20,000",$500,"$300,000",$352,"$1,688",$24
48026,"$20,000","$1,000","$100,000",$302,"$1,520",$24
48026,"$20,000","$1,000","$300,000",$320,"$1,562",$24
48026,"$40,000",$500,"$100,000",$502,"$2,482",$25
48026,"$40,000",$500,"$300,000",$520,"$2,525",$25
48026,"$40,000","$1,000","$100,000",$456,"$2,276",$25
48026,"$40,000","$1,000","$300,000",$474,"$2,319",$25
48026,"$60,000",$500,"$100,000",$658,"$3,315",$26
48026,"$60,000",$500,"$300,000",$677,"$3,358",$26
48026,"$60,000","$1,000","$100,000",$601,"$3,030",$26
48026,"$60,000","$1,000","$300,000",$619,"$3,073",$26
48027,"$20,000",$500,"$100,000",$367,"$1,887",$24
48027,"$20,000",$500,"$300,000",$386,"$1,889",$24
48027,"$20,000","$1,000","$100,000",$333,"$1,762",$24
48027,"$20,000","$1,000","$300,000",$351,"$1,764",$24
48027,"$40,000",$500,"$100,000",$560,"$3,205",$25
48027,"$40,000",$500,"$300,000",$578,"$3,207",$25
48027,"$40,000","$1,000","$100,000",$510,"$3,000",$25
48027,"$40,000","$1,000","$300,000",$529,"$3,002",$25
48027,"$60,000",$500,"$100,000",$739,"$4,441",$26
48027,"$60,000",$500,"$300,000",$758,"$4,443",$26
48027,"$60,000","$1,000","$100,000",$677,"$4,159",$25
48027,"$60,000","$1,000","$300,000",$696,"$4,161",$25
48028,"$20,000",$500,"$100,000",$352,"$1,393",$24
48028,"$20,000",$500,"$300,000",$371,"$1,429",$24
48028,"$20,000","$1,000","$100,000",$318,"$1,288",$24
48028,"$20,000","$1,000","$300,000",$337,"$1,324",$24
48028,"$40,000",$500,"$100,000",$532,"$2,096",$25
48028,"$40,000",$500,"$300,000",$551,"$2,132",$25
48028,"$40,000","$1,000","$100,000",$484,"$1,924",$25
48028,"$40,000","$1,000","$300,000",$502,"$1,960",$25
48028,"$60,000",$500,"$100,000",$700,"$2,829",$26
