ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
55001,"$20,000",$500,"$100,000",$395,"$4,708",$58
55001,"$20,000",$500,"$300,000",$409,"$4,810",$59
55001,"$20,000","$1,000","$100,000",$354,"$4,326",$55
55001,"$20,000","$1,000","$300,000",$367,"$4,427",$56
55001,"$40,000",$500,"$100,000",$357,"$2,370",$117
55001,"$40,000",$500,"$300,000",$369,"$2,388",$120
55001,"$40,000","$1,000","$100,000",$313,"$1,881",$111
55001,"$40,000","$1,000","$300,000",$325,"$1,899",$115
55001,"$60,000",$500,"$100,000",$467,"$3,247",$136
55001,"$60,000",$500,"$300,000",$480,"$3,265",$140
55001,"$60,000","$1,000","$100,000",$410,"$2,576",$130
55001,"$60,000","$1,000","$300,000",$423,"$2,594",$134
55002,"$20,000",$500,"$100,000",$395,"$4,708",$58
55002,"$20,000",$500,"$300,000",$408,"$4,810",$59
55002,"$20,000","$1,000","$100,000",$354,"$4,326",$55
55002,"$20,000","$1,000","$300,000",$367,"$4,427",$56
55002,"$40,000",$500,"$100,000",$356,"$2,370",$120
55002,"$40,000",$500,"$300,000",$367,"$2,388",$124
55002,"$40,000","$1,000","$100,000",$312,"$1,881",$114
55002,"$40,000","$1,000","$300,000",$324,"$1,899",$118
55002,"$60,000",$500,"$100,000",$465,"$3,247",$140
55002,"$60,000",$500,"$300,000",$477,"$3,265",$144
55002,"$60,000","$1,000","$100,000",$408,"$2,576",$134
55002,"$60,000","$1,000","$300,000",$420,"$2,594",$138
55003,"$20,000",$500,"$100,000",$394,"$4,708",$58
55003,"$20,000",$500,"$300,000",$409,"$4,810",$59
55003,"$20,000","$1,000","$100,000",$353,"$4,326",$55
55003,"$20,000","$1,000","$300,000",$367,"$4,427",$56
55003,"$40,000",$500,"$100,000",$354,"$2,498",$115
55003,"$40,000",$500,"$300,000",$367,"$2,516",$119
55003,"$40,000","$1,000","$100,000",$310,"$1,982",$110
55003,"$40,000","$1,000","$300,000",$323,"$2,000",$114
55003,"$60,000",$500,"$100,000",$463,"$3,426",$134
55003,"$60,000",$500,"$300,000",$477,"$3,444",$138
55003,"$60,000","$1,000","$100,000",$406,"$2,718",$128
55003,"$60,000","$1,000","$300,000",$421,"$2,736",$132
55005,"$20,000",$500,"$100,000",$400,"$4,708",$58
55005,"$20,000",$500,"$300,000",$414,"$4,810",$59
55005,"$20,000","$1,000","$100,000",$358,"$4,326",$55
55005,"$20,000","$1,000","$300,000",$372,"$4,427",$56
55005,"$40,000",$500,"$100,000",$364,"$2,448",$117
55005,"$40,000",$500,"$300,000",$377,"$2,466",$123
55005,"$40,000","$1,000","$100,000",$319,"$1,942",$109
55005,"$40,000","$1,000","$300,000",$332,"$1,960",$115
55005,"$60,000",$500,"$100,000",$476,"$3,356",$138
55005,"$60,000",$500,"$300,000",$491,"$3,374",$144
55005,"$60,000","$1,000","$100,000",$418,"$2,661",$130
55005,"$60,000","$1,000","$300,000",$433,"$2,679",$136
55006,"$20,000",$500,"$100,000",$388,"$4,490",$56
55006,"$20,000",$500,"$300,000",$401,"$4,586",$57
55006,"$20,000","$1,000","$100,000",$348,"$4,127",$53
55006,"$20,000","$1,000","$300,000",$360,"$4,223",$54
55006,"$40,000",$500,"$100,000",$357,"$2,370",$121
55006,"$40,000",$500,"$300,000",$368,"$2,388",$124
55006,"$40,000","$1,000","$100,000",$313,"$1,881",$115
55006,"$40,000","$1,000","$300,000",$324,"$1,899",$118
55006,"$60,000",$500,"$100,000",$467,"$3,247",$142
55006,"$60,000",$500,"$300,000",$479,"$3,265",$146
55006,"$60,000","$1,000","$100,000",$409,"$2,576",$135
55006,"$60,000","$1,000","$300,000",$421,"$2,594",$139
55007,"$20,000",$500,"$100,000",$387,"$4,490",$56
55007,"$20,000",$500,"$300,000",$399,"$4,586",$57
55007,"$20,000","$1,000","$100,000",$346,"$4,127",$53
55007,"$20,000","$1,000","$300,000",$359,"$4,223",$54
55007,"$40,000",$500,"$100,000",$353,"$2,451",$115
55007,"$40,000",$500,"$300,000",$364,"$2,469",$123
55007,"$40,000","$1,000","$100,000",$308,"$1,945",$105
55007,"$40,000","$1,000","$300,000",$320,"$1,963",$117
55007,"$60,000",$500,"$100,000",$461,"$3,361",$139
55007,"$60,000",$500,"$300,000",$473,"$3,379",$143
55007,"$60,000","$1,000","$100,000",$403,"$2,667",$132
55007,"$60,000","$1,000","$300,000",$415,"$2,685",$137
55008,"$20,000",$500,"$100,000",$386,"$4,490",$56
55008,"$20,000",$500,"$300,000",$399,"$4,586",$57
55008,"$20,000","$1,000","$100,000",$346,"$4,127",$53
55008,"$20,000","$1,000","$300,000",$359,"$4,223",$54
55008,"$40,000",$500,"$100,000",$354,"$2,370",$121
55008,"$40,000",$500,"$300,000",$366,"$2,388",$125
55008,"$40,000","$1,000","$100,000",$311,"$1,881",$115
55008,"$40,000","$1,000","$300,000",$322,"$1,899",$119
55008,"$60,000",$500,"$100,000",$463,"$3,247",$142
55008,"$60,000",$500,"$300,000",$475,"$3,265",$146
55008,"$60,000","$1,000","$100,000",$406,"$2,576",$136
55008,"$60,000","$1,000","$300,000",$418,"$2,594",$139
55009,"$20,000",$500,"$100,000",$386,"$4,490",$56
55009,"$20,000",$500,"$300,000",$400,"$4,586",$57
55009,"$20,000","$1,000","$100,000",$346,"$4,127",$53
55009,"$20,000","$1,000","$300,000",$359,"$4,223",$54
55009,"$40,000",$500,"$100,000",$353,"$2,433",$116
55009,"$40,000",$500,"$300,000",$365,"$2,451",$120
55009,"$40,000","$1,000","$100,000",$309,"$1,932",$111
55009,"$40,000","$1,000","$300,000",$321,"$1,950",$114
55009,"$60,000",$500,"$100,000",$460,"$3,339",$135
55009,"$60,000",$500,"$300,000",$474,"$3,357",$139
55009,"$60,000","$1,000","$100,000",$403,"$2,649",$129
55009,"$60,000","$1,000","$300,000",$416,"$2,667",$133
