ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
63001,"$20,000",$500,"$100,000",$590,"$1,467",$133
63001,"$20,000",$500,"$300,000",$590,"$1,467",$133
63001,"$20,000","$1,000","$100,000",$590,"$1,467",$133
63001,"$20,000","$1,000","$300,000",$590,"$1,467",$133
63001,"$40,000",$500,"$100,000",$590,"$1,467",$133
63001,"$40,000",$500,"$300,000",$590,"$1,467",$133
63001,"$40,000","$1,000","$100,000",$590,"$1,467",$133
63001,"$40,000","$1,000","$300,000",$590,"$1,467",$133
63001,"$60,000",$500,"$100,000",$590,"$1,467",$133
63001,"$60,000",$500,"$300,000",$590,"$1,467",$133
63001,"$60,000","$1,000","$100,000",$590,"$1,467",$133
63001,"$60,000","$1,000","$300,000",$590,"$1,467",$133
63005,"$20,000",$500,"$100,000",$292,"$2,139",$71
63005,"$20,000",$500,"$300,000",$308,"$2,139",$77
63005,"$20,000","$1,000","$100,000",$262,"$1,848",$64
63005,"$20,000","$1,000","$300,000",$278,"$1,848",$70
63005,"$40,000",$500,"$100,000",$409,"$3,257",$93
63005,"$40,000",$500,"$300,000",$426,"$3,257",$99
63005,"$40,000","$1,000","$100,000",$367,"$2,814",$86
63005,"$40,000","$1,000","$300,000",$384,"$2,814",$92
63005,"$60,000",$500,"$100,000",$513,"$4,313",$113
63005,"$60,000",$500,"$300,000",$530,"$4,313",$119
63005,"$60,000","$1,000","$100,000",$462,"$3,726",$107
63005,"$60,000","$1,000","$300,000",$480,"$3,726",$113
63006,"$20,000",$500,"$100,000",$297,"$2,130",$71
63006,"$20,000",$500,"$300,000",$313,"$2,130",$77
63006,"$20,000","$1,000","$100,000",$266,"$1,842",$64
63006,"$20,000","$1,000","$300,000",$282,"$1,842",$70
63006,"$40,000",$500,"$100,000",$416,"$3,243",$93
63006,"$40,000",$500,"$300,000",$433,"$3,243",$99
63006,"$40,000","$1,000","$100,000",$373,"$2,802",$86
63006,"$40,000","$1,000","$300,000",$390,"$2,802",$92
63006,"$60,000",$500,"$100,000",$522,"$4,296",$113
63006,"$60,000",$500,"$300,000",$540,"$4,296",$119
63006,"$60,000","$1,000","$100,000",$471,"$3,711",$107
63006,"$60,000","$1,000","$300,000",$488,"$3,711",$113
63010,"$20,000",$500,"$100,000",$297,"$2,320",$70
63010,"$20,000",$500,"$300,000",$313,"$2,320",$76
63010,"$20,000","$1,000","$100,000",$266,"$2,005",$64
63010,"$20,000","$1,000","$300,000",$282,"$2,005",$70
63010,"$40,000",$500,"$100,000",$416,"$3,533",$92
63010,"$40,000",$500,"$300,000",$433,"$3,533",$98
63010,"$40,000","$1,000","$100,000",$373,"$3,052",$85
63010,"$40,000","$1,000","$300,000",$390,"$3,052",$91
63010,"$60,000",$500,"$100,000",$523,"$4,680",$111
63010,"$60,000",$500,"$300,000",$540,"$4,680",$117
63010,"$60,000","$1,000","$100,000",$471,"$4,043",$105
63010,"$60,000","$1,000","$300,000",$488,"$4,043",$111
63011,"$20,000",$500,"$100,000",$292,"$2,130",$71
63011,"$20,000",$500,"$300,000",$309,"$2,130",$77
63011,"$20,000","$1,000","$100,000",$262,"$1,842",$64
63011,"$20,000","$1,000","$300,000",$278,"$1,842",$70
63011,"$40,000",$500,"$100,000",$409,"$3,243",$93
63011,"$40,000",$500,"$300,000",$426,"$3,243",$99
63011,"$40,000","$1,000","$100,000",$367,"$2,802",$86
63011,"$40,000","$1,000","$300,000",$385,"$2,802",$92
63011,"$60,000",$500,"$100,000",$513,"$4,296",$113
63011,"$60,000",$500,"$300,000",$531,"$4,296",$119
63011,"$60,000","$1,000","$100,000",$463,"$3,711",$107
63011,"$60,000","$1,000","$300,000",$481,"$3,711",$113
63012,"$20,000",$500,"$100,000",$300,"$2,320",$70
63012,"$20,000",$500,"$300,000",$317,"$2,320",$76
63012,"$20,000","$1,000","$100,000",$269,"$2,005",$64
63012,"$20,000","$1,000","$300,000",$285,"$2,005",$70
63012,"$40,000",$500,"$100,000",$422,"$3,533",$92
63012,"$40,000",$500,"$300,000",$439,"$3,533",$98
63012,"$40,000","$1,000","$100,000",$378,"$3,052",$85
63012,"$40,000","$1,000","$300,000",$395,"$3,052",$91
63012,"$60,000",$500,"$100,000",$531,"$4,680",$111
63012,"$60,000",$500,"$300,000",$548,"$4,680",$117
63012,"$60,000","$1,000","$100,000",$478,"$4,043",$105
63012,"$60,000","$1,000","$300,000",$495,"$4,043",$111
63013,"$20,000",$500,"$100,000",$304,"$2,364",$70
63013,"$20,000",$500,"$300,000",$320,"$2,364",$76
63013,"$20,000","$1,000","$100,000",$272,"$2,043",$64
63013,"$20,000","$1,000","$300,000",$288,"$2,043",$70
63013,"$40,000",$500,"$100,000",$426,"$3,597",$92
63013,"$40,000",$500,"$300,000",$443,"$3,597",$98
63013,"$40,000","$1,000","$100,000",$382,"$3,109",$85
63013,"$40,000","$1,000","$300,000",$399,"$3,109",$91
63013,"$60,000",$500,"$100,000",$537,"$4,771",$111
63013,"$60,000",$500,"$300,000",$554,"$4,771",$117
63013,"$60,000","$1,000","$100,000",$483,"$4,122",$105
63013,"$60,000","$1,000","$300,000",$501,"$4,122",$111
63014,"$20,000",$500,"$100,000",$301,"$2,364",$70
63014,"$20,000",$500,"$300,000",$318,"$2,364",$76
63014,"$20,000","$1,000","$100,000",$270,"$2,043",$64
63014,"$20,000","$1,000","$300,000",$286,"$2,043",$70
63014,"$40,000",$500,"$100,000",$422,"$3,597",$92
63014,"$40,000",$500,"$300,000",$439,"$3,597",$98
63014,"$40,000","$1,000","$100,000",$379,"$3,109",$85
63014,"$40,000","$1,000","$300,000",$396,"$3,109",$91
63014,"$60,000",$500,"$100,000",$532,"$4,771",$111
63014,"$60,000",$500,"$300,000",$549,"$4,771",$117
63014,"$60,000","$1,000","$100,000",$479,"$4,122",$105
63014,"$60,000","$1,000","$300,000",$496,"$4,122",$111
63015,"$20,000",$500,"$100,000",$297,"$2,364",$70
63015,"$20,000",$500,"$300,000",$313,"$2,364",$76
63015,"$20,000","$1,000","$100,000",$266,"$2,043",$64
63015,"$20,000","$1,000","$300,000",$282,"$2,043",$70
63015,"$40,000",$500,"$100,000",$416,"$3,597",$92
63015,"$40,000",$500,"$300,000",$433,"$3,597",$98
63015,"$40,000","$1,000","$100,000",$373,"$3,109",$85
63015,"$40,000","$1,000","$300,000",$390,"$3,109",$91
63015,"$60,000",$500,"$100,000",$524,"$4,771",$111
63015,"$60,000",$500,"$300,000",$541,"$4,771",$117
63015,"$60,000","$1,000","$100,000",$471,"$4,122",$105
63015,"$60,000","$1,000","$300,000",$489,"$4,122",$111
63016,"$20,000",$500,"$100,000",$300,"$2,320",$70
63016,"$20,000",$500,"$300,000",$317,"$2,320",$76
63016,"$20,000","$1,000","$100,000",$269,"$2,005",$64
63016,"$20,000","$1,000","$300,000",$285,"$2,005",$70
63016,"$40,000",$500,"$100,000",$422,"$3,533",$92
63016,"$40,000",$500,"$300,000",$438,"$3,533",$98
63016,"$40,000","$1,000","$100,000",$378,"$3,052",$85
63016,"$40,000","$1,000","$300,000",$395,"$3,052",$91
63016,"$60,000",$500,"$100,000",$531,"$4,680",$111
63016,"$60,000",$500,"$300,000",$548,"$4,680",$117
63016,"$60,000","$1,000","$100,000",$478,"$4,043",$105
63016,"$60,000","$1,000","$300,000",$495,"$4,043",$111
63017,"$20,000",$500,"$100,000",$292,"$2,130",$71
63017,"$20,000",$500,"$300,000",$309,"$2,130",$77
63017,"$20,000","$1,000","$100,000",$262,"$1,842",$64
63017,"$20,000","$1,000","$300,000",$278,"$1,842",$70
63017,"$40,000",$500,"$100,000",$409,"$3,243",$93
63017,"$40,000",$500,"$300,000",$426,"$3,243",$99
63017,"$40,000","$1,000","$100,000",$367,"$2,802",$86
63017,"$40,000","$1,000","$300,000",$384,"$2,802",$92
63017,"$60,000",$500,"$100,000",$513,"$4,296",$113
63017,"$60,000",$500,"$300,000",$531,"$4,296",$119
63017,"$60,000","$1,000","$100,000",$463,"$3,711",$107
63017,"$60,000","$1,000","$300,000",$480,"$3,711",$113
63019,"$20,000",$500,"$100,000",$319,"$2,320",$70
63019,"$20,000",$500,"$300,000",$335,"$2,320",$76
63019,"$20,000","$1,000","$100,000",$285,"$2,005",$64
63019,"$20,000","$1,000","$300,000",$301,"$2,005",$70
63019,"$40,000",$500,"$100,000",$445,"$3,533",$92
63019,"$40,000",$500,"$300,000",$462,"$3,533",$98
63019,"$40,000","$1,000","$100,000",$399,"$3,052",$85
63019,"$40,000","$1,000","$300,000",$416,"$3,052",$91
63019,"$60,000",$500,"$100,000",$556,"$4,680",$111
63019,"$60,000",$500,"$300,000",$574,"$4,680",$117
63019,"$60,000","$1,000","$100,000",$501,"$4,043",$105
63019,"$60,000","$1,000","$300,000",$518,"$4,043",$111
63020,"$20,000",$500,"$100,000",$320,"$2,364",$70
63020,"$20,000",$500,"$300,000",$336,"$2,364",$76
63020,"$20,000","$1,000","$100,000",$286,"$2,043",$64
63020,"$20,000","$1,000","$300,000",$302,"$2,043",$70
63020,"$40,000",$500,"$100,000",$447,"$3,597",$92
63020,"$40,000",$500,"$300,000",$464,"$3,597",$98
63020,"$40,000","$1,000","$100,000",$401,"$3,109",$85
63020,"$40,000","$1,000","$300,000",$418,"$3,109",$91
63020,"$60,000",$500,"$100,000",$559,"$4,771",$111
63020,"$60,000",$500,"$300,000",$577,"$4,771",$117
63020,"$60,000","$1,000","$100,000",$503,"$4,122",$105
63020,"$60,000","$1,000","$300,000",$521,"$4,122",$111
63021,"$20,000",$500,"$100,000",$292,"$2,139",$71
63021,"$20,000",$500,"$300,000",$309,"$2,139",$77
