ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
38601,"$20,000",$500,"$100,000",$388,"$1,376",$32
38601,"$20,000",$500,"$300,000",$407,"$1,393",$37
38601,"$20,000","$1,000","$100,000",$348,"$1,244",$30
38601,"$20,000","$1,000","$300,000",$367,"$1,261",$35
38601,"$40,000",$500,"$100,000",$590,"$2,182",$41
38601,"$40,000",$500,"$300,000",$611,"$2,199",$46
38601,"$40,000","$1,000","$100,000",$536,"$1,972",$39
38601,"$40,000","$1,000","$300,000",$556,"$1,989",$43
38601,"$60,000",$500,"$100,000",$799,"$2,798",$49
38601,"$60,000",$500,"$300,000",$821,"$2,815",$54
38601,"$60,000","$1,000","$100,000",$717,"$2,530",$47
38601,"$60,000","$1,000","$300,000",$739,"$2,547",$52
38602,"$20,000",$500,"$100,000",$428,"$1,376",$32
38602,"$20,000",$500,"$300,000",$447,"$1,399",$37
38602,"$20,000","$1,000","$100,000",$386,"$1,244",$30
38602,"$20,000","$1,000","$300,000",$406,"$1,335",$35
38602,"$40,000",$500,"$100,000",$667,"$2,182",$41
38602,"$40,000",$500,"$300,000",$688,"$2,305",$46
38602,"$40,000","$1,000","$100,000",$609,"$2,086",$39
38602,"$40,000","$1,000","$300,000",$630,"$2,224",$43
38602,"$60,000",$500,"$100,000",$915,"$3,248",$49
38602,"$60,000",$500,"$300,000",$937,"$3,416",$54
38602,"$60,000","$1,000","$100,000",$826,"$3,147",$47
38602,"$60,000","$1,000","$300,000",$849,"$3,314",$52
38603,"$20,000",$500,"$100,000",$398,"$1,376",$35
38603,"$20,000",$500,"$300,000",$417,"$1,393",$40
38603,"$20,000","$1,000","$100,000",$357,"$1,244",$32
38603,"$20,000","$1,000","$300,000",$376,"$1,261",$37
38603,"$40,000",$500,"$100,000",$607,"$2,182",$45
38603,"$40,000",$500,"$300,000",$628,"$2,199",$50
38603,"$40,000","$1,000","$100,000",$551,"$1,972",$42
38603,"$40,000","$1,000","$300,000",$572,"$1,989",$47
38603,"$60,000",$500,"$100,000",$823,"$2,798",$53
38603,"$60,000",$500,"$300,000",$845,"$2,815",$58
38603,"$60,000","$1,000","$100,000",$737,"$2,530",$51
38603,"$60,000","$1,000","$300,000",$760,"$2,547",$56
38606,"$20,000",$500,"$100,000",$394,"$1,376",$32
38606,"$20,000",$500,"$300,000",$413,"$1,393",$37
38606,"$20,000","$1,000","$100,000",$354,"$1,244",$30
38606,"$20,000","$1,000","$300,000",$373,"$1,261",$35
38606,"$40,000",$500,"$100,000",$601,"$2,182",$41
38606,"$40,000",$500,"$300,000",$622,"$2,199",$46
38606,"$40,000","$1,000","$100,000",$545,"$1,972",$39
38606,"$40,000","$1,000","$300,000",$566,"$1,989",$43
38606,"$60,000",$500,"$100,000",$814,"$2,798",$49
38606,"$60,000",$500,"$300,000",$837,"$2,815",$54
38606,"$60,000","$1,000","$100,000",$730,"$2,530",$47
38606,"$60,000","$1,000","$300,000",$752,"$2,547",$52
38609,"$20,000",$500,"$100,000",$426,"$1,376",$62
38609,"$20,000",$500,"$300,000",$446,"$1,393",$66
38609,"$20,000","$1,000","$100,000",$382,"$1,244",$55
38609,"$20,000","$1,000","$300,000",$402,"$1,261",$60
38609,"$40,000",$500,"$100,000",$648,"$2,182",$81
38609,"$40,000",$500,"$300,000",$670,"$2,199",$86
38609,"$40,000","$1,000","$100,000",$587,"$1,972",$75
38609,"$40,000","$1,000","$300,000",$609,"$1,989",$80
38609,"$60,000",$500,"$100,000",$878,"$2,798",$99
38609,"$60,000",$500,"$300,000",$901,"$2,815",$104
38609,"$60,000","$1,000","$100,000",$786,"$2,530",$93
38609,"$60,000","$1,000","$300,000",$809,"$2,547",$98
38610,"$20,000",$500,"$100,000",$394,"$1,376",$35
38610,"$20,000",$500,"$300,000",$414,"$1,393",$40
38610,"$20,000","$1,000","$100,000",$354,"$1,244",$32
38610,"$20,000","$1,000","$300,000",$373,"$1,261",$37
38610,"$40,000",$500,"$100,000",$601,"$2,182",$45
38610,"$40,000",$500,"$300,000",$621,"$2,199",$50
38610,"$40,000","$1,000","$100,000",$546,"$1,972",$42
38610,"$40,000","$1,000","$300,000",$566,"$1,989",$47
38610,"$60,000",$500,"$100,000",$815,"$2,798",$53
38610,"$60,000",$500,"$300,000",$837,"$2,815",$58
38610,"$60,000","$1,000","$100,000",$732,"$2,530",$51
38610,"$60,000","$1,000","$300,000",$754,"$2,547",$56
38611,"$20,000",$500,"$100,000",$392,"$1,376",$32
38611,"$20,000",$500,"$300,000",$411,"$1,393",$37
38611,"$20,000","$1,000","$100,000",$352,"$1,244",$30
38611,"$20,000","$1,000","$300,000",$371,"$1,261",$35
38611,"$40,000",$500,"$100,000",$599,"$2,182",$41
38611,"$40,000",$500,"$300,000",$620,"$2,199",$46
38611,"$40,000","$1,000","$100,000",$543,"$1,972",$39
38611,"$40,000","$1,000","$300,000",$564,"$1,989",$43
38611,"$60,000",$500,"$100,000",$813,"$2,798",$49
38611,"$60,000",$500,"$300,000",$835,"$2,815",$54
38611,"$60,000","$1,000","$100,000",$728,"$2,530",$47
38611,"$60,000","$1,000","$300,000",$750,"$2,547",$52
38614,"$20,000",$500,"$100,000",$408,"$1,376",$62
38614,"$20,000",$500,"$300,000",$426,"$1,393",$66
38614,"$20,000","$1,000","$100,000",$366,"$1,244",$55
38614,"$20,000","$1,000","$300,000",$385,"$1,261",$60
38614,"$40,000",$500,"$100,000",$621,"$2,182",$81
38614,"$40,000",$500,"$300,000",$642,"$2,199",$86
38614,"$40,000","$1,000","$100,000",$564,"$1,972",$75
38614,"$40,000","$1,000","$300,000",$584,"$1,989",$80
38614,"$60,000",$500,"$100,000",$845,"$2,798",$99
38614,"$60,000",$500,"$300,000",$867,"$2,815",$104
38614,"$60,000","$1,000","$100,000",$757,"$2,530",$93
38614,"$60,000","$1,000","$300,000",$779,"$2,547",$98
38617,"$20,000",$500,"$100,000",$405,"$1,376",$62
38617,"$20,000",$500,"$300,000",$423,"$1,393",$66
38617,"$20,000","$1,000","$100,000",$363,"$1,244",$55
38617,"$20,000","$1,000","$300,000",$382,"$1,261",$60
38617,"$40,000",$500,"$100,000",$616,"$2,182",$81
38617,"$40,000",$500,"$300,000",$636,"$2,199",$86
38617,"$40,000","$1,000","$100,000",$559,"$1,972",$75
38617,"$40,000","$1,000","$300,000",$579,"$1,989",$80
38617,"$60,000",$500,"$100,000",$836,"$2,798",$99
38617,"$60,000",$500,"$300,000",$858,"$2,815",$104
38617,"$60,000","$1,000","$100,000",$749,"$2,530",$93
38617,"$60,000","$1,000","$300,000",$770,"$2,547",$98
38618,"$20,000",$500,"$100,000",$397,"$1,376",$32
38618,"$20,000",$500,"$300,000",$416,"$1,393",$37
38618,"$20,000","$1,000","$100,000",$356,"$1,244",$30
38618,"$20,000","$1,000","$300,000",$375,"$1,261",$35
38618,"$40,000",$500,"$100,000",$606,"$2,182",$41
38618,"$40,000",$500,"$300,000",$627,"$2,199",$46
38618,"$40,000","$1,000","$100,000",$549,"$1,972",$39
38618,"$40,000","$1,000","$300,000",$570,"$1,989",$43
38618,"$60,000",$500,"$100,000",$822,"$2,798",$49
38618,"$60,000",$500,"$300,000",$845,"$2,815",$54
38618,"$60,000","$1,000","$100,000",$736,"$2,530",$47
38618,"$60,000","$1,000","$300,000",$758,"$2,547",$52
38619,"$20,000",$500,"$100,000",$394,"$1,376",$32
38619,"$20,000",$500,"$300,000",$413,"$1,393",$37
38619,"$20,000","$1,000","$100,000",$354,"$1,244",$30
38619,"$20,000","$1,000","$300,000",$373,"$1,261",$35
38619,"$40,000",$500,"$100,000",$601,"$2,182",$41
38619,"$40,000",$500,"$300,000",$622,"$2,199",$46
38619,"$40,000","$1,000","$100,000",$545,"$1,972",$39
38619,"$40,000","$1,000","$300,000",$566,"$1,989",$43
38619,"$60,000",$500,"$100,000",$814,"$2,798",$49
38619,"$60,000",$500,"$300,000",$837,"$2,815",$54
38619,"$60,000","$1,000","$100,000",$730,"$2,530",$47
38619,"$60,000","$1,000","$300,000",$752,"$2,547",$52
38620,"$20,000",$500,"$100,000",$394,"$1,376",$32
38620,"$20,000",$500,"$300,000",$413,"$1,393",$37
38620,"$20,000","$1,000","$100,000",$354,"$1,244",$30
38620,"$20,000","$1,000","$300,000",$373,"$1,261",$35
38620,"$40,000",$500,"$100,000",$601,"$2,182",$41
38620,"$40,000",$500,"$300,000",$622,"$2,199",$46
38620,"$40,000","$1,000","$100,000",$545,"$1,972",$39
38620,"$40,000","$1,000","$300,000",$566,"$1,989",$43
38620,"$60,000",$500,"$100,000",$814,"$2,798",$49
38620,"$60,000",$500,"$300,000",$837,"$2,815",$54
38620,"$60,000","$1,000","$100,000",$730,"$2,530",$47
38620,"$60,000","$1,000","$300,000",$752,"$2,547",$52
38621,"$20,000",$500,"$100,000",$395,"$1,376",$32
38621,"$20,000",$500,"$300,000",$415,"$1,393",$37
38621,"$20,000","$1,000","$100,000",$355,"$1,244",$30
38621,"$20,000","$1,000","$300,000",$374,"$1,261",$35
38621,"$40,000",$500,"$100,000",$603,"$2,182",$41
38621,"$40,000",$500,"$300,000",$623,"$2,199",$46
38621,"$40,000","$1,000","$100,000",$546,"$1,972",$39
38621,"$40,000","$1,000","$300,000",$567,"$1,989",$43
38621,"$60,000",$500,"$100,000",$817,"$2,798",$49
38621,"$60,000",$500,"$300,000",$839,"$2,815",$54
38621,"$60,000","$1,000","$100,000",$732,"$2,530",$47
38621,"$60,000","$1,000","$300,000",$754,"$2,547",$52
38622,"$20,000",$500,"$100,000",$425,"$1,376",$62
38622,"$20,000",$500,"$300,000",$444,"$1,393",$66
38622,"$20,000","$1,000","$100,000",$381,"$1,244",$55
38622,"$20,000","$1,000","$300,000",$400,"$1,261",$60
38622,"$40,000",$500,"$100,000",$646,"$2,182",$81
38622,"$40,000",$500,"$300,000",$668,"$2,199",$86
38622,"$40,000","$1,000","$100,000",$586,"$1,972",$75
38622,"$40,000","$1,000","$300,000",$607,"$1,989",$80
38622,"$60,000",$500,"$100,000",$876,"$2,798",$99
38622,"$60,000",$500,"$300,000",$898,"$2,815",$104
38622,"$60,000","$1,000","$100,000",$784,"$2,530",$93
38622,"$60,000","$1,000","$300,000",$807,"$2,547",$98
38623,"$20,000",$500,"$100,000",$426,"$1,376",$62
38623,"$20,000",$500,"$300,000",$446,"$1,393",$66
38623,"$20,000","$1,000","$100,000",$382,"$1,244",$55
38623,"$20,000","$1,000","$300,000",$402,"$1,261",$60
38623,"$40,000",$500,"$100,000",$648,"$2,182",$81
38623,"$40,000",$500,"$300,000",$670,"$2,199",$86
38623,"$40,000","$1,000","$100,000",$587,"$1,972",$75
38623,"$40,000","$1,000","$300,000",$609,"$1,989",$80
38623,"$60,000",$500,"$100,000",$878,"$2,798",$99
38623,"$60,000",$500,"$300,000",$901,"$2,815",$104
38623,"$60,000","$1,000","$100,000",$786,"$2,530",$93
38623,"$60,000","$1,000","$300,000",$809,"$2,547",$98
38625,"$20,000",$500,"$100,000",$394,"$1,376",$35
38625,"$20,000",$500,"$300,000",$414,"$1,393",$40
38625,"$20,000","$1,000","$100,000",$354,"$1,244",$32
38625,"$20,000","$1,000","$300,000",$373,"$1,261",$37
38625,"$40,000",$500,"$100,000",$601,"$2,182",$45
38625,"$40,000",$500,"$300,000",$621,"$2,199",$50
38625,"$40,000","$1,000","$100,000",$546,"$1,972",$42
38625,"$40,000","$1,000","$300,000",$566,"$1,989",$47
38625,"$60,000",$500,"$100,000",$815,"$2,798",$53
38625,"$60,000",$500,"$300,000",$837,"$2,815",$58
38625,"$60,000","$1,000","$100,000",$732,"$2,530",$51
38625,"$60,000","$1,000","$300,000",$754,"$2,547",$56
38626,"$20,000",$500,"$100,000",$405,"$1,376",$62
38626,"$20,000",$500,"$300,000",$424,"$1,393",$66
38626,"$20,000","$1,000","$100,000",$363,"$1,244",$55
38626,"$20,000","$1,000","$300,000",$382,"$1,261",$60
38626,"$40,000",$500,"$100,000",$617,"$2,182",$81
38626,"$40,000",$500,"$300,000",$637,"$2,199",$86
38626,"$40,000","$1,000","$100,000",$559,"$1,972",$75
38626,"$40,000","$1,000","$300,000",$580,"$1,989",$80
38626,"$60,000",$500,"$100,000",$837,"$2,798",$99
38626,"$60,000",$500,"$300,000",$859,"$2,815",$104
38626,"$60,000","$1,000","$100,000",$749,"$2,530",$93
38626,"$60,000","$1,000","$300,000",$771,"$2,547",$98
38627,"$20,000",$500,"$100,000",$394,"$1,376",$35
38627,"$20,000",$500,"$300,000",$413,"$1,393",$40
38627,"$20,000","$1,000","$100,000",$353,"$1,244",$32
38627,"$20,000","$1,000","$300,000",$373,"$1,261",$37
38627,"$40,000",$500,"$100,000",$600,"$2,182",$45
38627,"$40,000",$500,"$300,000",$621,"$2,199",$50
38627,"$40,000","$1,000","$100,000",$545,"$1,972",$42
38627,"$40,000","$1,000","$300,000",$566,"$1,989",$47
38627,"$60,000",$500,"$100,000",$815,"$2,798",$53
38627,"$60,000",$500,"$300,000",$837,"$2,815",$58
38627,"$60,000","$1,000","$100,000",$732,"$2,530",$51
38627,"$60,000","$1,000","$300,000",$754,"$2,547",$56
38628,"$20,000",$500,"$100,000",$426,"$1,376",$62
38628,"$20,000",$500,"$300,000",$446,"$1,393",$66
38628,"$20,000","$1,000","$100,000",$382,"$1,244",$55
38628,"$20,000","$1,000","$300,000",$402,"$1,261",$60
38628,"$40,000",$500,"$100,000",$648,"$2,182",$81
38628,"$40,000",$500,"$300,000",$670,"$2,199",$86
38628,"$40,000","$1,000","$100,000",$587,"$1,972",$75
38628,"$40,000","$1,000","$300,000",$609,"$1,989",$80
38628,"$60,000",$500,"$100,000",$878,"$2,798",$99
38628,"$60,000",$500,"$300,000",$901,"$2,815",$104
38628,"$60,000","$1,000","$100,000",$786,"$2,530",$93
38628,"$60,000","$1,000","$300,000",$809,"$2,547",$98
38629,"$20,000",$500,"$100,000",$392,"$1,376",$35
38629,"$20,000",$500,"$300,000",$411,"$1,393",$40
38629,"$20,000","$1,000","$100,000",$352,"$1,244",$32
38629,"$20,000","$1,000","$300,000",$371,"$1,261",$37
38629,"$40,000",$500,"$100,000",$596,"$2,182",$45
38629,"$40,000",$500,"$300,000",$617,"$2,199",$50
38629,"$40,000","$1,000","$100,000",$541,"$1,972",$42
38629,"$40,000","$1,000","$300,000",$562,"$1,989",$47
38629,"$60,000",$500,"$100,000",$807,"$2,798",$53
38629,"$60,000",$500,"$300,000",$829,"$2,815",$58
38629,"$60,000","$1,000","$100,000",$724,"$2,530",$51
38629,"$60,000","$1,000","$300,000",$746,"$2,547",$56
38630,"$20,000",$500,"$100,000",$408,"$1,376",$62
38630,"$20,000",$500,"$300,000",$426,"$1,393",$66
38630,"$20,000","$1,000","$100,000",$366,"$1,244",$55
38630,"$20,000","$1,000","$300,000",$385,"$1,261",$60
38630,"$40,000",$500,"$100,000",$621,"$2,182",$81
38630,"$40,000",$500,"$300,000",$642,"$2,199",$86
38630,"$40,000","$1,000","$100,000",$564,"$1,972",$75
38630,"$40,000","$1,000","$300,000",$584,"$1,989",$80
38630,"$60,000",$500,"$100,000",$845,"$2,798",$99
38630,"$60,000",$500,"$300,000",$867,"$2,815",$104
38630,"$60,000","$1,000","$100,000",$757,"$2,530",$93
38630,"$60,000","$1,000","$300,000",$779,"$2,547",$98
38631,"$20,000",$500,"$100,000",$405,"$1,376",$62
38631,"$20,000",$500,"$300,000",$423,"$1,393",$66
38631,"$20,000","$1,000","$100,000",$363,"$1,244",$55
38631,"$20,000","$1,000","$300,000",$382,"$1,261",$60
38631,"$40,000",$500,"$100,000",$616,"$2,182",$81
38631,"$40,000",$500,"$300,000",$636,"$2,199",$86
38631,"$40,000","$1,000","$100,000",$559,"$1,972",$75
38631,"$40,000","$1,000","$300,000",$579,"$1,989",$80
38631,"$60,000",$500,"$100,000",$836,"$2,798",$99
38631,"$60,000",$500,"$300,000",$858,"$2,815",$104
38631,"$60,000","$1,000","$100,000",$749,"$2,530",$93
38631,"$60,000","$1,000","$300,000",$770,"$2,547",$98
38632,"$20,000",$500,"$100,000",$389,"$1,376",$32
38632,"$20,000",$500,"$300,000",$409,"$1,393",$37
38632,"$20,000","$1,000","$100,000",$349,"$1,244",$30
38632,"$20,000","$1,000","$300,000",$368,"$1,261",$35
38632,"$40,000",$500,"$100,000",$594,"$2,182",$41
38632,"$40,000",$500,"$300,000",$615,"$2,199",$46
38632,"$40,000","$1,000","$100,000",$539,"$1,972",$39
38632,"$40,000","$1,000","$300,000",$560,"$1,989",$43
38632,"$60,000",$500,"$100,000",$808,"$2,798",$49
38632,"$60,000",$500,"$300,000",$830,"$2,815",$54
38632,"$60,000","$1,000","$100,000",$724,"$2,530",$47
38632,"$60,000","$1,000","$300,000",$746,"$2,547",$52
38633,"$20,000",$500,"$100,000",$401,"$1,376",$35
38633,"$20,000",$500,"$300,000",$420,"$1,393",$40
38633,"$20,000","$1,000","$100,000",$359,"$1,244",$32
38633,"$20,000","$1,000","$300,000",$379,"$1,261",$37
38633,"$40,000",$500,"$100,000",$612,"$2,182",$45
38633,"$40,000",$500,"$300,000",$633,"$2,199",$50
38633,"$40,000","$1,000","$100,000",$555,"$1,972",$42
38633,"$40,000","$1,000","$300,000",$576,"$1,989",$47
38633,"$60,000",$500,"$100,000",$831,"$2,798",$53
38633,"$60,000",$500,"$300,000",$853,"$2,815",$58
38633,"$60,000","$1,000","$100,000",$745,"$2,530",$51
38633,"$60,000","$1,000","$300,000",$768,"$2,547",$56
