ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
59001,"$20,000",$500,"$100,000",$209,$574,$65
59001,"$20,000",$500,"$300,000",$230,$684,$83
59001,"$20,000","$1,000","$100,000",$190,$527,$60
59001,"$20,000","$1,000","$300,000",$211,$637,$78
59001,"$40,000",$500,"$100,000",$310,$802,$95
59001,"$40,000",$500,"$300,000",$331,$837,$113
59001,"$40,000","$1,000","$100,000",$279,$702,$87
59001,"$40,000","$1,000","$300,000",$301,$792,$105
59001,"$60,000",$500,"$100,000",$419,"$1,167",$125
59001,"$60,000",$500,"$300,000",$441,"$1,182",$125
59001,"$60,000","$1,000","$100,000",$376,"$1,019",$114
59001,"$60,000","$1,000","$300,000",$398,"$1,034",$125
59002,"$20,000",$500,"$100,000",$203,$513,$60
59002,"$20,000",$500,"$300,000",$224,$623,$78
59002,"$20,000","$1,000","$100,000",$185,$474,$56
59002,"$20,000","$1,000","$300,000",$206,$583,$74
59002,"$40,000",$500,"$100,000",$295,$721,$87
59002,"$40,000",$500,"$300,000",$316,$753,$105
59002,"$40,000","$1,000","$100,000",$266,$632,$80
59002,"$40,000","$1,000","$300,000",$288,$715,$98
59002,"$60,000",$500,"$100,000",$395,"$1,030",$114
59002,"$60,000",$500,"$300,000",$417,"$1,045",$125
59002,"$60,000","$1,000","$100,000",$355,$901,$104
59002,"$60,000","$1,000","$300,000",$377,$916,$122
59003,"$20,000",$500,"$100,000",$200,$574,$60
59003,"$20,000",$500,"$300,000",$221,$684,$78
59003,"$20,000","$1,000","$100,000",$182,$527,$56
59003,"$20,000","$1,000","$300,000",$203,$637,$74
59003,"$40,000",$500,"$100,000",$289,$728,$87
59003,"$40,000",$500,"$300,000",$311,$837,$105
59003,"$40,000","$1,000","$100,000",$261,$682,$80
59003,"$40,000","$1,000","$300,000",$283,$792,$98
59003,"$60,000",$500,"$100,000",$385,$904,$114
59003,"$60,000",$500,"$300,000",$407,$975,$125
59003,"$60,000","$1,000","$100,000",$347,$827,$104
59003,"$60,000","$1,000","$300,000",$369,$936,$122
59004,"$20,000",$500,"$100,000",$200,$574,$60
59004,"$20,000",$500,"$300,000",$221,$684,$78
59004,"$20,000","$1,000","$100,000",$182,$527,$56
59004,"$20,000","$1,000","$300,000",$203,$637,$74
59004,"$40,000",$500,"$100,000",$289,$728,$87
59004,"$40,000",$500,"$300,000",$311,$837,$105
59004,"$40,000","$1,000","$100,000",$261,$682,$80
59004,"$40,000","$1,000","$300,000",$283,$792,$98
59004,"$60,000",$500,"$100,000",$385,$904,$114
59004,"$60,000",$500,"$300,000",$407,$975,$125
59004,"$60,000","$1,000","$100,000",$347,$827,$104
59004,"$60,000","$1,000","$300,000",$369,$936,$122
59006,"$20,000",$500,"$100,000",$203,$513,$60
59006,"$20,000",$500,"$300,000",$224,$623,$78
59006,"$20,000","$1,000","$100,000",$185,$474,$56
59006,"$20,000","$1,000","$300,000",$206,$583,$74
59006,"$40,000",$500,"$100,000",$295,$721,$87
59006,"$40,000",$500,"$300,000",$316,$753,$105
59006,"$40,000","$1,000","$100,000",$266,$632,$80
59006,"$40,000","$1,000","$300,000",$288,$715,$98
59006,"$60,000",$500,"$100,000",$395,"$1,030",$114
59006,"$60,000",$500,"$300,000",$417,"$1,045",$125
59006,"$60,000","$1,000","$100,000",$355,$901,$104
59006,"$60,000","$1,000","$300,000",$377,$916,$122
59007,"$20,000",$500,"$100,000",$209,$574,$65
59007,"$20,000",$500,"$300,000",$230,$684,$83
59007,"$20,000","$1,000","$100,000",$190,$527,$60
59007,"$20,000","$1,000","$300,000",$211,$637,$78
59007,"$40,000",$500,"$100,000",$310,$802,$95
59007,"$40,000",$500,"$300,000",$331,$837,$113
59007,"$40,000","$1,000","$100,000",$279,$702,$87
59007,"$40,000","$1,000","$300,000",$301,$792,$105
59007,"$60,000",$500,"$100,000",$419,"$1,167",$125
59007,"$60,000",$500,"$300,000",$441,"$1,182",$125
59007,"$60,000","$1,000","$100,000",$376,"$1,019",$114
59007,"$60,000","$1,000","$300,000",$398,"$1,034",$125
59008,"$20,000",$500,"$100,000",$209,$574,$65
59008,"$20,000",$500,"$300,000",$230,$684,$83
59008,"$20,000","$1,000","$100,000",$190,$527,$60
59008,"$20,000","$1,000","$300,000",$211,$637,$78
59008,"$40,000",$500,"$100,000",$310,$802,$95
