ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
27006,"$20,000",$500,"$100,000",$166,$506,$72
27006,"$20,000",$500,"$300,000",$175,$514,$80
27006,"$20,000","$1,000","$100,000",$141,$431,$66
27006,"$20,000","$1,000","$300,000",$150,$439,$74
27006,"$40,000",$500,"$100,000",$293,$937,$115
27006,"$40,000",$500,"$300,000",$303,$945,$125
27006,"$40,000","$1,000","$100,000",$258,$795,$100
27006,"$40,000","$1,000","$300,000",$267,$803,$108
27006,"$60,000",$500,"$100,000",$416,"$1,346",$141
27006,"$60,000",$500,"$300,000",$425,"$1,354",$155
27006,"$60,000","$1,000","$100,000",$366,"$1,140",$137
27006,"$60,000","$1,000","$300,000",$375,"$1,148",$147
27007,"$20,000",$500,"$100,000",$166,$506,$72
27007,"$20,000",$500,"$300,000",$175,$514,$80
27007,"$20,000","$1,000","$100,000",$141,$431,$66
27007,"$20,000","$1,000","$300,000",$150,$439,$74
27007,"$40,000",$500,"$100,000",$293,$937,$115
27007,"$40,000",$500,"$300,000",$303,$945,$125
27007,"$40,000","$1,000","$100,000",$258,$795,$100
27007,"$40,000","$1,000","$300,000",$267,$803,$108
27007,"$60,000",$500,"$100,000",$416,"$1,346",$141
27007,"$60,000",$500,"$300,000",$425,"$1,354",$155
27007,"$60,000","$1,000","$100,000",$366,"$1,140",$137
27007,"$60,000","$1,000","$300,000",$375,"$1,148",$147
27009,"$20,000",$500,"$100,000",$168,$506,$72
27009,"$20,000",$500,"$300,000",$177,$514,$80
27009,"$20,000","$1,000","$100,000",$142,$431,$66
27009,"$20,000","$1,000","$300,000",$152,$439,$74
27009,"$40,000",$500,"$100,000",$298,$937,$107
27009,"$40,000",$500,"$300,000",$308,$945,$122
27009,"$40,000","$1,000","$100,000",$262,$795,$100
27009,"$40,000","$1,000","$300,000",$271,$803,$108
27009,"$60,000",$500,"$100,000",$423,"$1,346",$131
27009,"$60,000",$500,"$300,000",$433,"$1,354",$145
27009,"$60,000","$1,000","$100,000",$372,"$1,140",$128
27009,"$60,000","$1,000","$300,000",$381,"$1,148",$142
27010,"$20,000",$500,"$100,000",$381,"$1,148",$142
27010,"$20,000",$500,"$300,000",$381,"$1,148",$142
27010,"$20,000","$1,000","$100,000",$381,"$1,148",$142
27010,"$20,000","$1,000","$300,000",$381,"$1,148",$142
27010,"$40,000",$500,"$100,000",$381,"$1,148",$142
27010,"$40,000",$500,"$300,000",$381,"$1,148",$142
27010,"$40,000","$1,000","$100,000",$381,"$1,148",$142
27010,"$40,000","$1,000","$300,000",$381,"$1,148",$142
27010,"$60,000",$500,"$100,000",$381,"$1,148",$142
27010,"$60,000",$500,"$300,000",$381,"$1,148",$142
27010,"$60,000","$1,000","$100,000",$381,"$1,148",$142
27010,"$60,000","$1,000","$300,000",$381,"$1,148",$142
27011,"$20,000",$500,"$100,000",$163,$506,$72
27011,"$20,000",$500,"$300,000",$172,$514,$80
27011,"$20,000","$1,000","$100,000",$138,$431,$66
27011,"$20,000","$1,000","$300,000",$148,$439,$74
27011,"$40,000",$500,"$100,000",$288,$937,$107
27011,"$40,000",$500,"$300,000",$298,$945,$122
27011,"$40,000","$1,000","$100,000",$253,$795,$100
27011,"$40,000","$1,000","$300,000",$263,$803,$108
27011,"$60,000",$500,"$100,000",$409,"$1,346",$131
27011,"$60,000",$500,"$300,000",$418,"$1,354",$145
27011,"$60,000","$1,000","$100,000",$360,"$1,140",$128
27011,"$60,000","$1,000","$300,000",$369,"$1,148",$142
27012,"$20,000",$500,"$100,000",$160,$502,$71
27012,"$20,000",$500,"$300,000",$169,$510,$79
27012,"$20,000","$1,000","$100,000",$136,$426,$65
27012,"$20,000","$1,000","$300,000",$145,$434,$73
