ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
58001,"$20,000",$500,"$100,000",$147,$393,$51
58001,"$20,000",$500,"$300,000",$164,$403,$71
58001,"$20,000","$1,000","$100,000",$131,$338,$48
58001,"$20,000","$1,000","$300,000",$148,$348,$68
58001,"$40,000",$500,"$100,000",$211,$543,$73
58001,"$40,000",$500,"$300,000",$228,$553,$86
58001,"$40,000","$1,000","$100,000",$187,$464,$67
58001,"$40,000","$1,000","$300,000",$204,$474,$83
58001,"$60,000",$500,"$100,000",$269,$666,$92
58001,"$60,000",$500,"$300,000",$286,$676,$95
58001,"$60,000","$1,000","$100,000",$237,$566,$86
58001,"$60,000","$1,000","$300,000",$254,$576,$91
58002,"$20,000",$500,"$100,000",$146,$393,$51
58002,"$20,000",$500,"$300,000",$163,$403,$71
58002,"$20,000","$1,000","$100,000",$131,$338,$48
58002,"$20,000","$1,000","$300,000",$147,$348,$68
58002,"$40,000",$500,"$100,000",$211,$543,$73
58002,"$40,000",$500,"$300,000",$227,$553,$87
58002,"$40,000","$1,000","$100,000",$187,$464,$67
58002,"$40,000","$1,000","$300,000",$204,$474,$83
58002,"$60,000",$500,"$100,000",$268,$666,$93
58002,"$60,000",$500,"$300,000",$285,$676,$96
58002,"$60,000","$1,000","$100,000",$236,$566,$86
58002,"$60,000","$1,000","$300,000",$253,$576,$92
58004,"$20,000",$500,"$100,000",$149,$393,$51
58004,"$20,000",$500,"$300,000",$165,$403,$71
58004,"$20,000","$1,000","$100,000",$133,$338,$48
58004,"$20,000","$1,000","$300,000",$149,$348,$68
58004,"$40,000",$500,"$100,000",$215,$543,$73
58004,"$40,000",$500,"$300,000",$232,$553,$87
58004,"$40,000","$1,000","$100,000",$190,$464,$67
58004,"$40,000","$1,000","$300,000",$207,$474,$83
58004,"$60,000",$500,"$100,000",$274,$666,$93
58004,"$60,000",$500,"$300,000",$291,$676,$96
58004,"$60,000","$1,000","$100,000",$241,$566,$86
58004,"$60,000","$1,000","$300,000",$258,$576,$92
58005,"$20,000",$500,"$100,000",$149,$393,$51
58005,"$20,000",$500,"$300,000",$165,$403,$71
58005,"$20,000","$1,000","$100,000",$133,$338,$48
58005,"$20,000","$1,000","$300,000",$149,$348,$68
58005,"$40,000",$500,"$100,000",$215,$543,$73
58005,"$40,000",$500,"$300,000",$232,$553,$87
58005,"$40,000","$1,000","$100,000",$190,$464,$67
58005,"$40,000","$1,000","$300,000",$207,$474,$83
58005,"$60,000",$500,"$100,000",$274,$666,$93
58005,"$60,000",$500,"$300,000",$291,$676,$96
58005,"$60,000","$1,000","$100,000",$241,$566,$86
58005,"$60,000","$1,000","$300,000",$258,$576,$92
58006,"$20,000",$500,"$100,000",$147,$393,$51
58006,"$20,000",$500,"$300,000",$164,$403,$71
58006,"$20,000","$1,000","$100,000",$131,$338,$48
58006,"$20,000","$1,000","$300,000",$148,$348,$68
58006,"$40,000",$500,"$100,000",$212,$543,$73
58006,"$40,000",$500,"$300,000",$228,$553,$87
58006,"$40,000","$1,000","$100,000",$188,$464,$67
58006,"$40,000","$1,000","$300,000",$204,$474,$83
58006,"$60,000",$500,"$100,000",$269,$666,$93
58006,"$60,000",$500,"$300,000",$286,$676,$96
58006,"$60,000","$1,000","$100,000",$237,$566,$86
58006,"$60,000","$1,000","$300,000",$254,$576,$92
58007,"$20,000",$500,"$100,000",$147,$393,$51
58007,"$20,000",$500,"$300,000",$163,$403,$71
58007,"$20,000","$1,000","$100,000",$131,$338,$48
58007,"$20,000","$1,000","$300,000",$147,$348,$68
58007,"$40,000",$500,"$100,000",$211,$543,$73
58007,"$40,000",$500,"$300,000",$227,$553,$87
58007,"$40,000","$1,000","$100,000",$187,$464,$67
58007,"$40,000","$1,000","$300,000",$204,$474,$84
58007,"$60,000",$500,"$100,000",$268,$666,$93
58007,"$60,000",$500,"$300,000",$285,$676,$96
58007,"$60,000","$1,000","$100,000",$236,$566,$86
58007,"$60,000","$1,000","$300,000",$253,$576,$93
58008,"$20,000",$500,"$100,000",$147,$393,$51
58008,"$20,000",$500,"$300,000",$164,$403,$71
58008,"$20,000","$1,000","$100,000",$131,$338,$48
58008,"$20,000","$1,000","$300,000",$148,$348,$68
58008,"$40,000",$500,"$100,000",$211,$543,$73
58008,"$40,000",$500,"$300,000",$228,$553,$86
58008,"$40,000","$1,000","$100,000",$187,$464,$67
58008,"$40,000","$1,000","$300,000",$204,$474,$83
58008,"$60,000",$500,"$100,000",$269,$666,$92
58008,"$60,000",$500,"$300,000",$286,$676,$95
58008,"$60,000","$1,000","$100,000",$237,$566,$86
58008,"$60,000","$1,000","$300,000",$254,$576,$91
58009,"$20,000",$500,"$100,000",$149,$393,$51
58009,"$20,000",$500,"$300,000",$165,$403,$71
58009,"$20,000","$1,000","$100,000",$133,$338,$48
58009,"$20,000","$1,000","$300,000",$149,$348,$68
58009,"$40,000",$500,"$100,000",$215,$543,$73
58009,"$40,000",$500,"$300,000",$232,$553,$87
58009,"$40,000","$1,000","$100,000",$190,$464,$67
58009,"$40,000","$1,000","$300,000",$207,$474,$84
58009,"$60,000",$500,"$100,000",$274,$666,$93
58009,"$60,000",$500,"$300,000",$291,$676,$96
58009,"$60,000","$1,000","$100,000",$241,$566,$86
58009,"$60,000","$1,000","$300,000",$258,$576,$93
58011,"$20,000",$500,"$100,000",$147,$393,$51
58011,"$20,000",$500,"$300,000",$164,$403,$71
58011,"$20,000","$1,000","$100,000",$131,$338,$48
58011,"$20,000","$1,000","$300,000",$148,$348,$68
58011,"$40,000",$500,"$100,000",$212,$543,$73
58011,"$40,000",$500,"$300,000",$228,$553,$87
58011,"$40,000","$1,000","$100,000",$188,$464,$67
58011,"$40,000","$1,000","$300,000",$204,$474,$84
58011,"$60,000",$500,"$100,000",$269,$666,$93
58011,"$60,000",$500,"$300,000",$286,$676,$96
58011,"$60,000","$1,000","$100,000",$237,$566,$86
58011,"$60,000","$1,000","$300,000",$254,$576,$93
58012,"$20,000",$500,"$100,000",$146,$393,$51
58012,"$20,000",$500,"$300,000",$162,$403,$71
58012,"$20,000","$1,000","$100,000",$130,$338,$48
58012,"$20,000","$1,000","$300,000",$147,$348,$68
58012,"$40,000",$500,"$100,000",$209,$543,$73
58012,"$40,000",$500,"$300,000",$225,$553,$87
58012,"$40,000","$1,000","$100,000",$185,$464,$67
58012,"$40,000","$1,000","$300,000",$202,$474,$83
58012,"$60,000",$500,"$100,000",$265,$666,$93
58012,"$60,000",$500,"$300,000",$281,$676,$96
58012,"$60,000","$1,000","$100,000",$234,$566,$86
58012,"$60,000","$1,000","$300,000",$251,$576,$92
58013,"$20,000",$500,"$100,000",$146,$393,$51
58013,"$20,000",$500,"$300,000",$163,$403,$71
58013,"$20,000","$1,000","$100,000",$131,$338,$48
58013,"$20,000","$1,000","$300,000",$147,$348,$68
58013,"$40,000",$500,"$100,000",$210,$543,$73
58013,"$40,000",$500,"$300,000",$227,$553,$86
58013,"$40,000","$1,000","$100,000",$187,$464,$67
58013,"$40,000","$1,000","$300,000",$203,$474,$83
58013,"$60,000",$500,"$100,000",$268,$666,$92
58013,"$60,000",$500,"$300,000",$284,$676,$95
58013,"$60,000","$1,000","$100,000",$236,$566,$86
58013,"$60,000","$1,000","$300,000",$253,$576,$92
58015,"$20,000",$500,"$100,000",$148,$393,$51
58015,"$20,000",$500,"$300,000",$165,$403,$71
58015,"$20,000","$1,000","$100,000",$133,$338,$48
58015,"$20,000","$1,000","$300,000",$149,$348,$68
58015,"$40,000",$500,"$100,000",$215,$543,$73
58015,"$40,000",$500,"$300,000",$232,$553,$86
58015,"$40,000","$1,000","$100,000",$190,$464,$67
58015,"$40,000","$1,000","$300,000",$207,$474,$83
58015,"$60,000",$500,"$100,000",$274,$666,$92
58015,"$60,000",$500,"$300,000",$291,$676,$95
58015,"$60,000","$1,000","$100,000",$241,$566,$86
58015,"$60,000","$1,000","$300,000",$258,$576,$91
58016,"$20,000",$500,"$100,000",$149,$393,$51
58016,"$20,000",$500,"$300,000",$165,$403,$71
58016,"$20,000","$1,000","$100,000",$133,$338,$48
58016,"$20,000","$1,000","$300,000",$149,$348,$68
58016,"$40,000",$500,"$100,000",$215,$543,$73
58016,"$40,000",$500,"$300,000",$232,$553,$87
58016,"$40,000","$1,000","$100,000",$190,$464,$67
58016,"$40,000","$1,000","$300,000",$207,$474,$84
58016,"$60,000",$500,"$100,000",$274,$666,$93
58016,"$60,000",$500,"$300,000",$291,$676,$96
58016,"$60,000","$1,000","$100,000",$241,$566,$86
58016,"$60,000","$1,000","$300,000",$258,$576,$93
58017,"$20,000",$500,"$100,000",$147,$393,$51
58017,"$20,000",$500,"$300,000",$163,$403,$71
58017,"$20,000","$1,000","$100,000",$131,$338,$48
58017,"$20,000","$1,000","$300,000",$148,$348,$68
58017,"$40,000",$500,"$100,000",$211,$543,$73
58017,"$40,000",$500,"$300,000",$228,$553,$85
58017,"$40,000","$1,000","$100,000",$187,$464,$67
58017,"$40,000","$1,000","$300,000",$204,$474,$82
58017,"$60,000",$500,"$100,000",$268,$666,$91
58017,"$60,000",$500,"$300,000",$285,$676,$94
58017,"$60,000","$1,000","$100,000",$237,$566,$86
58017,"$60,000","$1,000","$300,000",$254,$576,$91
58018,"$20,000",$500,"$100,000",$148,$393,$51
58018,"$20,000",$500,"$300,000",$165,$403,$71
