ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
68001,"$20,000",$500,"$100,000",$242,"$1,646",$105
68001,"$20,000",$500,"$300,000",$254,"$1,656",$105
68001,"$20,000","$1,000","$100,000",$214,"$1,442",$99
68001,"$20,000","$1,000","$300,000",$226,"$1,452",$105
68001,"$40,000",$500,"$100,000",$334,"$2,290",$115
68001,"$40,000",$500,"$300,000",$348,"$2,300",$122
68001,"$40,000","$1,000","$100,000",$293,"$2,005",$110
68001,"$40,000","$1,000","$300,000",$307,"$2,015",$113
68001,"$60,000",$500,"$100,000",$437,"$3,229",$125
68001,"$60,000",$500,"$300,000",$452,"$3,239",$133
68001,"$60,000","$1,000","$100,000",$384,"$2,827",$125
68001,"$60,000","$1,000","$300,000",$399,"$2,837",$125
68002,"$20,000",$500,"$100,000",$242,"$1,646",$105
68002,"$20,000",$500,"$300,000",$254,"$1,656",$105
68002,"$20,000","$1,000","$100,000",$214,"$1,442",$99
68002,"$20,000","$1,000","$300,000",$226,"$1,452",$105
68002,"$40,000",$500,"$100,000",$335,"$2,290",$115
68002,"$40,000",$500,"$300,000",$348,"$2,300",$122
68002,"$40,000","$1,000","$100,000",$294,"$2,005",$110
68002,"$40,000","$1,000","$300,000",$307,"$2,015",$113
68002,"$60,000",$500,"$100,000",$438,"$3,229",$127
68002,"$60,000",$500,"$300,000",$453,"$3,239",$135
68002,"$60,000","$1,000","$100,000",$385,"$2,827",$125
68002,"$60,000","$1,000","$300,000",$400,"$2,837",$125
68003,"$20,000",$500,"$100,000",$242,"$1,646",$105
68003,"$20,000",$500,"$300,000",$254,"$1,656",$105
68003,"$20,000","$1,000","$100,000",$214,"$1,442",$99
68003,"$20,000","$1,000","$300,000",$226,"$1,452",$105
68003,"$40,000",$500,"$100,000",$335,"$2,290",$115
68003,"$40,000",$500,"$300,000",$348,"$2,300",$122
68003,"$40,000","$1,000","$100,000",$294,"$2,005",$110
68003,"$40,000","$1,000","$300,000",$307,"$2,015",$113
68003,"$60,000",$500,"$100,000",$438,"$3,229",$127
68003,"$60,000",$500,"$300,000",$453,"$3,239",$135
68003,"$60,000","$1,000","$100,000",$385,"$2,827",$125
68003,"$60,000","$1,000","$300,000",$400,"$2,837",$125
68004,"$20,000",$500,"$100,000",$238,"$1,646",$105
68004,"$20,000",$500,"$300,000",$251,"$1,656",$105
68004,"$20,000","$1,000","$100,000",$212,"$1,442",$90
68004,"$20,000","$1,000","$300,000",$224,"$1,452",$98
68004,"$40,000",$500,"$100,000",$329,"$2,290",$115
68004,"$40,000",$500,"$300,000",$343,"$2,300",$122
68004,"$40,000","$1,000","$100,000",$290,"$2,005",$110
68004,"$40,000","$1,000","$300,000",$304,"$2,015",$113
68004,"$60,000",$500,"$100,000",$431,"$3,229",$128
68004,"$60,000",$500,"$300,000",$447,"$3,239",$136
68004,"$60,000","$1,000","$100,000",$380,"$2,827",$125
68004,"$60,000","$1,000","$300,000",$395,"$2,837",$128
68005,"$20,000",$500,"$100,000",$243,"$1,646",$109
68005,"$20,000",$500,"$300,000",$255,"$1,656",$110
68005,"$20,000","$1,000","$100,000",$215,"$1,442",$94
68005,"$20,000","$1,000","$300,000",$227,"$1,452",$102
68005,"$40,000",$500,"$100,000",$337,"$2,290",$115
68005,"$40,000",$500,"$300,000",$350,"$2,300",$122
68005,"$40,000","$1,000","$100,000",$296,"$2,005",$110
68005,"$40,000","$1,000","$300,000",$310,"$2,015",$114
68005,"$60,000",$500,"$100,000",$442,"$3,229",$129
68005,"$60,000",$500,"$300,000",$457,"$3,239",$137
68005,"$60,000","$1,000","$100,000",$389,"$2,827",$125
68005,"$60,000","$1,000","$300,000",$404,"$2,837",$128
68007,"$20,000",$500,"$100,000",$246,"$1,646",$108
68007,"$20,000",$500,"$300,000",$259,"$1,656",$110
68007,"$20,000","$1,000","$100,000",$218,"$1,442",$95
68007,"$20,000","$1,000","$300,000",$230,"$1,452",$103
68007,"$40,000",$500,"$100,000",$342,"$2,290",$115
68007,"$40,000",$500,"$300,000",$355,"$2,300",$122
68007,"$40,000","$1,000","$100,000",$300,"$2,005",$110
68007,"$40,000","$1,000","$300,000",$313,"$2,015",$114
68007,"$60,000",$500,"$100,000",$448,"$3,229",$133
68007,"$60,000",$500,"$300,000",$462,"$3,239",$141
68007,"$60,000","$1,000","$100,000",$394,"$2,827",$125
68007,"$60,000","$1,000","$300,000",$408,"$2,837",$130
68008,"$20,000",$500,"$100,000",$245,"$1,646",$105
68008,"$20,000",$500,"$300,000",$257,"$1,656",$105
68008,"$20,000","$1,000","$100,000",$216,"$1,442",$99
68008,"$20,000","$1,000","$300,000",$229,"$1,452",$105
68008,"$40,000",$500,"$100,000",$339,"$2,290",$115
68008,"$40,000",$500,"$300,000",$353,"$2,300",$122
68008,"$40,000","$1,000","$100,000",$297,"$2,005",$110
68008,"$40,000","$1,000","$300,000",$311,"$2,015",$113
68008,"$60,000",$500,"$100,000",$444,"$3,229",$134
68008,"$60,000",$500,"$300,000",$459,"$3,239",$142
68008,"$60,000","$1,000","$100,000",$390,"$2,827",$125
68008,"$60,000","$1,000","$300,000",$405,"$2,837",$131
68009,"$20,000",$500,"$100,000",$245,"$1,646",$105
68009,"$20,000",$500,"$300,000",$257,"$1,656",$105
68009,"$20,000","$1,000","$100,000",$216,"$1,442",$99
68009,"$20,000","$1,000","$300,000",$229,"$1,452",$105
68009,"$40,000",$500,"$100,000",$339,"$2,290",$115
68009,"$40,000",$500,"$300,000",$353,"$2,300",$122
68009,"$40,000","$1,000","$100,000",$297,"$2,005",$110
68009,"$40,000","$1,000","$300,000",$311,"$2,015",$113
68009,"$60,000",$500,"$100,000",$444,"$3,229",$134
68009,"$60,000",$500,"$300,000",$459,"$3,239",$142
68009,"$60,000","$1,000","$100,000",$390,"$2,827",$125
68009,"$60,000","$1,000","$300,000",$405,"$2,837",$131
68010,"$20,000",$500,"$100,000",$254,"$1,646",$108
68010,"$20,000",$500,"$300,000",$267,"$1,656",$110
68010,"$20,000","$1,000","$100,000",$224,"$1,442",$99
68010,"$20,000","$1,000","$300,000",$237,"$1,452",$105
68010,"$40,000",$500,"$100,000",$351,"$2,290",$115
68010,"$40,000",$500,"$300,000",$365,"$2,300",$122
68010,"$40,000","$1,000","$100,000",$308,"$2,005",$110
68010,"$40,000","$1,000","$300,000",$322,"$2,015",$114
68010,"$60,000",$500,"$100,000",$460,"$3,229",$133
68010,"$60,000",$500,"$300,000",$474,"$3,239",$141
68010,"$60,000","$1,000","$100,000",$404,"$2,827",$125
68010,"$60,000","$1,000","$300,000",$418,"$2,837",$130
68014,"$20,000",$500,"$100,000",$240,"$1,646",$105
68014,"$20,000",$500,"$300,000",$252,"$1,656",$105
68014,"$20,000","$1,000","$100,000",$212,"$1,442",$98
68014,"$20,000","$1,000","$300,000",$225,"$1,452",$105
68014,"$40,000",$500,"$100,000",$331,"$2,290",$115
68014,"$40,000",$500,"$300,000",$345,"$2,300",$122
68014,"$40,000","$1,000","$100,000",$291,"$2,005",$110
68014,"$40,000","$1,000","$300,000",$305,"$2,015",$113
68014,"$60,000",$500,"$100,000",$433,"$3,229",$125
68014,"$60,000",$500,"$300,000",$448,"$3,239",$127
68014,"$60,000","$1,000","$100,000",$381,"$2,827",$125
68014,"$60,000","$1,000","$300,000",$396,"$2,837",$125
68015,"$20,000",$500,"$100,000",$241,"$1,646",$105
