ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
3031,"$20,000",$500,"$100,000",$172,"$1,066",$46
3031,"$20,000",$500,"$300,000",$189,"$1,083",$52
3031,"$20,000","$1,000","$100,000",$156,$913,$42
3031,"$20,000","$1,000","$300,000",$173,$930,$48
3031,"$40,000",$500,"$100,000",$255,"$1,764",$58
3031,"$40,000",$500,"$300,000",$274,"$1,781",$64
3031,"$40,000","$1,000","$100,000",$230,"$1,508",$55
3031,"$40,000","$1,000","$300,000",$250,"$1,525",$61
3031,"$60,000",$500,"$100,000",$338,"$2,448",$70
3031,"$60,000",$500,"$300,000",$359,"$2,465",$76
3031,"$60,000","$1,000","$100,000",$306,"$2,093",$67
3031,"$60,000","$1,000","$300,000",$327,"$2,110",$73
3032,"$20,000",$500,"$100,000",$177,"$1,066",$53
3032,"$20,000",$500,"$300,000",$194,"$1,083",$59
3032,"$20,000","$1,000","$100,000",$160,$913,$49
3032,"$20,000","$1,000","$300,000",$178,$930,$55
3032,"$40,000",$500,"$100,000",$263,"$1,764",$70
3032,"$40,000",$500,"$300,000",$282,"$1,781",$76
3032,"$40,000","$1,000","$100,000",$238,"$1,508",$66
3032,"$40,000","$1,000","$300,000",$257,"$1,525",$72
3032,"$60,000",$500,"$100,000",$349,"$2,448",$86
3032,"$60,000",$500,"$300,000",$370,"$2,465",$92
3032,"$60,000","$1,000","$100,000",$316,"$2,093",$82
3032,"$60,000","$1,000","$300,000",$338,"$2,110",$88
3033,"$20,000",$500,"$100,000",$172,"$1,066",$46
3033,"$20,000",$500,"$300,000",$189,"$1,083",$52
3033,"$20,000","$1,000","$100,000",$156,$913,$42
3033,"$20,000","$1,000","$300,000",$173,$930,$48
3033,"$40,000",$500,"$100,000",$255,"$1,764",$58
3033,"$40,000",$500,"$300,000",$274,"$1,781",$64
3033,"$40,000","$1,000","$100,000",$231,"$1,508",$55
3033,"$40,000","$1,000","$300,000",$250,"$1,525",$61
3033,"$60,000",$500,"$100,000",$338,"$2,448",$70
3033,"$60,000",$500,"$300,000",$359,"$2,465",$76
3033,"$60,000","$1,000","$100,000",$307,"$2,093",$67
