ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
7001,"$20,000",$500,"$100,000",$255,"$1,542",$71
7001,"$20,000",$500,"$300,000",$282,"$1,608",$86
7001,"$20,000","$1,000","$100,000",$225,"$1,277",$66
7001,"$20,000","$1,000","$300,000",$252,"$1,343",$81
7001,"$40,000",$500,"$100,000",$372,"$2,329",$92
7001,"$40,000",$500,"$300,000",$400,"$2,395",$107
7001,"$40,000","$1,000","$100,000",$324,"$1,917",$87
7001,"$40,000","$1,000","$300,000",$352,"$1,983",$102
7001,"$60,000",$500,"$100,000",$488,"$3,021",$111
7001,"$60,000",$500,"$300,000",$517,"$3,087",$126
7001,"$60,000","$1,000","$100,000",$424,"$2,478",$106
7001,"$60,000","$1,000","$300,000",$454,"$2,544",$122
7002,"$20,000",$500,"$100,000",$253,"$1,414",$58
7002,"$20,000",$500,"$300,000",$281,"$1,480",$73
7002,"$20,000","$1,000","$100,000",$225,"$1,171",$54
7002,"$20,000","$1,000","$300,000",$252,"$1,237",$70
7002,"$40,000",$500,"$100,000",$378,"$2,363",$73
7002,"$40,000",$500,"$300,000",$407,"$2,429",$88
7002,"$40,000","$1,000","$100,000",$332,"$1,944",$69
7002,"$40,000","$1,000","$300,000",$361,"$2,010",$85
7002,"$60,000",$500,"$100,000",$501,"$3,219",$87
7002,"$60,000",$500,"$300,000",$439,"$2,641",$84
7002,"$60,000","$1,000","$100,000",$439,"$2,641",$84
7002,"$60,000","$1,000","$300,000",$468,"$2,707",$99
7003,"$20,000",$500,"$100,000",$277,"$1,480",$81
7003,"$20,000",$500,"$300,000",$277,"$1,480",$81
7003,"$20,000","$1,000","$100,000",$221,"$1,171",$61
7003,"$20,000","$1,000","$300,000",$248,"$1,237",$76
7003,"$40,000",$500,"$100,000",$371,"$2,363",$82
7003,"$40,000",$500,"$300,000",$399,"$2,429",$98
7003,"$40,000","$1,000","$100,000",$324,"$1,944",$77
7003,"$40,000","$1,000","$300,000",$352,"$2,010",$93
7003,"$60,000",$500,"$100,000",$490,"$3,219",$97
7003,"$60,000",$500,"$300,000",$520,"$3,285",$112
7003,"$60,000","$1,000","$100,000",$427,"$2,641",$92
7003,"$60,000","$1,000","$300,000",$456,"$2,707",$108
7004,"$20,000",$500,"$100,000",$250,"$1,414",$65
7004,"$20,000",$500,"$300,000",$277,"$1,480",$81
7004,"$20,000","$1,000","$100,000",$221,"$1,171",$61
7004,"$20,000","$1,000","$300,000",$248,"$1,237",$76
7004,"$40,000",$500,"$100,000",$373,"$2,363",$82
7004,"$40,000",$500,"$300,000",$401,"$2,429",$98
7004,"$40,000","$1,000","$100,000",$325,"$1,944",$77
7004,"$40,000","$1,000","$300,000",$353,"$2,010",$93
7004,"$60,000",$500,"$100,000",$495,"$3,219",$97
7004,"$60,000",$500,"$300,000",$523,"$3,285",$112
7004,"$60,000","$1,000","$100,000",$430,"$2,641",$92
7004,"$60,000","$1,000","$300,000",$459,"$2,707",$108
7005,"$20,000",$500,"$100,000",$239,"$1,473",$64
7005,"$20,000",$500,"$300,000",$265,"$1,539",$80
7005,"$20,000","$1,000","$100,000",$211,"$1,220",$60
7005,"$20,000","$1,000","$300,000",$238,"$1,286",$75
7005,"$40,000",$500,"$100,000",$343,"$2,219",$80
7005,"$40,000",$500,"$300,000",$371,"$2,285",$96
7005,"$40,000","$1,000","$100,000",$300,"$1,827",$75
7005,"$40,000","$1,000","$300,000",$328,"$1,893",$91
7005,"$60,000",$500,"$100,000",$447,"$2,878",$94
7005,"$60,000",$500,"$300,000",$476,"$2,944",$110
7005,"$60,000","$1,000","$100,000",$389,"$2,363",$90
7005,"$60,000","$1,000","$300,000",$418,"$2,429",$106
7006,"$20,000",$500,"$100,000",$249,"$1,414",$65
7006,"$20,000",$500,"$300,000",$275,"$1,480",$81
7006,"$20,000","$1,000","$100,000",$220,"$1,171",$61
7006,"$20,000","$1,000","$300,000",$246,"$1,237",$76
7006,"$40,000",$500,"$100,000",$370,"$2,363",$82
7006,"$40,000",$500,"$300,000",$397,"$2,429",$98
7006,"$40,000","$1,000","$100,000",$323,"$1,944",$77
7006,"$40,000","$1,000","$300,000",$350,"$2,010",$93
7006,"$60,000",$500,"$100,000",$491,"$3,219",$97
7006,"$60,000",$500,"$300,000",$519,"$3,285",$112
7006,"$60,000","$1,000","$100,000",$427,"$2,641",$92
7006,"$60,000","$1,000","$300,000",$455,"$2,707",$108
7007,"$20,000",$500,"$100,000",$249,"$1,414",$65
7007,"$20,000",$500,"$300,000",$275,"$1,480",$81
7007,"$20,000","$1,000","$100,000",$220,"$1,171",$61
7007,"$20,000","$1,000","$300,000",$246,"$1,237",$76
7007,"$40,000",$500,"$100,000",$370,"$2,363",$82
7007,"$40,000",$500,"$300,000",$397,"$2,429",$98
7007,"$40,000","$1,000","$100,000",$323,"$1,944",$77
7007,"$40,000","$1,000","$300,000",$350,"$2,010",$93
7007,"$60,000",$500,"$100,000",$491,"$3,219",$97
7007,"$60,000",$500,"$300,000",$519,"$3,285",$112
7007,"$60,000","$1,000","$100,000",$427,"$2,641",$92
7007,"$60,000","$1,000","$300,000",$455,"$2,707",$108
7008,"$20,000",$500,"$100,000",$256,"$1,542",$71
7008,"$20,000",$500,"$300,000",$283,"$1,608",$86
7008,"$20,000","$1,000","$100,000",$227,"$1,277",$66
7008,"$20,000","$1,000","$300,000",$254,"$1,343",$81
7008,"$40,000",$500,"$100,000",$374,"$2,329",$92
7008,"$40,000",$500,"$300,000",$402,"$2,395",$107
7008,"$40,000","$1,000","$100,000",$328,"$1,917",$87
7008,"$40,000","$1,000","$300,000",$356,"$1,983",$102
7008,"$60,000",$500,"$100,000",$492,"$3,021",$111
7008,"$60,000",$500,"$300,000",$521,"$3,087",$126
7008,"$60,000","$1,000","$100,000",$430,"$2,478",$106
7008,"$60,000","$1,000","$300,000",$460,"$2,544",$122
7009,"$20,000",$500,"$100,000",$249,"$1,414",$65
7009,"$20,000",$500,"$300,000",$275,"$1,480",$81
7009,"$20,000","$1,000","$100,000",$220,"$1,171",$61
7009,"$20,000","$1,000","$300,000",$246,"$1,237",$76
7009,"$40,000",$500,"$100,000",$371,"$2,363",$82
7009,"$40,000",$500,"$300,000",$398,"$2,429",$98
7009,"$40,000","$1,000","$100,000",$323,"$1,944",$77
7009,"$40,000","$1,000","$300,000",$351,"$2,010",$93
7009,"$60,000",$500,"$100,000",$491,"$3,219",$97
7009,"$60,000",$500,"$300,000",$520,"$3,285",$112
7009,"$60,000","$1,000","$100,000",$427,"$2,641",$92
7009,"$60,000","$1,000","$300,000",$456,"$2,707",$108
7010,"$20,000",$500,"$100,000",$262,"$1,662",$67
7010,"$20,000",$500,"$300,000",$289,"$1,728",$83
7010,"$20,000","$1,000","$100,000",$230,"$1,376",$62
7010,"$20,000","$1,000","$300,000",$257,"$1,442",$78
7010,"$40,000",$500,"$100,000",$382,"$2,505",$85
7010,"$40,000",$500,"$300,000",$411,"$2,571",$100
7010,"$40,000","$1,000","$100,000",$333,"$2,059",$80
7010,"$40,000","$1,000","$300,000",$361,"$2,125",$95
7010,"$60,000",$500,"$100,000",$503,"$3,259",$101
7010,"$60,000",$500,"$300,000",$532,"$3,325",$116
7010,"$60,000","$1,000","$100,000",$437,"$2,672",$96
7010,"$60,000","$1,000","$300,000",$466,"$2,738",$112
7011,"$20,000",$500,"$100,000",$263,"$1,662",$65
7011,"$20,000",$500,"$300,000",$289,"$1,728",$81
7011,"$20,000","$1,000","$100,000",$231,"$1,376",$61
7011,"$20,000","$1,000","$300,000",$257,"$1,442",$76
7011,"$40,000",$500,"$100,000",$381,"$2,505",$82
7011,"$40,000",$500,"$300,000",$409,"$2,571",$98
7011,"$40,000","$1,000","$100,000",$332,"$2,059",$77
7011,"$40,000","$1,000","$300,000",$359,"$2,125",$93
7011,"$60,000",$500,"$100,000",$501,"$3,259",$97
7011,"$60,000",$500,"$300,000",$529,"$3,325",$112
7011,"$60,000","$1,000","$100,000",$435,"$2,672",$92
7011,"$60,000","$1,000","$300,000",$463,"$2,738",$108
