ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
87001,"$20,000",$500,"$100,000",$254,"$1,673",$122
87001,"$20,000",$500,"$300,000",$272,"$1,688",$125
87001,"$20,000","$1,000","$100,000",$234,"$1,503",$119
87001,"$20,000","$1,000","$300,000",$252,"$1,518",$125
87001,"$40,000",$500,"$100,000",$349,"$2,371",$125
87001,"$40,000",$500,"$300,000",$370,"$2,386",$125
87001,"$40,000","$1,000","$100,000",$319,"$2,130",$125
87001,"$40,000","$1,000","$300,000",$340,"$2,145",$125
87001,"$60,000",$500,"$100,000",$446,"$2,985",$133
87001,"$60,000",$500,"$300,000",$469,"$3,000",$153
87001,"$60,000","$1,000","$100,000",$408,"$2,681",$125
87001,"$60,000","$1,000","$300,000",$431,"$2,696",$141
87002,"$20,000",$500,"$100,000",$276,"$1,526",$115
87002,"$20,000",$500,"$300,000",$295,"$1,541",$121
87002,"$20,000","$1,000","$100,000",$252,"$1,371",$111
87002,"$20,000","$1,000","$300,000",$270,"$1,386",$117
87002,"$40,000",$500,"$100,000",$384,"$2,159",$138
87002,"$40,000",$500,"$300,000",$405,"$2,174",$150
87002,"$40,000","$1,000","$100,000",$351,"$1,940",$132
87002,"$40,000","$1,000","$300,000",$372,"$1,955",$144
87002,"$60,000",$500,"$100,000",$494,"$2,722",$166
87002,"$60,000",$500,"$300,000",$517,"$2,737",$178
87002,"$60,000","$1,000","$100,000",$453,"$2,445",$158
87002,"$60,000","$1,000","$300,000",$476,"$2,460",$170
87004,"$20,000",$500,"$100,000",$254,"$1,673",$122
87004,"$20,000",$500,"$300,000",$272,"$1,688",$125
87004,"$20,000","$1,000","$100,000",$234,"$1,503",$119
87004,"$20,000","$1,000","$300,000",$252,"$1,518",$125
87004,"$40,000",$500,"$100,000",$348,"$2,371",$125
87004,"$40,000",$500,"$300,000",$369,"$2,386",$125
87004,"$40,000","$1,000","$100,000",$319,"$2,130",$125
87004,"$40,000","$1,000","$300,000",$339,"$2,145",$125
87004,"$60,000",$500,"$100,000",$445,"$2,985",$133
87004,"$60,000",$500,"$300,000",$468,"$3,000",$153
87004,"$60,000","$1,000","$100,000",$407,"$2,681",$125
87004,"$60,000","$1,000","$300,000",$430,"$2,696",$141
87005,"$20,000",$500,"$100,000",$255,"$1,526",$114
87005,"$20,000",$500,"$300,000",$274,"$1,541",$121
87005,"$20,000","$1,000","$100,000",$234,"$1,371",$109
87005,"$20,000","$1,000","$300,000",$253,"$1,386",$115
87005,"$40,000",$500,"$100,000",$354,"$2,159",$125
87005,"$40,000",$500,"$300,000",$375,"$2,174",$126
87005,"$40,000","$1,000","$100,000",$323,"$1,940",$125
87005,"$40,000","$1,000","$300,000",$344,"$1,955",$125
87005,"$60,000",$500,"$100,000",$455,"$2,722",$132
87005,"$60,000",$500,"$300,000",$478,"$2,737",$144
87005,"$60,000","$1,000","$100,000",$417,"$2,445",$126
87005,"$60,000","$1,000","$300,000",$440,"$2,460",$138
87006,"$20,000",$500,"$100,000",$276,"$1,526",$115
87006,"$20,000",$500,"$300,000",$295,"$1,541",$121
87006,"$20,000","$1,000","$100,000",$252,"$1,371",$111
87006,"$20,000","$1,000","$300,000",$270,"$1,386",$117
87006,"$40,000",$500,"$100,000",$384,"$2,159",$138
87006,"$40,000",$500,"$300,000",$405,"$2,174",$150
