ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
88901,"$20,000",$500,"$100,000",$590,"$1,467",$133
88901,"$20,000",$500,"$300,000",$590,"$1,467",$133
88901,"$20,000","$1,000","$100,000",$590,"$1,467",$133
88901,"$20,000","$1,000","$300,000",$590,"$1,467",$133
88901,"$40,000",$500,"$100,000",$590,"$1,467",$133
88901,"$40,000",$500,"$300,000",$590,"$1,467",$133
88901,"$40,000","$1,000","$100,000",$590,"$1,467",$133
88901,"$40,000","$1,000","$300,000",$590,"$1,467",$133
88901,"$60,000",$500,"$100,000",$590,"$1,467",$133
88901,"$60,000",$500,"$300,000",$590,"$1,467",$133
88901,"$60,000","$1,000","$100,000",$590,"$1,467",$133
88901,"$60,000","$1,000","$300,000",$590,"$1,467",$133
88905,"$20,000",$500,"$100,000",$590,"$1,467",$133
88905,"$20,000",$500,"$300,000",$590,"$1,467",$133
88905,"$20,000","$1,000","$100,000",$590,"$1,467",$133
88905,"$20,000","$1,000","$300,000",$590,"$1,467",$133
88905,"$40,000",$500,"$100,000",$590,"$1,467",$133
88905,"$40,000",$500,"$300,000",$590,"$1,467",$133
88905,"$40,000","$1,000","$100,000",$590,"$1,467",$133
88905,"$40,000","$1,000","$300,000",$590,"$1,467",$133
88905,"$60,000",$500,"$100,000",$590,"$1,467",$133
88905,"$60,000",$500,"$300,000",$590,"$1,467",$133
88905,"$60,000","$1,000","$100,000",$590,"$1,467",$133
88905,"$60,000","$1,000","$300,000",$590,"$1,467",$133
89001,"$20,000",$500,"$100,000",$247,$979,$74
89001,"$20,000",$500,"$300,000",$264,$994,$81
89001,"$20,000","$1,000","$100,000",$230,$832,$71
89001,"$20,000","$1,000","$300,000",$246,$847,$78
89001,"$40,000",$500,"$100,000",$347,"$1,500",$94
89001,"$40,000",$500,"$300,000",$364,"$1,515",$100
89001,"$40,000","$1,000","$100,000",$320,"$1,273",$91
89001,"$40,000","$1,000","$300,000",$337,"$1,288",$97
89001,"$60,000",$500,"$100,000",$445,"$1,978",$110
89001,"$60,000",$500,"$300,000",$463,"$1,993",$117
89001,"$60,000","$1,000","$100,000",$408,"$1,679",$107
89001,"$60,000","$1,000","$300,000",$426,"$1,694",$114
89002,"$20,000",$500,"$100,000",$276,"$1,107",$89
89002,"$20,000",$500,"$300,000",$293,"$1,122",$96
89002,"$20,000","$1,000","$100,000",$257,$940,$86
89002,"$20,000","$1,000","$300,000",$273,$955,$92
89002,"$40,000",$500,"$100,000",$390,"$1,695",$113
89002,"$40,000",$500,"$300,000",$407,"$1,710",$119
89002,"$40,000","$1,000","$100,000",$360,"$1,439",$109
89002,"$40,000","$1,000","$300,000",$377,"$1,454",$116
89002,"$60,000",$500,"$100,000",$499,"$2,236",$132
89002,"$60,000",$500,"$300,000",$517,"$2,251",$139
89002,"$60,000","$1,000","$100,000",$459,"$1,898",$129
89002,"$60,000","$1,000","$300,000",$477,"$1,913",$136
89003,"$20,000",$500,"$100,000",$248,$979,$74
89003,"$20,000",$500,"$300,000",$265,$994,$81
89003,"$20,000","$1,000","$100,000",$230,$832,$71
89003,"$20,000","$1,000","$300,000",$247,$847,$78
89003,"$40,000",$500,"$100,000",$349,"$1,500",$94
89003,"$40,000",$500,"$300,000",$366,"$1,515",$100
89003,"$40,000","$1,000","$100,000",$321,"$1,273",$91
89003,"$40,000","$1,000","$300,000",$338,"$1,288",$97
89003,"$60,000",$500,"$100,000",$447,"$1,978",$110
89003,"$60,000",$500,"$300,000",$464,"$1,993",$117
89003,"$60,000","$1,000","$100,000",$410,"$1,679",$107
89003,"$60,000","$1,000","$300,000",$428,"$1,694",$114
89004,"$20,000",$500,"$100,000",$282,"$1,107",$89
89004,"$20,000",$500,"$300,000",$299,"$1,122",$96
89004,"$20,000","$1,000","$100,000",$262,$940,$86
89004,"$20,000","$1,000","$300,000",$278,$955,$92
89004,"$40,000",$500,"$100,000",$399,"$1,695",$113
89004,"$40,000",$500,"$300,000",$416,"$1,710",$119
89004,"$40,000","$1,000","$100,000",$367,"$1,439",$109
89004,"$40,000","$1,000","$300,000",$384,"$1,454",$116
89004,"$60,000",$500,"$100,000",$511,"$2,236",$132
89004,"$60,000",$500,"$300,000",$529,"$2,251",$139
89004,"$60,000","$1,000","$100,000",$469,"$1,898",$129
89004,"$60,000","$1,000","$300,000",$487,"$1,913",$136
89005,"$20,000",$500,"$100,000",$269,"$1,050",$89
89005,"$20,000",$500,"$300,000",$286,"$1,065",$96
89005,"$20,000","$1,000","$100,000",$251,$892,$86
89005,"$20,000","$1,000","$300,000",$267,$907,$92
89005,"$40,000",$500,"$100,000",$380,"$1,607",$113
89005,"$40,000",$500,"$300,000",$397,"$1,622",$119
89005,"$40,000","$1,000","$100,000",$352,"$1,363",$109
89005,"$40,000","$1,000","$300,000",$369,"$1,378",$116
89005,"$60,000",$500,"$100,000",$487,"$2,119",$132
89005,"$60,000",$500,"$300,000",$504,"$2,134",$139
89005,"$60,000","$1,000","$100,000",$449,"$1,799",$129
89005,"$60,000","$1,000","$300,000",$466,"$1,814",$136
89006,"$20,000",$500,"$100,000",$269,"$1,050",$89
89006,"$20,000",$500,"$300,000",$286,"$1,065",$96
89006,"$20,000","$1,000","$100,000",$251,$892,$86
89006,"$20,000","$1,000","$300,000",$267,$907,$92
89006,"$40,000",$500,"$100,000",$380,"$1,607",$113
89006,"$40,000",$500,"$300,000",$397,"$1,622",$119
89006,"$40,000","$1,000","$100,000",$352,"$1,363",$109
89006,"$40,000","$1,000","$300,000",$369,"$1,378",$116
89006,"$60,000",$500,"$100,000",$487,"$2,119",$132
89006,"$60,000",$500,"$300,000",$504,"$2,134",$139
89006,"$60,000","$1,000","$100,000",$449,"$1,799",$129
89006,"$60,000","$1,000","$300,000",$466,"$1,814",$136
89007,"$20,000",$500,"$100,000",$277,"$1,107",$89
89007,"$20,000",$500,"$300,000",$293,"$1,122",$96
89007,"$20,000","$1,000","$100,000",$258,$940,$86
89007,"$20,000","$1,000","$300,000",$274,$955,$92
89007,"$40,000",$500,"$100,000",$391,"$1,695",$113
89007,"$40,000",$500,"$300,000",$408,"$1,710",$119
89007,"$40,000","$1,000","$100,000",$361,"$1,439",$109
89007,"$40,000","$1,000","$300,000",$378,"$1,454",$116
89007,"$60,000",$500,"$100,000",$501,"$2,236",$132
89007,"$60,000",$500,"$300,000",$518,"$2,251",$139
89007,"$60,000","$1,000","$100,000",$460,"$1,898",$129
89007,"$60,000","$1,000","$300,000",$478,"$1,913",$136
89008,"$20,000",$500,"$100,000",$247,$979,$74
89008,"$20,000",$500,"$300,000",$264,$994,$81
89008,"$20,000","$1,000","$100,000",$230,$832,$71
89008,"$20,000","$1,000","$300,000",$246,$847,$78
89008,"$40,000",$500,"$100,000",$347,"$1,500",$94
89008,"$40,000",$500,"$300,000",$365,"$1,515",$100
89008,"$40,000","$1,000","$100,000",$320,"$1,273",$91
89008,"$40,000","$1,000","$300,000",$337,"$1,288",$97
89008,"$60,000",$500,"$100,000",$445,"$1,978",$110
89008,"$60,000",$500,"$300,000",$463,"$1,993",$117
89008,"$60,000","$1,000","$100,000",$408,"$1,679",$107
89008,"$60,000","$1,000","$300,000",$426,"$1,694",$114
89009,"$20,000",$500,"$100,000",$280,"$1,107",$89
89009,"$20,000",$500,"$300,000",$296,"$1,122",$96
89009,"$20,000","$1,000","$100,000",$260,$940,$86
89009,"$20,000","$1,000","$300,000",$276,$955,$92
89009,"$40,000",$500,"$100,000",$395,"$1,695",$113
89009,"$40,000",$500,"$300,000",$412,"$1,710",$119
89009,"$40,000","$1,000","$100,000",$363,"$1,439",$109
89009,"$40,000","$1,000","$300,000",$381,"$1,454",$116
89009,"$60,000",$500,"$100,000",$506,"$2,236",$132
89009,"$60,000",$500,"$300,000",$523,"$2,251",$139
89009,"$60,000","$1,000","$100,000",$464,"$1,898",$129
89009,"$60,000","$1,000","$300,000",$482,"$1,913",$136
89010,"$20,000",$500,"$100,000",$244,$979,$74
89010,"$20,000",$500,"$300,000",$261,$994,$81
89010,"$20,000","$1,000","$100,000",$228,$832,$71
89010,"$20,000","$1,000","$300,000",$343,"$1,500",$94
89010,"$40,000",$500,"$100,000",$343,"$1,500",$94
89010,"$40,000",$500,"$300,000",$360,"$1,515",$100
89010,"$40,000","$1,000","$100,000",$317,"$1,273",$91
89010,"$40,000","$1,000","$300,000",$334,"$1,288",$97
89010,"$60,000",$500,"$100,000",$439,"$1,978",$110
89010,"$60,000",$500,"$300,000",$456,"$1,993",$117
89010,"$60,000","$1,000","$100,000",$421,"$1,694",$114
89010,"$60,000","$1,000","$300,000",$421,"$1,694",$114
89011,"$20,000",$500,"$100,000",$276,"$1,107",$89
89011,"$20,000",$500,"$300,000",$293,"$1,122",$96
89011,"$20,000","$1,000","$100,000",$257,$940,$86
89011,"$20,000","$1,000","$300,000",$273,$955,$92
89011,"$40,000",$500,"$100,000",$390,"$1,695",$113
89011,"$40,000",$500,"$300,000",$407,"$1,710",$119
89011,"$40,000","$1,000","$100,000",$360,"$1,439",$109
89011,"$40,000","$1,000","$300,000",$377,"$1,454",$116
89011,"$60,000",$500,"$100,000",$499,"$2,236",$132
89011,"$60,000",$500,"$300,000",$517,"$2,251",$139
89011,"$60,000","$1,000","$100,000",$459,"$1,898",$129
89011,"$60,000","$1,000","$300,000",$477,"$1,913",$136
89012,"$20,000",$500,"$100,000",$269,$994,$89
89012,"$20,000",$500,"$300,000",$285,"$1,009",$96
89012,"$20,000","$1,000","$100,000",$251,$844,$86
89012,"$20,000","$1,000","$300,000",$267,$859,$92
89012,"$40,000",$500,"$100,000",$379,"$1,522",$113
89012,"$40,000",$500,"$300,000",$396,"$1,537",$119
89012,"$40,000","$1,000","$100,000",$350,"$1,291",$109
