ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
501,"$20,000",$500,"$100,000",$283,"$1,323",$113
501,"$20,000",$500,"$300,000",$307,"$1,343",$125
501,"$20,000","$1,000","$100,000",$256,"$1,248",$104
501,"$20,000","$1,000","$300,000",$280,"$1,268",$119
501,"$40,000",$500,"$100,000",$421,"$2,179",$134
501,"$40,000",$500,"$300,000",$447,"$2,199",$142
501,"$40,000","$1,000","$100,000",$383,"$2,104",$126
501,"$40,000","$1,000","$300,000",$409,"$2,124",$134
501,"$60,000",$500,"$100,000",$562,"$3,019",$158
501,"$60,000",$500,"$300,000",$590,"$3,039",$166
501,"$60,000","$1,000","$100,000",$514,"$2,944",$148
501,"$60,000","$1,000","$300,000",$542,"$2,964",$156
544,"$20,000",$500,"$100,000",$283,"$1,323",$113
544,"$20,000",$500,"$300,000",$307,"$1,343",$125
544,"$20,000","$1,000","$100,000",$256,"$1,248",$104
544,"$20,000","$1,000","$300,000",$280,"$1,268",$119
544,"$40,000",$500,"$100,000",$421,"$2,179",$134
544,"$40,000",$500,"$300,000",$447,"$2,199",$142
544,"$40,000","$1,000","$100,000",$383,"$2,104",$126
544,"$40,000","$1,000","$300,000",$409,"$2,124",$134
544,"$60,000",$500,"$100,000",$562,"$3,019",$158
544,"$60,000",$500,"$300,000",$590,"$3,039",$166
544,"$60,000","$1,000","$100,000",$514,"$2,944",$148
544,"$60,000","$1,000","$300,000",$542,"$2,964",$156
6390,"$20,000",$500,"$100,000",$288,"$1,323",$113
6390,"$20,000",$500,"$300,000",$313,"$1,343",$125
6390,"$20,000","$1,000","$100,000",$261,"$1,248",$104
6390,"$20,000","$1,000","$300,000",$286,"$1,268",$119
6390,"$40,000",$500,"$100,000",$428,"$2,179",$134
6390,"$40,000",$500,"$300,000",$456,"$2,199",$142
6390,"$40,000","$1,000","$100,000",$391,"$2,104",$126
6390,"$40,000","$1,000","$300,000",$418,"$2,124",$134
6390,"$60,000",$500,"$100,000",$573,"$3,019",$158
6390,"$60,000",$500,"$300,000",$602,"$3,039",$166
6390,"$60,000","$1,000","$100,000",$524,"$2,944",$148
6390,"$60,000","$1,000","$300,000",$554,"$2,964",$156
10001,"$20,000",$500,"$100,000",$301,"$1,690",$125
10001,"$20,000",$500,"$300,000",$326,"$1,710",$125
10001,"$20,000","$1,000","$100,000",$274,"$1,615",$120
10001,"$20,000","$1,000","$300,000",$298,"$1,635",$125
10001,"$40,000",$500,"$100,000",$450,"$2,786",$126
10001,"$40,000",$500,"$300,000",$477,"$2,806",$134
10001,"$40,000","$1,000","$100,000",$410,"$2,711",$125
10001,"$40,000","$1,000","$300,000",$437,"$2,731",$128
10001,"$60,000",$500,"$100,000",$602,"$3,861",$142
10001,"$60,000",$500,"$300,000",$631,"$3,881",$150
10001,"$60,000","$1,000","$100,000",$551,"$3,786",$135
10001,"$60,000","$1,000","$300,000",$579,"$3,806",$143
10002,"$20,000",$500,"$100,000",$301,"$1,690",$125
10002,"$20,000",$500,"$300,000",$326,"$1,710",$125
10002,"$20,000","$1,000","$100,000",$274,"$1,615",$120
10002,"$20,000","$1,000","$300,000",$298,"$1,635",$125
10002,"$40,000",$500,"$100,000",$450,"$2,786",$126
10002,"$40,000",$500,"$300,000",$477,"$2,806",$134
10002,"$40,000","$1,000","$100,000",$410,"$2,711",$125
10002,"$40,000","$1,000","$300,000",$437,"$2,731",$128
10002,"$60,000",$500,"$100,000",$602,"$3,861",$142
10002,"$60,000",$500,"$300,000",$631,"$3,881",$150
10002,"$60,000","$1,000","$100,000",$551,"$3,786",$135
10002,"$60,000","$1,000","$300,000",$579,"$3,806",$143
10003,"$20,000",$500,"$100,000",$301,"$1,690",$125
10003,"$20,000",$500,"$300,000",$326,"$1,710",$125
10003,"$20,000","$1,000","$100,000",$274,"$1,615",$120
10003,"$20,000","$1,000","$300,000",$298,"$1,635",$125
10003,"$40,000",$500,"$100,000",$450,"$2,786",$126
10003,"$40,000",$500,"$300,000",$477,"$2,806",$134
10003,"$40,000","$1,000","$100,000",$410,"$2,711",$125
10003,"$40,000","$1,000","$300,000",$437,"$2,731",$128
10003,"$60,000",$500,"$100,000",$602,"$3,861",$142
10003,"$60,000",$500,"$300,000",$631,"$3,881",$150
10003,"$60,000","$1,000","$100,000",$551,"$3,786",$135
10003,"$60,000","$1,000","$300,000",$579,"$3,806",$143
10004,"$20,000",$500,"$100,000",$301,"$1,690",$125
10004,"$20,000",$500,"$300,000",$326,"$1,710",$125
10004,"$20,000","$1,000","$100,000",$273,"$1,615",$120
10004,"$20,000","$1,000","$300,000",$298,"$1,635",$125
10004,"$40,000",$500,"$100,000",$449,"$2,786",$126
10004,"$40,000",$500,"$300,000",$476,"$2,806",$134
10004,"$40,000","$1,000","$100,000",$410,"$2,711",$125
10004,"$40,000","$1,000","$300,000",$436,"$2,731",$128
10004,"$60,000",$500,"$100,000",$602,"$3,861",$142
10004,"$60,000",$500,"$300,000",$630,"$3,881",$150
10004,"$60,000","$1,000","$100,000",$550,"$3,786",$135
10004,"$60,000","$1,000","$300,000",$578,"$3,806",$143
10005,"$20,000",$500,"$100,000",$301,"$1,690",$125
10005,"$20,000",$500,"$300,000",$326,"$1,710",$125
10005,"$20,000","$1,000","$100,000",$274,"$1,615",$120
10005,"$20,000","$1,000","$300,000",$298,"$1,635",$125
10005,"$40,000",$500,"$100,000",$450,"$2,786",$126
10005,"$40,000",$500,"$300,000",$477,"$2,806",$134
10005,"$40,000","$1,000","$100,000",$410,"$2,711",$125
10005,"$40,000","$1,000","$300,000",$437,"$2,731",$128
10005,"$60,000",$500,"$100,000",$602,"$3,861",$142
10005,"$60,000",$500,"$300,000",$631,"$3,881",$150
10005,"$60,000","$1,000","$100,000",$551,"$3,786",$135
10005,"$60,000","$1,000","$300,000",$579,"$3,806",$143
10006,"$20,000",$500,"$100,000",$301,"$1,690",$125
10006,"$20,000",$500,"$300,000",$326,"$1,710",$125
10006,"$20,000","$1,000","$100,000",$274,"$1,615",$120
10006,"$20,000","$1,000","$300,000",$298,"$1,635",$125
10006,"$40,000",$500,"$100,000",$450,"$2,786",$126
10006,"$40,000",$500,"$300,000",$477,"$2,806",$134
10006,"$40,000","$1,000","$100,000",$410,"$2,711",$125
10006,"$40,000","$1,000","$300,000",$437,"$2,731",$128
10006,"$60,000",$500,"$100,000",$602,"$3,861",$142
10006,"$60,000",$500,"$300,000",$631,"$3,881",$150
10006,"$60,000","$1,000","$100,000",$551,"$3,786",$135
10006,"$60,000","$1,000","$300,000",$579,"$3,806",$143
10007,"$20,000",$500,"$100,000",$301,"$1,690",$125
10007,"$20,000",$500,"$300,000",$326,"$1,710",$125
