ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
43001,"$20,000",$500,"$100,000",$283,"$2,117",$49
43001,"$20,000",$500,"$300,000",$303,"$2,140",$54
43001,"$20,000","$1,000","$100,000",$259,"$1,802",$45
43001,"$20,000","$1,000","$300,000",$279,"$1,825",$50
43001,"$40,000",$500,"$100,000",$412,"$3,461",$64
43001,"$40,000",$500,"$300,000",$433,"$3,484",$70
43001,"$40,000","$1,000","$100,000",$380,"$3,144",$61
43001,"$40,000","$1,000","$300,000",$400,"$3,167",$66
43001,"$60,000",$500,"$100,000",$542,"$4,726",$78
43001,"$60,000",$500,"$300,000",$564,"$4,749",$84
43001,"$60,000","$1,000","$100,000",$502,"$4,409",$77
43001,"$60,000","$1,000","$300,000",$523,"$4,432",$82
43002,"$20,000",$500,"$100,000",$287,"$2,148",$54
43002,"$20,000",$500,"$300,000",$306,"$2,171",$59
43002,"$20,000","$1,000","$100,000",$261,"$1,833",$50
43002,"$20,000","$1,000","$300,000",$280,"$1,856",$55
43002,"$40,000",$500,"$100,000",$416,"$3,507",$71
43002,"$40,000",$500,"$300,000",$436,"$3,530",$77
43002,"$40,000","$1,000","$100,000",$382,"$3,190",$68
43002,"$40,000","$1,000","$300,000",$402,"$3,213",$73
43002,"$60,000",$500,"$100,000",$543,"$4,793",$87
43002,"$60,000",$500,"$300,000",$564,"$4,816",$93
43002,"$60,000","$1,000","$100,000",$502,"$4,478",$85
43002,"$60,000","$1,000","$300,000",$523,"$4,501",$91
43003,"$20,000",$500,"$100,000",$286,"$2,227",$47
43003,"$20,000",$500,"$300,000",$306,"$2,250",$53
43003,"$20,000","$1,000","$100,000",$262,"$1,910",$44
43003,"$20,000","$1,000","$300,000",$281,"$1,933",$49
43003,"$40,000",$500,"$100,000",$417,"$3,632",$62
43003,"$40,000",$500,"$300,000",$437,"$3,655",$68
43003,"$40,000","$1,000","$100,000",$384,"$3,316",$59
43003,"$40,000","$1,000","$300,000",$404,"$3,339",$65
43003,"$60,000",$500,"$100,000",$549,"$4,960",$76
43003,"$60,000",$500,"$300,000",$570,"$4,983",$81
43003,"$60,000","$1,000","$100,000",$507,"$4,643",$74
43003,"$60,000","$1,000","$300,000",$528,"$4,666",$80
43004,"$20,000",$500,"$100,000",$289,"$2,148",$54
43004,"$20,000",$500,"$300,000",$309,"$2,171",$59
43004,"$20,000","$1,000","$100,000",$264,"$1,833",$50
43004,"$20,000","$1,000","$300,000",$283,"$1,856",$55
43004,"$40,000",$500,"$100,000",$421,"$3,507",$71
43004,"$40,000",$500,"$300,000",$442,"$3,530",$77
43004,"$40,000","$1,000","$100,000",$387,"$3,190",$68
43004,"$40,000","$1,000","$300,000",$408,"$3,213",$73
43004,"$60,000",$500,"$100,000",$553,"$4,793",$87
