ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
73001,"$20,000",$500,"$100,000",$416,"$2,907",$70
73001,"$20,000",$500,"$300,000",$435,"$2,917",$75
73001,"$20,000","$1,000","$100,000",$361,"$2,396",$62
73001,"$20,000","$1,000","$300,000",$380,"$2,406",$68
73001,"$40,000",$500,"$100,000",$623,"$4,568",$92
73001,"$40,000",$500,"$300,000",$642,"$4,578",$98
73001,"$40,000","$1,000","$100,000",$543,"$3,764",$85
73001,"$40,000","$1,000","$300,000",$562,"$3,774",$90
73001,"$60,000",$500,"$100,000",$582,"$2,249",$112
73001,"$60,000",$500,"$300,000",$603,"$2,337",$118
73001,"$60,000","$1,000","$100,000",$631,"$4,693",$106
73001,"$60,000","$1,000","$300,000",$650,"$4,703",$111
73002,"$20,000",$500,"$100,000",$413,"$2,907",$70
73002,"$20,000",$500,"$300,000",$432,"$2,917",$75
73002,"$20,000","$1,000","$100,000",$358,"$2,396",$62
73002,"$20,000","$1,000","$300,000",$377,"$2,406",$68
73002,"$40,000",$500,"$100,000",$617,"$4,568",$92
73002,"$40,000",$500,"$300,000",$636,"$4,578",$98
73002,"$40,000","$1,000","$100,000",$537,"$3,764",$85
73002,"$40,000","$1,000","$300,000",$556,"$3,774",$90
73002,"$60,000",$500,"$100,000",$573,"$2,125",$112
73002,"$60,000",$500,"$300,000",$593,"$2,210",$118
73002,"$60,000","$1,000","$100,000",$623,"$4,693",$106
73002,"$60,000","$1,000","$300,000",$643,"$4,703",$111
73003,"$20,000",$500,"$100,000",$415,"$2,907",$68
73003,"$20,000",$500,"$300,000",$434,"$2,917",$73
73003,"$20,000","$1,000","$100,000",$360,"$2,396",$61
73003,"$20,000","$1,000","$300,000",$379,"$2,406",$66
73003,"$40,000",$500,"$100,000",$621,"$4,568",$89
73003,"$40,000",$500,"$300,000",$640,"$4,578",$95
73003,"$40,000","$1,000","$100,000",$541,"$3,764",$82
73003,"$40,000","$1,000","$300,000",$560,"$3,774",$88
73003,"$60,000",$500,"$100,000",$579,"$2,330",$109
73003,"$60,000",$500,"$300,000",$599,"$2,421",$114
73003,"$60,000","$1,000","$100,000",$628,"$4,693",$102
73003,"$60,000","$1,000","$300,000",$648,"$4,703",$108
73004,"$20,000",$500,"$100,000",$414,"$2,907",$70
73004,"$20,000",$500,"$300,000",$433,"$2,917",$75
73004,"$20,000","$1,000","$100,000",$359,"$2,396",$62
73004,"$20,000","$1,000","$300,000",$378,"$2,406",$68
73004,"$40,000",$500,"$100,000",$619,"$4,568",$92
73004,"$40,000",$500,"$300,000",$638,"$4,578",$98
73004,"$40,000","$1,000","$100,000",$540,"$3,764",$85
73004,"$40,000","$1,000","$300,000",$559,"$3,774",$90
73004,"$60,000",$500,"$100,000",$577,"$2,125",$112
73004,"$60,000",$500,"$300,000",$598,"$2,210",$118
73004,"$60,000","$1,000","$100,000",$627,"$4,693",$106
73004,"$60,000","$1,000","$300,000",$646,"$4,703",$111
73005,"$20,000",$500,"$100,000",$416,"$2,907",$70
73005,"$20,000",$500,"$300,000",$435,"$2,917",$75
73005,"$20,000","$1,000","$100,000",$361,"$2,396",$62
73005,"$20,000","$1,000","$300,000",$380,"$2,406",$68
