ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
97001,"$20,000",$500,"$100,000",$190,$434,$83
97001,"$20,000",$500,"$300,000",$205,$454,$103
97001,"$20,000","$1,000","$100,000",$175,$391,$76
97001,"$20,000","$1,000","$300,000",$190,$410,$96
97001,"$40,000",$500,"$100,000",$256,$706,$125
97001,"$40,000",$500,"$300,000",$273,$726,$125
97001,"$40,000","$1,000","$100,000",$235,$634,$115
97001,"$40,000","$1,000","$300,000",$252,$654,$125
97001,"$60,000",$500,"$100,000",$326,$973,$146
97001,"$60,000",$500,"$300,000",$345,$993,$160
97001,"$60,000","$1,000","$100,000",$299,$898,$137
97001,"$60,000","$1,000","$300,000",$192,$406,$68
97002,"$20,000",$500,"$100,000",$192,$406,$68
97002,"$20,000",$500,"$300,000",$207,$421,$88
97002,"$20,000","$1,000","$100,000",$177,$368,$63
97002,"$20,000","$1,000","$300,000",$192,$383,$83
97002,"$40,000",$500,"$100,000",$257,$596,$101
97002,"$40,000",$500,"$300,000",$274,$611,$121
97002,"$40,000","$1,000","$100,000",$236,$538,$92
97002,"$40,000","$1,000","$300,000",$253,$553,$112
97002,"$60,000",$500,"$100,000",$325,$789,$133
97002,"$60,000",$500,"$300,000",$345,$804,$153
97002,"$60,000","$1,000","$100,000",$298,$712,$121
97002,"$60,000","$1,000","$300,000",$318,$727,$141
97004,"$20,000",$500,"$100,000",$196,$406,$71
97004,"$20,000",$500,"$300,000",$212,$421,$91
97004,"$20,000","$1,000","$100,000",$181,$368,$65
97004,"$20,000","$1,000","$300,000",$196,$383,$85
97004,"$40,000",$500,"$100,000",$264,$596,$105
97004,"$40,000",$500,"$300,000",$281,$611,$125
97004,"$40,000","$1,000","$100,000",$242,$538,$96
97004,"$40,000","$1,000","$300,000",$259,$553,$116
97004,"$60,000",$500,"$100,000",$333,$804,$139
97004,"$60,000",$500,"$300,000",$352,$824,$157
97004,"$60,000","$1,000","$100,000",$305,$729,$126
97004,"$60,000","$1,000","$300,000",$325,$749,$146
97005,"$20,000",$500,"$100,000",$175,$355,$60
97005,"$20,000",$500,"$300,000",$189,$374,$80
97005,"$20,000","$1,000","$100,000",$161,$326,$56
97005,"$20,000","$1,000","$300,000",$175,$344,$76
97005,"$40,000",$500,"$100,000",$233,$531,$87
97005,"$40,000",$500,"$300,000",$249,$552,$107
97005,"$40,000","$1,000","$100,000",$214,$487,$80
97005,"$40,000","$1,000","$300,000",$230,$509,$100
97005,"$60,000",$500,"$100,000",$294,$687,$114
97005,"$60,000",$500,"$300,000",$312,$706,$134
97005,"$60,000","$1,000","$100,000",$270,$633,$104
97005,"$60,000","$1,000","$300,000",$288,$657,$124
97006,"$20,000",$500,"$100,000",$174,$355,$60
97006,"$20,000",$500,"$300,000",$188,$370,$80
97006,"$20,000","$1,000","$100,000",$161,$321,$56
97006,"$20,000","$1,000","$300,000",$174,$336,$76
97006,"$40,000",$500,"$100,000",$232,$519,$87
97006,"$40,000",$500,"$300,000",$248,$534,$107
97006,"$40,000","$1,000","$100,000",$213,$469,$80
97006,"$40,000","$1,000","$300,000",$229,$487,$100
97006,"$60,000",$500,"$100,000",$293,$687,$114
97006,"$60,000",$500,"$300,000",$311,$702,$134
97006,"$60,000","$1,000","$100,000",$269,$620,$104
97006,"$60,000","$1,000","$300,000",$286,$635,$124
97007,"$20,000",$500,"$100,000",$175,$381,$60
97007,"$20,000",$500,"$300,000",$188,$399,$80
97007,"$20,000","$1,000","$100,000",$162,$348,$56
97007,"$20,000","$1,000","$300,000",$174,$366,$76
97007,"$40,000",$500,"$100,000",$233,$577,$87
97007,"$40,000",$500,"$300,000",$248,$597,$107
97007,"$40,000","$1,000","$100,000",$214,$527,$80
97007,"$40,000","$1,000","$300,000",$229,$548,$100
97007,"$60,000",$500,"$100,000",$293,$744,$114
97007,"$60,000",$500,"$300,000",$310,$767,$125
97007,"$60,000","$1,000","$100,000",$269,$690,$104
97007,"$60,000","$1,000","$300,000",$286,$712,$124
97008,"$20,000",$500,"$100,000",$174,$355,$60
97008,"$20,000",$500,"$300,000",$188,$370,$80
97008,"$20,000","$1,000","$100,000",$161,$321,$56
97008,"$20,000","$1,000","$300,000",$174,$338,$76
97008,"$40,000",$500,"$100,000",$232,$519,$87
97008,"$40,000",$500,"$300,000",$248,$538,$107
97008,"$40,000","$1,000","$100,000",$213,$474,$80
97008,"$40,000","$1,000","$300,000",$229,$496,$100
97008,"$60,000",$500,"$100,000",$293,$687,$114
97008,"$60,000",$500,"$300,000",$311,$702,$134
97008,"$60,000","$1,000","$100,000",$269,$620,$104
97008,"$60,000","$1,000","$300,000",$286,$638,$124
97009,"$20,000",$500,"$100,000",$196,$406,$71
