ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
15001,"$20,000",$500,"$100,000",$189,$474,$62
15001,"$20,000",$500,"$300,000",$210,$587,$65
15001,"$20,000","$1,000","$100,000",$176,$443,$56
15001,"$20,000","$1,000","$300,000",$196,$556,$60
15001,"$40,000",$500,"$100,000",$277,$606,$82
15001,"$40,000",$500,"$300,000",$301,$711,$88
15001,"$40,000","$1,000","$100,000",$257,$587,$75
15001,"$40,000","$1,000","$300,000",$281,$684,$80
15001,"$60,000",$500,"$100,000",$372,$838,$103
15001,"$60,000",$500,"$300,000",$401,$926,$113
15001,"$60,000","$1,000","$100,000",$346,$813,$96
15001,"$60,000","$1,000","$300,000",$375,$901,$103
15003,"$20,000",$500,"$100,000",$188,$474,$57
15003,"$20,000",$500,"$300,000",$208,$587,$59
15003,"$20,000","$1,000","$100,000",$174,$443,$51
15003,"$20,000","$1,000","$300,000",$194,$556,$55
15003,"$40,000",$500,"$100,000",$274,$606,$75
15003,"$40,000",$500,"$300,000",$298,$711,$80
15003,"$40,000","$1,000","$100,000",$254,$587,$68
15003,"$40,000","$1,000","$300,000",$278,$684,$71
15003,"$60,000",$500,"$100,000",$367,$838,$94
15003,"$60,000",$500,"$300,000",$395,$926,$101
15003,"$60,000","$1,000","$100,000",$341,$813,$86
15003,"$60,000","$1,000","$300,000",$370,$901,$93
15004,"$20,000",$500,"$100,000",$195,$471,$61
15004,"$20,000",$500,"$300,000",$216,$577,$64
15004,"$20,000","$1,000","$100,000",$181,$439,$56
15004,"$20,000","$1,000","$300,000",$202,$545,$59
15004,"$40,000",$500,"$100,000",$284,$625,$81
15004,"$40,000",$500,"$300,000",$309,$703,$86
15004,"$40,000","$1,000","$100,000",$264,$605,$75
15004,"$40,000","$1,000","$300,000",$289,$676,$78
15004,"$60,000",$500,"$100,000",$379,$864,$103
15004,"$60,000",$500,"$300,000",$409,$954,$111
15004,"$60,000","$1,000","$100,000",$354,$839,$95
15004,"$60,000","$1,000","$300,000",$383,$929,$102
15005,"$20,000",$500,"$100,000",$189,$474,$60
15005,"$20,000",$500,"$300,000",$210,$587,$64
15005,"$20,000","$1,000","$100,000",$175,$443,$55
15005,"$20,000","$1,000","$300,000",$196,$556,$58
15005,"$40,000",$500,"$100,000",$276,$606,$81
15005,"$40,000",$500,"$300,000",$301,$711,$86
15005,"$40,000","$1,000","$100,000",$256,$587,$74
15005,"$40,000","$1,000","$300,000",$281,$684,$78
15005,"$60,000",$500,"$100,000",$371,$838,$103
15005,"$60,000",$500,"$300,000",$400,$926,$110
15005,"$60,000","$1,000","$100,000",$345,$813,$95
15005,"$60,000","$1,000","$300,000",$374,$901,$102
15006,"$20,000",$500,"$100,000",$190,$422,$52
15006,"$20,000",$500,"$300,000",$212,$524,$62
15006,"$20,000","$1,000","$100,000",$177,$406,$49
15006,"$20,000","$1,000","$300,000",$198,$500,$59
15006,"$40,000",$500,"$100,000",$275,$625,$67
15006,"$40,000",$500,"$300,000",$301,$690,$77
15006,"$40,000","$1,000","$100,000",$256,$605,$64
15006,"$40,000","$1,000","$300,000",$282,$671,$74
15006,"$60,000",$500,"$100,000",$368,$864,$81
15006,"$60,000",$500,"$300,000",$398,$954,$92
15006,"$60,000","$1,000","$100,000",$343,$839,$79
15006,"$60,000","$1,000","$300,000",$374,$929,$90
15007,"$20,000",$500,"$100,000",$190,$422,$52
15007,"$20,000",$500,"$300,000",$212,$524,$62
15007,"$20,000","$1,000","$100,000",$176,$406,$49
15007,"$20,000","$1,000","$300,000",$198,$500,$58
15007,"$40,000",$500,"$100,000",$275,$625,$67
15007,"$40,000",$500,"$300,000",$301,$690,$77
15007,"$40,000","$1,000","$100,000",$256,$605,$64
15007,"$40,000","$1,000","$300,000",$281,$671,$74
15007,"$60,000",$500,"$100,000",$367,$864,$81
15007,"$60,000",$500,"$300,000",$397,$954,$92
15007,"$60,000","$1,000","$100,000",$342,$839,$79
15007,"$60,000","$1,000","$300,000",$372,$929,$90
15009,"$20,000",$500,"$100,000",$188,$474,$59
15009,"$20,000",$500,"$300,000",$208,$587,$63
15009,"$20,000","$1,000","$100,000",$174,$443,$54
15009,"$20,000","$1,000","$300,000",$194,$556,$58
15009,"$40,000",$500,"$100,000",$274,$625,$79
15009,"$40,000",$500,"$300,000",$298,$711,$84
