ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
2801,"$20,000",$500,"$100,000",$264,"$1,190",$122
2801,"$20,000",$500,"$300,000",$279,"$1,210",$128
2801,"$20,000","$1,000","$100,000",$243,"$1,062",$110
2801,"$20,000","$1,000","$300,000",$258,"$1,082",$120
2801,"$40,000",$500,"$100,000",$402,"$2,029",$181
2801,"$40,000",$500,"$300,000",$417,"$2,049",$186
2801,"$40,000","$1,000","$100,000",$370,"$1,810",$165
2801,"$40,000","$1,000","$300,000",$385,"$1,830",$170
2801,"$60,000",$500,"$100,000",$536,"$2,905",$232
2801,"$60,000",$500,"$300,000",$552,"$2,925",$237
2801,"$60,000","$1,000","$100,000",$489,"$2,590",$213
2801,"$60,000","$1,000","$300,000",$504,"$2,610",$218
2802,"$20,000",$500,"$100,000",$265,"$1,190",$122
2802,"$20,000",$500,"$300,000",$280,"$1,210",$128
2802,"$20,000","$1,000","$100,000",$244,"$1,062",$110
2802,"$20,000","$1,000","$300,000",$259,"$1,082",$120
2802,"$40,000",$500,"$100,000",$404,"$2,029",$181
2802,"$40,000",$500,"$300,000",$419,"$2,049",$186
2802,"$40,000","$1,000","$100,000",$371,"$1,810",$165
2802,"$40,000","$1,000","$300,000",$386,"$1,830",$170
2802,"$60,000",$500,"$100,000",$535,"$2,905",$232
2802,"$60,000",$500,"$300,000",$550,"$2,925",$237
2802,"$60,000","$1,000","$100,000",$490,"$2,590",$213
2802,"$60,000","$1,000","$300,000",$505,"$2,610",$218
2804,"$20,000",$500,"$100,000",$271,"$1,190",$122
2804,"$20,000",$500,"$300,000",$286,"$1,210",$128
2804,"$20,000","$1,000","$100,000",$250,"$1,062",$110
2804,"$20,000","$1,000","$300,000",$264,"$1,082",$120
2804,"$40,000",$500,"$100,000",$415,"$2,029",$181
2804,"$40,000",$500,"$300,000",$430,"$2,049",$186
2804,"$40,000","$1,000","$100,000",$381,"$1,810",$165
2804,"$40,000","$1,000","$300,000",$396,"$1,830",$170
2804,"$60,000",$500,"$100,000",$553,"$2,905",$232
2804,"$60,000",$500,"$300,000",$570,"$2,925",$237
2804,"$60,000","$1,000","$100,000",$504,"$2,590",$213
2804,"$60,000","$1,000","$300,000",$519,"$2,610",$218
2806,"$20,000",$500,"$100,000",$267,"$1,190",$122
2806,"$20,000",$500,"$300,000",$282,"$1,210",$128
2806,"$20,000","$1,000","$100,000",$246,"$1,062",$110
2806,"$20,000","$1,000","$300,000",$261,"$1,082",$120
2806,"$40,000",$500,"$100,000",$409,"$2,029",$181
2806,"$40,000",$500,"$300,000",$424,"$2,049",$186
2806,"$40,000","$1,000","$100,000",$375,"$1,810",$165
2806,"$40,000","$1,000","$300,000",$390,"$1,830",$170
2806,"$60,000",$500,"$100,000",$544,"$2,905",$232
2806,"$60,000",$500,"$300,000",$560,"$2,925",$237
2806,"$60,000","$1,000","$100,000",$496,"$2,590",$213
2806,"$60,000","$1,000","$300,000",$511,"$2,610",$218
2807,"$20,000",$500,"$100,000",$272,"$1,190",$122
2807,"$20,000",$500,"$300,000",$287,"$1,210",$128
2807,"$20,000","$1,000","$100,000",$250,"$1,062",$110
2807,"$20,000","$1,000","$300,000",$265,"$1,082",$120
2807,"$40,000",$500,"$100,000",$416,"$2,029",$181
2807,"$40,000",$500,"$300,000",$431,"$2,049",$186
2807,"$40,000","$1,000","$100,000",$382,"$1,810",$165
2807,"$40,000","$1,000","$300,000",$397,"$1,830",$170
2807,"$60,000",$500,"$100,000",$555,"$2,905",$232
2807,"$60,000",$500,"$300,000",$572,"$2,925",$237
2807,"$60,000","$1,000","$100,000",$506,"$2,590",$213
2807,"$60,000","$1,000","$300,000",$521,"$2,610",$218
2808,"$20,000",$500,"$100,000",$275,"$1,190",$122
2808,"$20,000",$500,"$300,000",$290,"$1,210",$128
2808,"$20,000","$1,000","$100,000",$253,"$1,062",$110
2808,"$20,000","$1,000","$300,000",$267,"$1,082",$120
2808,"$40,000",$500,"$100,000",$421,"$2,029",$181
2808,"$40,000",$500,"$300,000",$436,"$2,049",$186
2808,"$40,000","$1,000","$100,000",$386,"$1,810",$165
2808,"$40,000","$1,000","$300,000",$401,"$1,830",$170
2808,"$60,000",$500,"$100,000",$561,"$2,905",$232
2808,"$60,000",$500,"$300,000",$577,"$2,925",$237
2808,"$60,000","$1,000","$100,000",$511,"$2,590",$213
2808,"$60,000","$1,000","$300,000",$526,"$2,610",$218
2809,"$20,000",$500,"$100,000",$267,"$1,190",$122
2809,"$20,000",$500,"$300,000",$282,"$1,210",$128
2809,"$20,000","$1,000","$100,000",$246,"$1,062",$110
2809,"$20,000","$1,000","$300,000",$261,"$1,082",$120
2809,"$40,000",$500,"$100,000",$409,"$2,029",$181
2809,"$40,000",$500,"$300,000",$424,"$2,049",$186
2809,"$40,000","$1,000","$100,000",$375,"$1,810",$165
2809,"$40,000","$1,000","$300,000",$390,"$1,830",$170
2809,"$60,000",$500,"$100,000",$544,"$2,905",$232
2809,"$60,000",$500,"$300,000",$560,"$2,925",$237
2809,"$60,000","$1,000","$100,000",$496,"$2,590",$213
2809,"$60,000","$1,000","$300,000",$511,"$2,610",$218
2812,"$20,000",$500,"$100,000",$271,"$1,190",$122
2812,"$20,000",$500,"$300,000",$286,"$1,210",$128
2812,"$20,000","$1,000","$100,000",$250,"$1,062",$110
2812,"$20,000","$1,000","$300,000",$264,"$1,082",$120
2812,"$40,000",$500,"$100,000",$415,"$2,029",$181
2812,"$40,000",$500,"$300,000",$430,"$2,049",$186
2812,"$40,000","$1,000","$100,000",$381,"$1,810",$165
2812,"$40,000","$1,000","$300,000",$396,"$1,830",$170
2812,"$60,000",$500,"$100,000",$553,"$2,905",$232
2812,"$60,000",$500,"$300,000",$570,"$2,925",$237
2812,"$60,000","$1,000","$100,000",$504,"$2,590",$213
2812,"$60,000","$1,000","$300,000",$519,"$2,610",$218
2813,"$20,000",$500,"$100,000",$272,"$1,190",$122
2813,"$20,000",$500,"$300,000",$286,"$1,210",$128
2813,"$20,000","$1,000","$100,000",$249,"$1,062",$110
2813,"$20,000","$1,000","$300,000",$264,"$1,082",$120
2813,"$40,000",$500,"$100,000",$415,"$2,029",$181
2813,"$40,000",$500,"$300,000",$430,"$2,049",$186
2813,"$40,000","$1,000","$100,000",$381,"$1,810",$165
2813,"$40,000","$1,000","$300,000",$396,"$1,830",$170
2813,"$60,000",$500,"$100,000",$552,"$2,905",$232
2813,"$60,000",$500,"$300,000",$569,"$2,925",$237
2813,"$60,000","$1,000","$100,000",$503,"$2,590",$213
2813,"$60,000","$1,000","$300,000",$519,"$2,610",$218
2814,"$20,000",$500,"$100,000",$263,"$1,190",$122
2814,"$20,000",$500,"$300,000",$278,"$1,210",$128
2814,"$20,000","$1,000","$100,000",$242,"$1,062",$110
2814,"$20,000","$1,000","$300,000",$257,"$1,082",$120
2814,"$40,000",$500,"$100,000",$401,"$2,029",$181
2814,"$40,000",$500,"$300,000",$416,"$2,049",$186
2814,"$40,000","$1,000","$100,000",$368,"$1,810",$165
2814,"$40,000","$1,000","$300,000",$383,"$1,830",$170
2814,"$60,000",$500,"$100,000",$531,"$2,905",$232
2814,"$60,000",$500,"$300,000",$546,"$2,925",$237
2814,"$60,000","$1,000","$100,000",$486,"$2,590",$213
2814,"$60,000","$1,000","$300,000",$501,"$2,610",$218
2815,"$20,000",$500,"$100,000",$263,"$1,190",$122
2815,"$20,000",$500,"$300,000",$278,"$1,210",$128
2815,"$20,000","$1,000","$100,000",$242,"$1,062",$110
2815,"$20,000","$1,000","$300,000",$257,"$1,082",$120
2815,"$40,000",$500,"$100,000",$401,"$2,029",$181
2815,"$40,000",$500,"$300,000",$416,"$2,049",$186
2815,"$40,000","$1,000","$100,000",$368,"$1,810",$165
2815,"$40,000","$1,000","$300,000",$383,"$1,830",$170
2815,"$60,000",$500,"$100,000",$531,"$2,905",$232
2815,"$60,000",$500,"$300,000",$546,"$2,925",$237
2815,"$60,000","$1,000","$100,000",$486,"$2,590",$213
2815,"$60,000","$1,000","$300,000",$501,"$2,610",$218
2816,"$20,000",$500,"$100,000",$273,"$1,190",$122
2816,"$20,000",$500,"$300,000",$288,"$1,210",$128
2816,"$20,000","$1,000","$100,000",$251,"$1,062",$110
2816,"$20,000","$1,000","$300,000",$266,"$1,082",$120
2816,"$40,000",$500,"$100,000",$418,"$2,029",$181
2816,"$40,000",$500,"$300,000",$433,"$2,049",$186
2816,"$40,000","$1,000","$100,000",$383,"$1,810",$165
2816,"$40,000","$1,000","$300,000",$398,"$1,830",$170
2816,"$60,000",$500,"$100,000",$553,"$2,905",$232
2816,"$60,000",$500,"$300,000",$569,"$2,925",$237
2816,"$60,000","$1,000","$100,000",$506,"$2,590",$213
2816,"$60,000","$1,000","$300,000",$521,"$2,610",$218
2817,"$20,000",$500,"$100,000",$273,"$1,190",$122
2817,"$20,000",$500,"$300,000",$288,"$1,210",$128
2817,"$20,000","$1,000","$100,000",$251,"$1,062",$110
2817,"$20,000","$1,000","$300,000",$266,"$1,082",$120
2817,"$40,000",$500,"$100,000",$418,"$2,029",$181
2817,"$40,000",$500,"$300,000",$433,"$2,049",$186
2817,"$40,000","$1,000","$100,000",$383,"$1,810",$165
2817,"$40,000","$1,000","$300,000",$398,"$1,830",$170
2817,"$60,000",$500,"$100,000",$553,"$2,905",$232
2817,"$60,000",$500,"$300,000",$569,"$2,925",$237
2817,"$60,000","$1,000","$100,000",$506,"$2,590",$213
2817,"$60,000","$1,000","$300,000",$521,"$2,610",$218
2818,"$20,000",$500,"$100,000",$261,"$1,190",$122
2818,"$20,000",$500,"$300,000",$276,"$1,210",$128
2818,"$20,000","$1,000","$100,000",$240,"$1,062",$110
2818,"$20,000","$1,000","$300,000",$255,"$1,082",$120
2818,"$40,000",$500,"$100,000",$396,"$2,029",$181
2818,"$40,000",$500,"$300,000",$411,"$2,049",$186
2818,"$40,000","$1,000","$100,000",$364,"$1,810",$165
2818,"$40,000","$1,000","$300,000",$379,"$1,830",$170
2818,"$60,000",$500,"$100,000",$525,"$2,905",$232
2818,"$60,000",$500,"$300,000",$540,"$2,925",$237
2818,"$60,000","$1,000","$100,000",$481,"$2,590",$213
2818,"$60,000","$1,000","$300,000",$497,"$2,610",$218
2822,"$20,000",$500,"$100,000",$271,"$1,190",$122
2822,"$20,000",$500,"$300,000",$286,"$1,210",$128
2822,"$20,000","$1,000","$100,000",$250,"$1,062",$110
2822,"$20,000","$1,000","$300,000",$264,"$1,082",$120
2822,"$40,000",$500,"$100,000",$415,"$2,029",$181
2822,"$40,000",$500,"$300,000",$430,"$2,049",$186
2822,"$40,000","$1,000","$100,000",$381,"$1,810",$165
2822,"$40,000","$1,000","$300,000",$396,"$1,830",$170
2822,"$60,000",$500,"$100,000",$553,"$2,905",$232
2822,"$60,000",$500,"$300,000",$570,"$2,925",$237
2822,"$60,000","$1,000","$100,000",$504,"$2,590",$213
2822,"$60,000","$1,000","$300,000",$519,"$2,610",$218
