ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
29001,"$20,000",$500,"$100,000",$257,"$1,144",$110
29001,"$20,000",$500,"$300,000",$279,"$1,164",$119
29001,"$20,000","$1,000","$100,000",$237,"$1,053",$95
29001,"$20,000","$1,000","$300,000",$259,"$1,075",$109
29001,"$40,000",$500,"$100,000",$370,"$1,821",$173
29001,"$40,000",$500,"$300,000",$392,"$1,843",$174
29001,"$40,000","$1,000","$100,000",$344,"$1,777",$158
29001,"$40,000","$1,000","$300,000",$367,"$1,799",$162
29001,"$60,000",$500,"$100,000",$482,"$2,505",$212
29001,"$60,000",$500,"$300,000",$506,"$2,527",$216
29001,"$60,000","$1,000","$100,000",$452,"$2,462",$197
29001,"$60,000","$1,000","$300,000",$475,"$2,484",$201
29002,"$20,000",$500,"$100,000",$278,"$1,042",$104
29002,"$20,000",$500,"$300,000",$300,"$1,062",$115
29002,"$20,000","$1,000","$100,000",$255,$985,$91
29002,"$20,000","$1,000","$300,000",$276,"$1,007",$112
29002,"$40,000",$500,"$100,000",$415,"$1,708",$128
29002,"$40,000",$500,"$300,000",$438,"$1,730",$138
29002,"$40,000","$1,000","$100,000",$386,"$1,665",$121
29002,"$40,000","$1,000","$300,000",$409,"$1,687",$131
29002,"$60,000",$500,"$100,000",$553,"$2,349",$163
29002,"$60,000",$500,"$300,000",$576,"$2,371",$173
29002,"$60,000","$1,000","$100,000",$518,"$2,307",$153
29002,"$60,000","$1,000","$300,000",$542,"$2,329",$163
29003,"$20,000",$500,"$100,000",$254,"$1,144",$110
29003,"$20,000",$500,"$300,000",$275,"$1,164",$116
29003,"$20,000","$1,000","$100,000",$235,"$1,044",$94
29003,"$20,000","$1,000","$300,000",$256,"$1,066",$107
29003,"$40,000",$500,"$100,000",$366,"$1,798",$170
29003,"$40,000",$500,"$300,000",$388,"$1,820",$170
29003,"$40,000","$1,000","$100,000",$341,"$1,756",$155
29003,"$40,000","$1,000","$300,000",$362,"$1,778",$159
29003,"$60,000",$500,"$100,000",$478,"$2,475",$211
29003,"$60,000",$500,"$300,000",$500,"$2,497",$215
29003,"$60,000","$1,000","$100,000",$447,"$2,431",$196
29003,"$60,000","$1,000","$300,000",$469,"$2,453",$200
29006,"$20,000",$500,"$100,000",$244,"$1,058",$101
29006,"$20,000",$500,"$300,000",$265,"$1,078",$115
29006,"$20,000","$1,000","$100,000",$225,$944,$87
29006,"$20,000","$1,000","$300,000",$245,$964,$109
29006,"$40,000",$500,"$100,000",$350,"$1,626",$122
29006,"$40,000",$500,"$300,000",$371,"$1,648",$132
29006,"$40,000","$1,000","$100,000",$325,"$1,584",$115
