ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
57001,"$20,000",$500,"$100,000",$166,$353,$66
57001,"$20,000",$500,"$300,000",$182,$426,$76
57001,"$20,000","$1,000","$100,000",$147,$332,$61
57001,"$20,000","$1,000","$300,000",$163,$405,$73
57001,"$40,000",$500,"$100,000",$250,$584,$87
57001,"$40,000",$500,"$300,000",$268,$608,$89
57001,"$40,000","$1,000","$100,000",$218,$476,$84
57001,"$40,000","$1,000","$300,000",$236,$556,$86
57001,"$60,000",$500,"$100,000",$337,$826,$99
57001,"$60,000",$500,"$300,000",$356,$850,$101
57001,"$60,000","$1,000","$100,000",$294,$653,$95
57001,"$60,000","$1,000","$300,000",$312,$753,$97
57002,"$20,000",$500,"$100,000",$159,$327,$66
57002,"$20,000",$500,"$300,000",$175,$347,$75
57002,"$20,000","$1,000","$100,000",$141,$295,$61
57002,"$20,000","$1,000","$300,000",$156,$315,$73
57002,"$40,000",$500,"$100,000",$239,$530,$87
57002,"$40,000",$500,"$300,000",$255,$550,$89
57002,"$40,000","$1,000","$100,000",$208,$476,$83
57002,"$40,000","$1,000","$300,000",$225,$496,$86
57002,"$60,000",$500,"$100,000",$320,$728,$98
57002,"$60,000",$500,"$300,000",$338,$748,$101
57002,"$60,000","$1,000","$100,000",$279,$653,$95
57002,"$60,000","$1,000","$300,000",$297,$673,$97
57003,"$20,000",$500,"$100,000",$159,$327,$66
57003,"$20,000",$500,"$300,000",$175,$351,$74
57003,"$20,000","$1,000","$100,000",$142,$295,$61
57003,"$20,000","$1,000","$300,000",$156,$333,$72
57003,"$40,000",$500,"$100,000",$240,$530,$85
57003,"$40,000",$500,"$300,000",$257,$550,$88
57003,"$40,000","$1,000","$100,000",$210,$476,$82
57003,"$40,000","$1,000","$300,000",$226,$496,$84
57003,"$60,000",$500,"$100,000",$323,$728,$97
57003,"$60,000",$500,"$300,000",$340,$748,$99
57003,"$60,000","$1,000","$100,000",$281,$653,$93
57003,"$60,000","$1,000","$300,000",$299,$673,$95
57004,"$20,000",$500,"$100,000",$164,$345,$66
57004,"$20,000",$500,"$300,000",$181,$418,$75
57004,"$20,000","$1,000","$100,000",$146,$327,$61
57004,"$20,000","$1,000","$300,000",$162,$400,$73
57004,"$40,000",$500,"$100,000",$248,$536,$86
57004,"$40,000",$500,"$300,000",$265,$569,$88
57004,"$40,000","$1,000","$100,000",$216,$476,$83
57004,"$40,000","$1,000","$300,000",$234,$548,$85
57004,"$60,000",$500,"$100,000",$333,$753,$97
57004,"$60,000",$500,"$300,000",$352,$777,$100
57004,"$60,000","$1,000","$100,000",$291,$653,$94
57004,"$60,000","$1,000","$300,000",$310,$744,$96
57005,"$20,000",$500,"$100,000",$161,$327,$66
57005,"$20,000",$500,"$300,000",$177,$353,$74
57005,"$20,000","$1,000","$100,000",$143,$295,$61
57005,"$20,000","$1,000","$300,000",$158,$334,$72
57005,"$40,000",$500,"$100,000",$244,$530,$87
57005,"$40,000",$500,"$300,000",$260,$550,$88
57005,"$40,000","$1,000","$100,000",$213,$476,$83
57005,"$40,000","$1,000","$300,000",$229,$496,$85
57005,"$60,000",$500,"$100,000",$328,$728,$99
57005,"$60,000",$500,"$300,000",$345,$748,$101
57005,"$60,000","$1,000","$100,000",$286,$653,$95
57005,"$60,000","$1,000","$300,000",$303,$673,$97
57006,"$20,000",$500,"$100,000",$159,$327,$66
57006,"$20,000",$500,"$300,000",$175,$347,$75
57006,"$20,000","$1,000","$100,000",$141,$295,$61
57006,"$20,000","$1,000","$300,000",$156,$315,$73
57006,"$40,000",$500,"$100,000",$239,$530,$88
57006,"$40,000",$500,"$300,000",$255,$550,$90
57006,"$40,000","$1,000","$100,000",$209,$476,$84
