ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
37010,"$20,000",$500,"$100,000",$242,$673,$86
37010,"$20,000",$500,"$300,000",$264,$732,$92
37010,"$20,000","$1,000","$100,000",$221,$583,$80
37010,"$20,000","$1,000","$300,000",$243,$630,$86
37010,"$40,000",$500,"$100,000",$357,"$1,026",$111
37010,"$40,000",$500,"$300,000",$384,"$1,114",$117
37010,"$40,000","$1,000","$100,000",$328,$894,$105
37010,"$40,000","$1,000","$300,000",$354,$976,$111
37010,"$60,000",$500,"$100,000",$474,"$1,383",$133
37010,"$60,000",$500,"$300,000",$505,"$1,509",$138
37010,"$60,000","$1,000","$100,000",$440,"$1,251",$127
37010,"$60,000","$1,000","$300,000",$471,"$1,372",$133
37011,"$20,000",$500,"$100,000",$248,$690,$56
37011,"$20,000",$500,"$300,000",$270,$753,$62
37011,"$20,000","$1,000","$100,000",$225,$597,$50
37011,"$20,000","$1,000","$300,000",$246,$649,$56
37011,"$40,000",$500,"$100,000",$365,"$1,054",$73
37011,"$40,000",$500,"$300,000",$392,"$1,145",$79
37011,"$40,000","$1,000","$100,000",$333,$919,$67
37011,"$40,000","$1,000","$300,000",$359,"$1,004",$73
37011,"$60,000",$500,"$100,000",$484,"$1,422",$88
37011,"$60,000",$500,"$300,000",$516,"$1,552",$94
37011,"$60,000","$1,000","$100,000",$447,"$1,287",$83
37011,"$60,000","$1,000","$300,000",$479,"$1,411",$89
37012,"$20,000",$500,"$100,000",$237,$774,$54
37012,"$20,000",$500,"$300,000",$257,$844,$60
37012,"$20,000","$1,000","$100,000",$216,$670,$48
37012,"$20,000","$1,000","$300,000",$235,$725,$54
37012,"$40,000",$500,"$100,000",$354,"$1,183",$70
37012,"$40,000",$500,"$300,000",$378,"$1,288",$76
37012,"$40,000","$1,000","$100,000",$323,"$1,031",$64
37012,"$40,000","$1,000","$300,000",$347,"$1,128",$70
37012,"$60,000",$500,"$100,000",$471,"$1,600",$84
37012,"$60,000",$500,"$300,000",$500,"$1,748",$90
37012,"$60,000","$1,000","$100,000",$437,"$1,448",$79
37012,"$60,000","$1,000","$300,000",$465,"$1,588",$85
37013,"$20,000",$500,"$100,000",$248,$690,$56
37013,"$20,000",$500,"$300,000",$270,$753,$62
37013,"$20,000","$1,000","$100,000",$225,$597,$50
37013,"$20,000","$1,000","$300,000",$246,$649,$56
37013,"$40,000",$500,"$100,000",$365,"$1,054",$73
37013,"$40,000",$500,"$300,000",$392,"$1,145",$79
37013,"$40,000","$1,000","$100,000",$333,$919,$67
37013,"$40,000","$1,000","$300,000",$359,"$1,004",$73
37013,"$60,000",$500,"$100,000",$484,"$1,422",$88
37013,"$60,000",$500,"$300,000",$516,"$1,552",$94
37013,"$60,000","$1,000","$100,000",$447,"$1,287",$83
37013,"$60,000","$1,000","$300,000",$479,"$1,411",$89
37014,"$20,000",$500,"$100,000",$221,$650,$57
37014,"$20,000",$500,"$300,000",$241,$709,$63
37014,"$20,000","$1,000","$100,000",$201,$563,$51
37014,"$20,000","$1,000","$300,000",$219,$611,$57
37014,"$40,000",$500,"$100,000",$328,$990,$74
37014,"$40,000",$500,"$300,000",$350,"$1,076",$80
37014,"$40,000","$1,000","$100,000",$299,$873,$68
37014,"$40,000","$1,000","$300,000",$321,$944,$74
37014,"$60,000",$500,"$100,000",$431,"$1,336",$90
37014,"$60,000",$500,"$300,000",$458,"$1,456",$96
37014,"$60,000","$1,000","$100,000",$398,"$1,233",$84
37014,"$60,000","$1,000","$300,000",$425,"$1,324",$90
37015,"$20,000",$500,"$100,000",$239,$613,$86
37015,"$20,000",$500,"$300,000",$259,$666,$92
37015,"$20,000","$1,000","$100,000",$217,$532,$80
37015,"$20,000","$1,000","$300,000",$236,$576,$86
37015,"$40,000",$500,"$100,000",$353,$948,$111
37015,"$40,000",$500,"$300,000",$375,"$1,010",$117
37015,"$40,000","$1,000","$100,000",$322,$873,$105
37015,"$40,000","$1,000","$300,000",$344,$893,$111
37015,"$60,000",$500,"$100,000",$468,"$1,308",$133
37015,"$60,000",$500,"$300,000",$495,"$1,366",$138
37015,"$60,000","$1,000","$100,000",$432,"$1,233",$127
37015,"$60,000","$1,000","$300,000",$458,"$1,253",$133
37016,"$20,000",$500,"$100,000",$232,$680,$57
37016,"$20,000",$500,"$300,000",$254,$740,$63
37016,"$20,000","$1,000","$100,000",$211,$588,$51
37016,"$20,000","$1,000","$300,000",$233,$638,$57
37016,"$40,000",$500,"$100,000",$342,"$1,035",$74
37016,"$40,000",$500,"$300,000",$369,"$1,125",$80
37016,"$40,000","$1,000","$100,000",$313,$913,$69
37016,"$40,000","$1,000","$300,000",$339,$987,$75
37016,"$60,000",$500,"$100,000",$450,"$1,397",$90
37016,"$60,000",$500,"$300,000",$482,"$1,523",$96
37016,"$60,000","$1,000","$100,000",$417,"$1,290",$85
37016,"$60,000","$1,000","$300,000",$448,"$1,385",$91
37018,"$20,000",$500,"$100,000",$225,$566,$57
37018,"$20,000",$500,"$300,000",$246,$614,$63
37018,"$20,000","$1,000","$100,000",$205,$492,$51
37018,"$20,000","$1,000","$300,000",$226,$532,$57
37018,"$40,000",$500,"$100,000",$330,$988,$74
37018,"$40,000",$500,"$300,000",$356,"$1,008",$80
37018,"$40,000","$1,000","$100,000",$303,$913,$69
37018,"$40,000","$1,000","$300,000",$328,$933,$75
37018,"$60,000",$500,"$100,000",$434,"$1,365",$90
37018,"$60,000",$500,"$300,000",$464,"$1,385",$96
37018,"$60,000","$1,000","$100,000",$402,"$1,290",$85
37018,"$60,000","$1,000","$300,000",$432,"$1,310",$91
37019,"$20,000",$500,"$100,000",$238,$692,$57
37019,"$20,000",$500,"$300,000",$260,$754,$63
37019,"$20,000","$1,000","$100,000",$217,$600,$51
37019,"$20,000","$1,000","$300,000",$238,$650,$57
37019,"$40,000",$500,"$100,000",$354,"$1,057",$74
37019,"$40,000",$500,"$300,000",$381,"$1,149",$80
37019,"$40,000","$1,000","$100,000",$324,$968,$69
37019,"$40,000","$1,000","$300,000",$351,"$1,007",$75
37019,"$60,000",$500,"$100,000",$470,"$1,441",$90
37019,"$60,000",$500,"$300,000",$502,"$1,555",$96
37019,"$60,000","$1,000","$100,000",$437,"$1,366",$85
37019,"$60,000","$1,000","$300,000",$468,"$1,414",$91
37020,"$20,000",$500,"$100,000",$238,$661,$57
37020,"$20,000",$500,"$300,000",$261,$720,$63
37020,"$20,000","$1,000","$100,000",$218,$574,$51
37020,"$20,000","$1,000","$300,000",$239,$621,$57
37020,"$40,000",$500,"$100,000",$354,"$1,043",$74
37020,"$40,000",$500,"$300,000",$381,"$1,096",$80
37020,"$40,000","$1,000","$100,000",$325,$968,$69
37020,"$40,000","$1,000","$300,000",$351,$988,$75
37020,"$60,000",$500,"$100,000",$471,"$1,441",$90
37020,"$60,000",$500,"$300,000",$503,"$1,482",$96
37020,"$60,000","$1,000","$100,000",$437,"$1,366",$85
37020,"$60,000","$1,000","$300,000",$468,"$1,386",$91
37022,"$20,000",$500,"$100,000",$235,$717,$56
37022,"$20,000",$500,"$300,000",$257,$782,$61
37022,"$20,000","$1,000","$100,000",$214,$621,$50
37022,"$20,000","$1,000","$300,000",$235,$673,$56
37022,"$40,000",$500,"$100,000",$346,"$1,096",$73
37022,"$40,000",$500,"$300,000",$373,"$1,192",$79
37022,"$40,000","$1,000","$100,000",$316,$954,$67
37022,"$40,000","$1,000","$300,000",$343,"$1,043",$73
37022,"$60,000",$500,"$100,000",$455,"$1,479",$88
37022,"$60,000",$500,"$300,000",$487,"$1,614",$94
37022,"$60,000","$1,000","$100,000",$422,"$1,340",$83
37022,"$60,000","$1,000","$300,000",$453,"$1,467",$89
37023,"$20,000",$500,"$100,000",$231,$729,$60
37023,"$20,000",$500,"$300,000",$251,$796,$66
37023,"$20,000","$1,000","$100,000",$211,$631,$54
37023,"$20,000","$1,000","$300,000",$229,$684,$60
37023,"$40,000",$500,"$100,000",$342,"$1,116",$78
37023,"$40,000",$500,"$300,000",$366,"$1,214",$84
37023,"$40,000","$1,000","$100,000",$312,$972,$72
37023,"$40,000","$1,000","$300,000",$335,"$1,065",$78
37023,"$60,000",$500,"$100,000",$450,"$1,509",$94
37023,"$60,000",$500,"$300,000",$478,"$1,647",$100
37023,"$60,000","$1,000","$100,000",$416,"$1,366",$89
37023,"$60,000","$1,000","$300,000",$444,"$1,495",$95
37024,"$20,000",$500,"$100,000",$211,$527,$57
37024,"$20,000",$500,"$300,000",$229,$574,$63
37024,"$20,000","$1,000","$100,000",$193,$459,$51
37024,"$20,000","$1,000","$300,000",$210,$496,$57
37024,"$40,000",$500,"$100,000",$310,$948,$74
37024,"$40,000",$500,"$300,000",$332,$968,$80
37024,"$40,000","$1,000","$100,000",$284,$873,$68
37024,"$40,000","$1,000","$300,000",$305,$893,$74
37024,"$60,000",$500,"$100,000",$408,"$1,308",$90
37024,"$60,000",$500,"$300,000",$433,"$1,328",$96
37024,"$60,000","$1,000","$100,000",$377,"$1,233",$84
37024,"$60,000","$1,000","$300,000",$402,"$1,253",$90
37025,"$20,000",$500,"$100,000",$228,$585,$57
37025,"$20,000",$500,"$300,000",$250,$638,$63
37025,"$20,000","$1,000","$100,000",$209,$509,$51
37025,"$20,000","$1,000","$300,000",$230,$549,$57
37025,"$40,000",$500,"$100,000",$338,$962,$74
37025,"$40,000",$500,"$300,000",$363,$982,$80
37025,"$40,000","$1,000","$100,000",$310,$887,$69
37025,"$40,000","$1,000","$300,000",$336,$907,$75
37025,"$60,000",$500,"$100,000",$448,"$1,328",$90
37025,"$60,000",$500,"$300,000",$479,"$1,348",$96
37025,"$60,000","$1,000","$100,000",$416,"$1,253",$85
37025,"$60,000","$1,000","$300,000",$447,"$1,273",$91
