ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
73301,"$20,000",$500,"$100,000",$235,$574,$108
73301,"$20,000",$500,"$300,000",$250,$604,$125
73301,"$20,000","$1,000","$100,000",$218,$525,$99
73301,"$20,000","$1,000","$300,000",$233,$568,$115
73301,"$40,000",$500,"$100,000",$369,$989,$125
73301,"$40,000",$500,"$300,000",$386,"$1,009",$125
73301,"$40,000","$1,000","$100,000",$344,$914,$125
73301,"$40,000","$1,000","$300,000",$362,$934,$125
73301,"$60,000",$500,"$100,000",$504,"$1,430",$142
73301,"$60,000",$500,"$300,000",$524,"$1,450",$154
73301,"$60,000","$1,000","$100,000",$473,"$1,355",$129
73301,"$60,000","$1,000","$300,000",$493,"$1,375",$141
73344,"$20,000",$500,"$100,000",$235,$574,$108
73344,"$20,000",$500,"$300,000",$250,$604,$125
73344,"$20,000","$1,000","$100,000",$218,$525,$99
73344,"$20,000","$1,000","$300,000",$233,$568,$115
73344,"$40,000",$500,"$100,000",$369,$989,$125
73344,"$40,000",$500,"$300,000",$386,"$1,009",$125
73344,"$40,000","$1,000","$100,000",$344,$914,$125
73344,"$40,000","$1,000","$300,000",$362,$934,$125
73344,"$60,000",$500,"$100,000",$504,"$1,430",$142
73344,"$60,000",$500,"$300,000",$524,"$1,450",$154
73344,"$60,000","$1,000","$100,000",$473,"$1,355",$129
73344,"$60,000","$1,000","$300,000",$493,"$1,375",$141
73960,"$20,000",$500,"$100,000",$226,$574,$108
73960,"$20,000",$500,"$300,000",$238,$594,$120
73960,"$20,000","$1,000","$100,000",$211,$516,$97
73960,"$20,000","$1,000","$300,000",$223,$536,$110
73960,"$40,000",$500,"$100,000",$354,$989,$125
73960,"$40,000",$500,"$300,000",$369,"$1,009",$125
73960,"$40,000","$1,000","$100,000",$332,$914,$125
73960,"$40,000","$1,000","$300,000",$347,$934,$125
73960,"$60,000",$500,"$100,000",$483,"$1,430",$125
73960,"$60,000",$500,"$300,000",$500,"$1,450",$125
73960,"$60,000","$1,000","$100,000",$455,"$1,355",$125
73960,"$60,000","$1,000","$300,000",$472,"$1,375",$125
75001,"$20,000",$500,"$100,000",$250,$652,$96
75001,"$20,000",$500,"$300,000",$264,$668,$109
75001,"$20,000","$1,000","$100,000",$231,$614,$87
75001,"$20,000","$1,000","$300,000",$246,$629,$100
75001,"$40,000",$500,"$100,000",$392,"$1,120",$124
75001,"$40,000",$500,"$300,000",$409,"$1,140",$125
75001,"$40,000","$1,000","$100,000",$365,"$1,045",$115
75001,"$40,000","$1,000","$300,000",$382,"$1,065",$125
75001,"$60,000",$500,"$100,000",$537,"$1,620",$146
75001,"$60,000",$500,"$300,000",$558,"$1,640",$160
75001,"$60,000","$1,000","$100,000",$502,"$1,545",$133
75001,"$60,000","$1,000","$300,000",$524,"$1,565",$147
75002,"$20,000",$500,"$100,000",$211,$540,$91
75002,"$20,000",$500,"$300,000",$224,$564,$111
75002,"$20,000","$1,000","$100,000",$196,$494,$84
75002,"$20,000","$1,000","$300,000",$209,$518,$104
75002,"$40,000",$500,"$100,000",$324,$802,$125
