ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
84001,"$20,000",$500,"$100,000",$265,"$3,753",$50
84001,"$20,000",$500,"$300,000",$286,"$3,889",$51
84001,"$20,000","$1,000","$100,000",$247,"$3,407",$47
84001,"$20,000","$1,000","$300,000",$268,"$3,544",$48
84001,"$40,000",$500,"$100,000",$241,$571,$125
84001,"$40,000",$500,"$300,000",$262,$660,$125
84001,"$40,000","$1,000","$100,000",$333,"$4,870",$59
84001,"$40,000","$1,000","$300,000",$248,$630,$125
84001,"$60,000",$500,"$100,000",$296,$665,$125
84001,"$60,000",$500,"$300,000",$317,$755,$128
84001,"$60,000","$1,000","$100,000",$280,$639,$125
84001,"$60,000","$1,000","$300,000",$301,$728,$125
84002,"$20,000",$500,"$100,000",$258,"$3,753",$50
84002,"$20,000",$500,"$300,000",$279,"$3,889",$51
84002,"$20,000","$1,000","$100,000",$241,"$3,407",$47
84002,"$20,000","$1,000","$300,000",$262,"$3,544",$48
84002,"$40,000",$500,"$100,000",$229,$571,$115
84002,"$40,000",$500,"$300,000",$249,$660,$115
84002,"$40,000","$1,000","$100,000",$323,"$4,870",$59
84002,"$40,000","$1,000","$300,000",$236,$630,$115
84002,"$60,000",$500,"$100,000",$279,$665,$115
84002,"$60,000",$500,"$300,000",$299,$755,$115
84002,"$60,000","$1,000","$100,000",$264,$639,$115
84002,"$60,000","$1,000","$300,000",$284,$728,$115
84003,"$20,000",$500,"$100,000",$271,"$3,753",$50
84003,"$20,000",$500,"$300,000",$292,"$3,889",$51
84003,"$20,000","$1,000","$100,000",$252,"$3,407",$47
84003,"$20,000","$1,000","$300,000",$274,"$3,544",$48
84003,"$40,000",$500,"$100,000",$249,$609,$125
84003,"$40,000",$500,"$300,000",$270,$698,$125
84003,"$40,000","$1,000","$100,000",$339,"$4,870",$59
84003,"$40,000","$1,000","$300,000",$256,$668,$125
84003,"$60,000",$500,"$100,000",$306,$710,$127
84003,"$60,000",$500,"$300,000",$327,$800,$134
84003,"$60,000","$1,000","$100,000",$289,$683,$125
84003,"$60,000","$1,000","$300,000",$310,$773,$125
84004,"$20,000",$500,"$100,000",$271,"$3,753",$50
