ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
20101,"$20,000",$500,"$100,000",$210,$574,$93
20101,"$20,000",$500,"$300,000",$227,$594,$105
20101,"$20,000","$1,000","$100,000",$185,$516,$83
20101,"$20,000","$1,000","$300,000",$202,$536,$95
20101,"$40,000",$500,"$100,000",$311,$842,$115
20101,"$40,000",$500,"$300,000",$330,$862,$115
20101,"$40,000","$1,000","$100,000",$272,$767,$115
20101,"$40,000","$1,000","$300,000",$291,$787,$115
20101,"$60,000",$500,"$100,000",$418,"$1,132",$115
20101,"$60,000",$500,"$300,000",$438,"$1,152",$115
20101,"$60,000","$1,000","$100,000",$365,"$1,057",$115
20101,"$60,000","$1,000","$300,000",$385,"$1,077",$115
20102,"$20,000",$500,"$100,000",$210,$574,$93
20102,"$20,000",$500,"$300,000",$227,$594,$105
20102,"$20,000","$1,000","$100,000",$185,$516,$83
20102,"$20,000","$1,000","$300,000",$202,$536,$95
20102,"$40,000",$500,"$100,000",$311,$842,$115
20102,"$40,000",$500,"$300,000",$330,$862,$115
20102,"$40,000","$1,000","$100,000",$272,$767,$115
20102,"$40,000","$1,000","$300,000",$291,$787,$115
20102,"$60,000",$500,"$100,000",$418,"$1,132",$115
20102,"$60,000",$500,"$300,000",$438,"$1,152",$115
20102,"$60,000","$1,000","$100,000",$365,"$1,057",$115
20102,"$60,000","$1,000","$300,000",$385,"$1,077",$115
20103,"$20,000",$500,"$100,000",$210,$574,$93
20103,"$20,000",$500,"$300,000",$227,$594,$105
20103,"$20,000","$1,000","$100,000",$185,$516,$83
20103,"$20,000","$1,000","$300,000",$202,$536,$95
20103,"$40,000",$500,"$100,000",$311,$842,$115
20103,"$40,000",$500,"$300,000",$330,$862,$115
20103,"$40,000","$1,000","$100,000",$272,$767,$115
20103,"$40,000","$1,000","$300,000",$291,$787,$115
20103,"$60,000",$500,"$100,000",$418,"$1,132",$115
20103,"$60,000",$500,"$300,000",$438,"$1,152",$115
20103,"$60,000","$1,000","$100,000",$365,"$1,057",$115
20103,"$60,000","$1,000","$300,000",$385,"$1,077",$115
20104,"$20,000",$500,"$100,000",$210,$574,$93
20104,"$20,000",$500,"$300,000",$227,$594,$105
20104,"$20,000","$1,000","$100,000",$185,$516,$83
20104,"$20,000","$1,000","$300,000",$202,$536,$95
20104,"$40,000",$500,"$100,000",$311,$842,$115
20104,"$40,000",$500,"$300,000",$330,$862,$115
20104,"$40,000","$1,000","$100,000",$272,$767,$115
20104,"$40,000","$1,000","$300,000",$291,$787,$115
20104,"$60,000",$500,"$100,000",$418,"$1,132",$115
20104,"$60,000",$500,"$300,000",$438,"$1,152",$115
20104,"$60,000","$1,000","$100,000",$365,"$1,057",$115
20104,"$60,000","$1,000","$300,000",$385,"$1,077",$115
20105,"$20,000",$500,"$100,000",$211,$574,$93
20105,"$20,000",$500,"$300,000",$227,$594,$105
20105,"$20,000","$1,000","$100,000",$186,$516,$83
20105,"$20,000","$1,000","$300,000",$202,$536,$95
20105,"$40,000",$500,"$100,000",$314,$842,$115
20105,"$40,000",$500,"$300,000",$332,$862,$115
20105,"$40,000","$1,000","$100,000",$274,$767,$115
20105,"$40,000","$1,000","$300,000",$292,$787,$115
20105,"$60,000",$500,"$100,000",$423,"$1,132",$115
20105,"$60,000",$500,"$300,000",$443,"$1,152",$115
20105,"$60,000","$1,000","$100,000",$370,"$1,057",$115
20105,"$60,000","$1,000","$300,000",$389,"$1,077",$115
20106,"$20,000",$500,"$100,000",$221,$574,$92
20106,"$20,000",$500,"$300,000",$237,$594,$104
20106,"$20,000","$1,000","$100,000",$194,$516,$82
20106,"$20,000","$1,000","$300,000",$211,$536,$94
20106,"$40,000",$500,"$100,000",$330,$842,$125
20106,"$40,000",$500,"$300,000",$349,$862,$125
20106,"$40,000","$1,000","$100,000",$289,$767,$122
20106,"$40,000","$1,000","$300,000",$307,$787,$125
20106,"$60,000",$500,"$100,000",$444,"$1,132",$154
20106,"$60,000",$500,"$300,000",$465,"$1,152",$159
20106,"$60,000","$1,000","$100,000",$389,"$1,057",$143
20106,"$60,000","$1,000","$300,000",$409,"$1,077",$148
20107,"$20,000",$500,"$100,000",$409,"$1,077",$148
20107,"$20,000",$500,"$300,000",$409,"$1,077",$148
20107,"$20,000","$1,000","$100,000",$409,"$1,077",$148
20107,"$20,000","$1,000","$300,000",$409,"$1,077",$148
20107,"$40,000",$500,"$100,000",$409,"$1,077",$148
20107,"$40,000",$500,"$300,000",$409,"$1,077",$148
20107,"$40,000","$1,000","$100,000",$409,"$1,077",$148
20107,"$40,000","$1,000","$300,000",$409,"$1,077",$148
20107,"$60,000",$500,"$100,000",$409,"$1,077",$148
20107,"$60,000",$500,"$300,000",$409,"$1,077",$148
20107,"$60,000","$1,000","$100,000",$409,"$1,077",$148
20107,"$60,000","$1,000","$300,000",$409,"$1,077",$148
20108,"$20,000",$500,"$100,000",$409,"$1,077",$148
20108,"$20,000",$500,"$300,000",$409,"$1,077",$148
20108,"$20,000","$1,000","$100,000",$409,"$1,077",$148
20108,"$20,000","$1,000","$300,000",$409,"$1,077",$148
20108,"$40,000",$500,"$100,000",$409,"$1,077",$148
20108,"$40,000",$500,"$300,000",$409,"$1,077",$148
20108,"$40,000","$1,000","$100,000",$409,"$1,077",$148
20108,"$40,000","$1,000","$300,000",$409,"$1,077",$148
20108,"$60,000",$500,"$100,000",$409,"$1,077",$148
20108,"$60,000",$500,"$300,000",$409,"$1,077",$148
20108,"$60,000","$1,000","$100,000",$409,"$1,077",$148
20108,"$60,000","$1,000","$300,000",$409,"$1,077",$148
20109,"$20,000",$500,"$100,000",$222,$574,$93
20109,"$20,000",$500,"$300,000",$239,$594,$105
20109,"$20,000","$1,000","$100,000",$196,$516,$83
20109,"$20,000","$1,000","$300,000",$213,$536,$95
20109,"$40,000",$500,"$100,000",$332,$842,$126
20109,"$40,000",$500,"$300,000",$351,$862,$132
20109,"$40,000","$1,000","$100,000",$290,$767,$125
20109,"$40,000","$1,000","$300,000",$309,$787,$125
20109,"$60,000",$500,"$100,000",$448,"$1,132",$169
20109,"$60,000",$500,"$300,000",$468,"$1,152",$176
20109,"$60,000","$1,000","$100,000",$392,"$1,057",$157
20109,"$60,000","$1,000","$300,000",$413,"$1,077",$165
20110,"$20,000",$500,"$100,000",$220,$574,$93
20110,"$20,000",$500,"$300,000",$237,$594,$105
20110,"$20,000","$1,000","$100,000",$194,$516,$83
20110,"$20,000","$1,000","$300,000",$211,$536,$95
20110,"$40,000",$500,"$100,000",$331,$842,$128
20110,"$40,000",$500,"$300,000",$349,$862,$132
20110,"$40,000","$1,000","$100,000",$289,$767,$125
20110,"$40,000","$1,000","$300,000",$307,$787,$125
20110,"$60,000",$500,"$100,000",$446,"$1,132",$174
20110,"$60,000",$500,"$300,000",$466,"$1,152",$179
20110,"$60,000","$1,000","$100,000",$391,"$1,057",$162
20110,"$60,000","$1,000","$300,000",$410,"$1,077",$166
20111,"$20,000",$500,"$100,000",$220,$574,$93
20111,"$20,000",$500,"$300,000",$238,$594,$105
20111,"$20,000","$1,000","$100,000",$195,$516,$83
20111,"$20,000","$1,000","$300,000",$212,$536,$95
20111,"$40,000",$500,"$100,000",$330,$842,$125
20111,"$40,000",$500,"$300,000",$349,$862,$129
20111,"$40,000","$1,000","$100,000",$288,$767,$125
20111,"$40,000","$1,000","$300,000",$307,$787,$125
20111,"$60,000",$500,"$100,000",$444,"$1,132",$162
20111,"$60,000",$500,"$300,000",$465,"$1,152",$172
20111,"$60,000","$1,000","$100,000",$388,"$1,057",$152
20111,"$60,000","$1,000","$300,000",$410,"$1,077",$161
20112,"$20,000",$500,"$100,000",$220,$574,$93
20112,"$20,000",$500,"$300,000",$237,$594,$105
20112,"$20,000","$1,000","$100,000",$194,$516,$83
20112,"$20,000","$1,000","$300,000",$211,$536,$95
20112,"$40,000",$500,"$100,000",$329,$842,$125
20112,"$40,000",$500,"$300,000",$348,$862,$129
20112,"$40,000","$1,000","$100,000",$288,$767,$125
20112,"$40,000","$1,000","$300,000",$306,$787,$125
20112,"$60,000",$500,"$100,000",$443,"$1,132",$166
20112,"$60,000",$500,"$300,000",$463,"$1,152",$173
20112,"$60,000","$1,000","$100,000",$388,"$1,057",$155
20112,"$60,000","$1,000","$300,000",$408,"$1,077",$162
20113,"$20,000",$500,"$100,000",$408,"$1,077",$162
20113,"$20,000",$500,"$300,000",$408,"$1,077",$162
20113,"$20,000","$1,000","$100,000",$408,"$1,077",$162
20113,"$20,000","$1,000","$300,000",$408,"$1,077",$162
20113,"$40,000",$500,"$100,000",$408,"$1,077",$162
20113,"$40,000",$500,"$300,000",$408,"$1,077",$162
20113,"$40,000","$1,000","$100,000",$408,"$1,077",$162
20113,"$40,000","$1,000","$300,000",$408,"$1,077",$162
20113,"$60,000",$500,"$100,000",$408,"$1,077",$162
20113,"$60,000",$500,"$300,000",$408,"$1,077",$162
20113,"$60,000","$1,000","$100,000",$408,"$1,077",$162
20113,"$60,000","$1,000","$300,000",$408,"$1,077",$162
20115,"$20,000",$500,"$100,000",$214,$553,$83
20115,"$20,000",$500,"$300,000",$230,$563,$97
20115,"$20,000","$1,000","$100,000",$189,$449,$75
20115,"$20,000","$1,000","$300,000",$206,$459,$87
20115,"$40,000",$500,"$100,000",$318,$782,$114
20115,"$40,000",$500,"$300,000",$337,$792,$125
20115,"$40,000","$1,000","$100,000",$278,$634,$104
20115,"$40,000","$1,000","$300,000",$296,$644,$124
20115,"$60,000",$500,"$100,000",$425,$991,$125
20115,"$60,000",$500,"$300,000",$446,"$1,001",$130
20115,"$60,000","$1,000","$100,000",$371,$804,$125
20115,"$60,000","$1,000","$300,000",$392,$819,$125
20116,"$20,000",$500,"$100,000",$214,$553,$83
20116,"$20,000",$500,"$300,000",$230,$563,$97
20116,"$20,000","$1,000","$100,000",$189,$449,$75
20116,"$20,000","$1,000","$300,000",$206,$459,$87
20116,"$40,000",$500,"$100,000",$318,$782,$114
20116,"$40,000",$500,"$300,000",$337,$792,$125
20116,"$40,000","$1,000","$100,000",$278,$634,$104
20116,"$40,000","$1,000","$300,000",$296,$644,$124
20116,"$60,000",$500,"$100,000",$425,$991,$125
20116,"$60,000",$500,"$300,000",$446,"$1,001",$130
20116,"$60,000","$1,000","$100,000",$371,$804,$125
20116,"$60,000","$1,000","$300,000",$392,$819,$125
20117,"$20,000",$500,"$100,000",$211,$574,$95
20117,"$20,000",$500,"$300,000",$227,$594,$107
20117,"$20,000","$1,000","$100,000",$186,$516,$85
20117,"$20,000","$1,000","$300,000",$202,$536,$97
20117,"$40,000",$500,"$100,000",$313,$842,$115
20117,"$40,000",$500,"$300,000",$330,$862,$115
20117,"$40,000","$1,000","$100,000",$273,$767,$115
20117,"$40,000","$1,000","$300,000",$291,$787,$115
20117,"$60,000",$500,"$100,000",$421,"$1,132",$115
