ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
5001,"$20,000",$500,"$100,000",$127,$434,$75
5001,"$20,000",$500,"$300,000",$134,$452,$75
5001,"$20,000","$1,000","$100,000",$121,$390,$75
5001,"$20,000","$1,000","$300,000",$128,$408,$75
5001,"$40,000",$500,"$100,000",$172,$706,$75
5001,"$40,000",$500,"$300,000",$181,$724,$75
5001,"$40,000","$1,000","$100,000",$160,$634,$75
5001,"$40,000","$1,000","$300,000",$169,$652,$75
5001,"$60,000",$500,"$100,000",$223,$973,$77
5001,"$60,000",$500,"$300,000",$236,$991,$87
5001,"$60,000","$1,000","$100,000",$205,$873,$75
5001,"$60,000","$1,000","$300,000",$217,$891,$83
5009,"$20,000",$500,"$100,000",$127,$434,$75
5009,"$20,000",$500,"$300,000",$134,$452,$75
5009,"$20,000","$1,000","$100,000",$121,$390,$75
5009,"$20,000","$1,000","$300,000",$128,$408,$75
5009,"$40,000",$500,"$100,000",$172,$706,$75
5009,"$40,000",$500,"$300,000",$181,$724,$75
5009,"$40,000","$1,000","$100,000",$160,$634,$75
5009,"$40,000","$1,000","$300,000",$169,$652,$75
5009,"$60,000",$500,"$100,000",$223,$973,$77
5009,"$60,000",$500,"$300,000",$236,$991,$87
5009,"$60,000","$1,000","$100,000",$205,$873,$75
5009,"$60,000","$1,000","$300,000",$217,$891,$83
5030,"$20,000",$500,"$100,000",$128,$434,$75
5030,"$20,000",$500,"$300,000",$136,$452,$75
5030,"$20,000","$1,000","$100,000",$122,$390,$75
5030,"$20,000","$1,000","$300,000",$129,$408,$75
5030,"$40,000",$500,"$100,000",$174,$706,$75
5030,"$40,000",$500,"$300,000",$184,$724,$75
5030,"$40,000","$1,000","$100,000",$162,$634,$75
5030,"$40,000","$1,000","$300,000",$171,$652,$75
5030,"$60,000",$500,"$100,000",$227,$973,$77
5030,"$60,000",$500,"$300,000",$240,$991,$87
5030,"$60,000","$1,000","$100,000",$208,$873,$75
5030,"$60,000","$1,000","$300,000",$221,$891,$83
5031,"$20,000",$500,"$100,000",$221,$891,$83
5031,"$20,000",$500,"$300,000",$221,$891,$83
5031,"$20,000","$1,000","$100,000",$221,$891,$83
5031,"$20,000","$1,000","$300,000",$221,$891,$83
5031,"$40,000",$500,"$100,000",$221,$891,$83
5031,"$40,000",$500,"$300,000",$221,$891,$83
5031,"$40,000","$1,000","$100,000",$221,$891,$83
5031,"$40,000","$1,000","$300,000",$221,$891,$83
5031,"$60,000",$500,"$100,000",$221,$891,$83
5031,"$60,000",$500,"$300,000",$221,$891,$83
5031,"$60,000","$1,000","$100,000",$221,$891,$83
5031,"$60,000","$1,000","$300,000",$221,$891,$83
5032,"$20,000",$500,"$100,000",$127,$434,$75
5032,"$20,000",$500,"$300,000",$134,$452,$75
5032,"$20,000","$1,000","$100,000",$121,$390,$75
5032,"$20,000","$1,000","$300,000",$128,$408,$75
5032,"$40,000",$500,"$100,000",$172,$706,$75
5032,"$40,000",$500,"$300,000",$181,$724,$75
5032,"$40,000","$1,000","$100,000",$160,$634,$75
5032,"$40,000","$1,000","$300,000",$169,$652,$75
5032,"$60,000",$500,"$100,000",$223,$973,$77
5032,"$60,000",$500,"$300,000",$236,$991,$87
5032,"$60,000","$1,000","$100,000",$205,$873,$75
5032,"$60,000","$1,000","$300,000",$217,$891,$83
5033,"$20,000",$500,"$100,000",$127,$434,$75
5033,"$20,000",$500,"$300,000",$135,$452,$75
5033,"$20,000","$1,000","$100,000",$121,$390,$75
5033,"$20,000","$1,000","$300,000",$128,$408,$75
5033,"$40,000",$500,"$100,000",$172,$706,$75
5033,"$40,000",$500,"$300,000",$181,$724,$75
5033,"$40,000","$1,000","$100,000",$160,$634,$75
5033,"$40,000","$1,000","$300,000",$169,$652,$75
5033,"$60,000",$500,"$100,000",$224,$973,$77
5033,"$60,000",$500,"$300,000",$236,$991,$87
5033,"$60,000","$1,000","$100,000",$205,$873,$75
5033,"$60,000","$1,000","$300,000",$218,$891,$83
5034,"$20,000",$500,"$100,000",$127,$434,$75
5034,"$20,000",$500,"$300,000",$134,$452,$75
5034,"$20,000","$1,000","$100,000",$121,$390,$75
5034,"$20,000","$1,000","$300,000",$128,$408,$75
5034,"$40,000",$500,"$100,000",$172,$706,$75
5034,"$40,000",$500,"$300,000",$181,$724,$75
5034,"$40,000","$1,000","$100,000",$160,$634,$75
5034,"$40,000","$1,000","$300,000",$169,$652,$75
5034,"$60,000",$500,"$100,000",$224,$973,$77
5034,"$60,000",$500,"$300,000",$236,$991,$87
5034,"$60,000","$1,000","$100,000",$205,$873,$75
5034,"$60,000","$1,000","$300,000",$218,$891,$83
5035,"$20,000",$500,"$100,000",$127,$434,$75
5035,"$20,000",$500,"$300,000",$134,$452,$75
5035,"$20,000","$1,000","$100,000",$121,$390,$75
5035,"$20,000","$1,000","$300,000",$128,$408,$75
5035,"$40,000",$500,"$100,000",$172,$706,$75
5035,"$40,000",$500,"$300,000",$181,$724,$75
5035,"$40,000","$1,000","$100,000",$160,$634,$75
5035,"$40,000","$1,000","$300,000",$169,$652,$75
5035,"$60,000",$500,"$100,000",$224,$973,$77
5035,"$60,000",$500,"$300,000",$236,$991,$87
5035,"$60,000","$1,000","$100,000",$205,$873,$75
5035,"$60,000","$1,000","$300,000",$218,$891,$83
5036,"$20,000",$500,"$100,000",$127,$434,$75
5036,"$20,000",$500,"$300,000",$134,$452,$75
5036,"$20,000","$1,000","$100,000",$121,$390,$75
5036,"$20,000","$1,000","$300,000",$128,$408,$75
5036,"$40,000",$500,"$100,000",$172,$706,$75
5036,"$40,000",$500,"$300,000",$181,$724,$75
5036,"$40,000","$1,000","$100,000",$160,$634,$75
5036,"$40,000","$1,000","$300,000",$169,$652,$75
5036,"$60,000",$500,"$100,000",$223,$973,$77
5036,"$60,000",$500,"$300,000",$236,$991,$87
5036,"$60,000","$1,000","$100,000",$205,$873,$75
5036,"$60,000","$1,000","$300,000",$217,$891,$83
5037,"$20,000",$500,"$100,000",$127,$434,$75
5037,"$20,000",$500,"$300,000",$134,$452,$75
5037,"$20,000","$1,000","$100,000",$121,$390,$75
5037,"$20,000","$1,000","$300,000",$128,$408,$75
5037,"$40,000",$500,"$100,000",$172,$706,$75
5037,"$40,000",$500,"$300,000",$181,$724,$75
5037,"$40,000","$1,000","$100,000",$160,$634,$75
5037,"$40,000","$1,000","$300,000",$169,$652,$75
5037,"$60,000",$500,"$100,000",$223,$973,$77
5037,"$60,000",$500,"$300,000",$236,$991,$87
5037,"$60,000","$1,000","$100,000",$205,$873,$75
5037,"$60,000","$1,000","$300,000",$217,$891,$83
5038,"$20,000",$500,"$100,000",$127,$434,$75
5038,"$20,000",$500,"$300,000",$134,$452,$75
5038,"$20,000","$1,000","$100,000",$121,$390,$75
5038,"$20,000","$1,000","$300,000",$128,$408,$75
5038,"$40,000",$500,"$100,000",$172,$706,$75
5038,"$40,000",$500,"$300,000",$181,$724,$75
5038,"$40,000","$1,000","$100,000",$160,$634,$75
5038,"$40,000","$1,000","$300,000",$169,$652,$75
5038,"$60,000",$500,"$100,000",$223,$973,$77
5038,"$60,000",$500,"$300,000",$236,$991,$87
5038,"$60,000","$1,000","$100,000",$205,$873,$75
5038,"$60,000","$1,000","$300,000",$217,$891,$83
5039,"$20,000",$500,"$100,000",$127,$434,$75
5039,"$20,000",$500,"$300,000",$134,$452,$75
5039,"$20,000","$1,000","$100,000",$121,$390,$75
5039,"$20,000","$1,000","$300,000",$128,$408,$75
5039,"$40,000",$500,"$100,000",$172,$706,$75
5039,"$40,000",$500,"$300,000",$181,$724,$75
5039,"$40,000","$1,000","$100,000",$160,$634,$75
5039,"$40,000","$1,000","$300,000",$169,$652,$75
5039,"$60,000",$500,"$100,000",$223,$973,$77
5039,"$60,000",$500,"$300,000",$236,$991,$87
5039,"$60,000","$1,000","$100,000",$205,$873,$75
5039,"$60,000","$1,000","$300,000",$217,$891,$83
5040,"$20,000",$500,"$100,000",$127,$434,$75
5040,"$20,000",$500,"$300,000",$134,$452,$75
5040,"$20,000","$1,000","$100,000",$121,$390,$75
5040,"$20,000","$1,000","$300,000",$128,$408,$75
