ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
98001,"$20,000",$500,"$100,000",$191,$495,$102
98001,"$20,000",$500,"$300,000",$207,$597,$112
98001,"$20,000","$1,000","$100,000",$170,$474,$89
98001,"$20,000","$1,000","$300,000",$186,$576,$99
98001,"$40,000",$500,"$100,000",$252,$615,$120
98001,"$40,000",$500,"$300,000",$270,$716,$120
98001,"$40,000","$1,000","$100,000",$224,$597,$119
98001,"$40,000","$1,000","$300,000",$241,$699,$120
98001,"$60,000",$500,"$100,000",$322,$721,$120
98001,"$60,000",$500,"$300,000",$340,$823,$126
98001,"$60,000","$1,000","$100,000",$286,$710,$120
98001,"$60,000","$1,000","$300,000",$305,$812,$120
98002,"$20,000",$500,"$100,000",$189,$495,$102
98002,"$20,000",$500,"$300,000",$205,$597,$112
98002,"$20,000","$1,000","$100,000",$169,$474,$89
98002,"$20,000","$1,000","$300,000",$184,$576,$99
98002,"$40,000",$500,"$100,000",$249,$615,$120
98002,"$40,000",$500,"$300,000",$266,$716,$120
98002,"$40,000","$1,000","$100,000",$221,$597,$115
98002,"$40,000","$1,000","$300,000",$238,$699,$117
98002,"$60,000",$500,"$100,000",$317,$721,$120
98002,"$60,000",$500,"$300,000",$335,$823,$126
98002,"$60,000","$1,000","$100,000",$283,$710,$120
98002,"$60,000","$1,000","$300,000",$301,$812,$120
98003,"$20,000",$500,"$100,000",$188,$495,$102
98003,"$20,000",$500,"$300,000",$204,$597,$112
98003,"$20,000","$1,000","$100,000",$168,$474,$89
98003,"$20,000","$1,000","$300,000",$183,$576,$99
98003,"$40,000",$500,"$100,000",$248,$615,$120
98003,"$40,000",$500,"$300,000",$265,$716,$120
98003,"$40,000","$1,000","$100,000",$220,$597,$115
98003,"$40,000","$1,000","$300,000",$237,$699,$117
98003,"$60,000",$500,"$100,000",$315,$721,$120
98003,"$60,000",$500,"$300,000",$333,$823,$126
98003,"$60,000","$1,000","$100,000",$281,$710,$120
98003,"$60,000","$1,000","$300,000",$299,$812,$120
98004,"$20,000",$500,"$100,000",$182,$495,$75
98004,"$20,000",$500,"$300,000",$197,$597,$75
98004,"$20,000","$1,000","$100,000",$164,$474,$75
98004,"$20,000","$1,000","$300,000",$178,$576,$75
98004,"$40,000",$500,"$100,000",$237,$615,$100
98004,"$40,000",$500,"$300,000",$253,$716,$110
98004,"$40,000","$1,000","$100,000",$211,$597,$87
98004,"$40,000","$1,000","$300,000",$227,$699,$97
98004,"$60,000",$500,"$100,000",$299,$721,$120
98004,"$60,000",$500,"$300,000",$317,$823,$120
98004,"$60,000","$1,000","$100,000",$268,$710,$115
98004,"$60,000","$1,000","$300,000",$285,$812,$120
98005,"$20,000",$500,"$100,000",$182,$495,$75
98005,"$20,000",$500,"$300,000",$197,$597,$75
98005,"$20,000","$1,000","$100,000",$163,$474,$75
98005,"$20,000","$1,000","$300,000",$178,$576,$75
98005,"$40,000",$500,"$100,000",$236,$615,$100
98005,"$40,000",$500,"$300,000",$253,$716,$110
98005,"$40,000","$1,000","$100,000",$211,$597,$87
98005,"$40,000","$1,000","$300,000",$227,$699,$97
98005,"$60,000",$500,"$100,000",$298,$721,$120
98005,"$60,000",$500,"$300,000",$316,$823,$120
98005,"$60,000","$1,000","$100,000",$267,$710,$115
98005,"$60,000","$1,000","$300,000",$285,$812,$120
98006,"$20,000",$500,"$100,000",$182,$495,$75
98006,"$20,000",$500,"$300,000",$197,$597,$75
98006,"$20,000","$1,000","$100,000",$164,$474,$75
98006,"$20,000","$1,000","$300,000",$178,$576,$75
98006,"$40,000",$500,"$100,000",$237,$615,$100
98006,"$40,000",$500,"$300,000",$253,$716,$110
98006,"$40,000","$1,000","$100,000",$211,$597,$87
98006,"$40,000","$1,000","$300,000",$227,$699,$97
98006,"$60,000",$500,"$100,000",$299,$721,$120
98006,"$60,000",$500,"$300,000",$317,$823,$120
98006,"$60,000","$1,000","$100,000",$268,$710,$115
98006,"$60,000","$1,000","$300,000",$285,$812,$120
98007,"$20,000",$500,"$100,000",$182,$495,$75
98007,"$20,000",$500,"$300,000",$197,$597,$75
98007,"$20,000","$1,000","$100,000",$163,$474,$75
98007,"$20,000","$1,000","$300,000",$178,$576,$75
98007,"$40,000",$500,"$100,000",$236,$615,$100
98007,"$40,000",$500,"$300,000",$253,$716,$110
98007,"$40,000","$1,000","$100,000",$211,$597,$87
98007,"$40,000","$1,000","$300,000",$227,$699,$97
98007,"$60,000",$500,"$100,000",$298,$721,$120
98007,"$60,000",$500,"$300,000",$316,$823,$120
98007,"$60,000","$1,000","$100,000",$267,$710,$115
98007,"$60,000","$1,000","$300,000",$284,$812,$120
98008,"$20,000",$500,"$100,000",$182,$493,$75
98008,"$20,000",$500,"$300,000",$197,$595,$75
98008,"$20,000","$1,000","$100,000",$163,$472,$75
98008,"$20,000","$1,000","$300,000",$178,$574,$75
98008,"$40,000",$500,"$100,000",$237,$612,$100
98008,"$40,000",$500,"$300,000",$253,$714,$110
98008,"$40,000","$1,000","$100,000",$211,$594,$87
