ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
53001,"$20,000",$500,"$100,000",$189,"$1,268",$53
53001,"$20,000",$500,"$300,000",$204,"$1,277",$55
53001,"$20,000","$1,000","$100,000",$172,"$1,085",$48
53001,"$20,000","$1,000","$300,000",$187,"$1,094",$50
53001,"$40,000",$500,"$100,000",$271,"$1,922",$75
53001,"$40,000",$500,"$300,000",$288,"$1,931",$77
53001,"$40,000","$1,000","$100,000",$246,"$1,643",$66
53001,"$40,000","$1,000","$300,000",$262,"$1,652",$68
53001,"$60,000",$500,"$100,000",$356,"$2,546",$99
53001,"$60,000",$500,"$300,000",$374,"$2,555",$101
53001,"$60,000","$1,000","$100,000",$323,"$2,176",$89
53001,"$60,000","$1,000","$300,000",$341,"$2,185",$91
53002,"$20,000",$500,"$100,000",$191,"$1,268",$53
53002,"$20,000",$500,"$300,000",$206,"$1,277",$55
53002,"$20,000","$1,000","$100,000",$174,"$1,085",$48
53002,"$20,000","$1,000","$300,000",$189,"$1,094",$50
53002,"$40,000",$500,"$100,000",$274,"$1,922",$75
53002,"$40,000",$500,"$300,000",$290,"$1,931",$77
53002,"$40,000","$1,000","$100,000",$249,"$1,643",$66
53002,"$40,000","$1,000","$300,000",$265,"$1,652",$68
53002,"$60,000",$500,"$100,000",$360,"$2,546",$99
53002,"$60,000",$500,"$300,000",$378,"$2,555",$101
53002,"$60,000","$1,000","$100,000",$327,"$2,176",$89
53002,"$60,000","$1,000","$300,000",$345,"$2,185",$91
53003,"$20,000",$500,"$100,000",$345,"$2,185",$91
53003,"$20,000",$500,"$300,000",$345,"$2,185",$91
53003,"$20,000","$1,000","$100,000",$345,"$2,185",$91
53003,"$20,000","$1,000","$300,000",$345,"$2,185",$91
53003,"$40,000",$500,"$100,000",$345,"$2,185",$91
53003,"$40,000",$500,"$300,000",$345,"$2,185",$91
53003,"$40,000","$1,000","$100,000",$345,"$2,185",$91
53003,"$40,000","$1,000","$300,000",$345,"$2,185",$91
53003,"$60,000",$500,"$100,000",$345,"$2,185",$91
53003,"$60,000",$500,"$300,000",$345,"$2,185",$91
53003,"$60,000","$1,000","$100,000",$345,"$2,185",$91
53003,"$60,000","$1,000","$300,000",$345,"$2,185",$91
53004,"$20,000",$500,"$100,000",$196,"$1,271",$53
53004,"$20,000",$500,"$300,000",$211,"$1,280",$55
53004,"$20,000","$1,000","$100,000",$177,"$1,087",$48
53004,"$20,000","$1,000","$300,000",$193,"$1,096",$50
53004,"$40,000",$500,"$100,000",$280,"$1,927",$75
53004,"$40,000",$500,"$300,000",$297,"$1,936",$77
53004,"$40,000","$1,000","$100,000",$253,"$1,647",$66
53004,"$40,000","$1,000","$300,000",$270,"$1,656",$68
53004,"$60,000",$500,"$100,000",$368,"$2,554",$99
53004,"$60,000",$500,"$300,000",$386,"$2,563",$101
53004,"$60,000","$1,000","$100,000",$333,"$2,183",$89
53004,"$60,000","$1,000","$300,000",$351,"$2,192",$91
53005,"$20,000",$500,"$100,000",$193,"$1,268",$53
53005,"$20,000",$500,"$300,000",$209,"$1,277",$55
53005,"$20,000","$1,000","$100,000",$175,"$1,085",$48
53005,"$20,000","$1,000","$300,000",$191,"$1,094",$50
53005,"$40,000",$500,"$100,000",$275,"$1,922",$75
53005,"$40,000",$500,"$300,000",$293,"$1,931",$77
53005,"$40,000","$1,000","$100,000",$249,"$1,643",$66
53005,"$40,000","$1,000","$300,000",$267,"$1,652",$68
53005,"$60,000",$500,"$100,000",$360,"$2,546",$99
53005,"$60,000",$500,"$300,000",$379,"$2,555",$101
53005,"$60,000","$1,000","$100,000",$326,"$2,176",$89
53005,"$60,000","$1,000","$300,000",$345,"$2,185",$91
53006,"$20,000",$500,"$100,000",$184,"$1,268",$53
53006,"$20,000",$500,"$300,000",$199,"$1,277",$55
53006,"$20,000","$1,000","$100,000",$169,"$1,085",$48
53006,"$20,000","$1,000","$300,000",$183,"$1,094",$50
53006,"$40,000",$500,"$100,000",$264,"$1,922",$75
53006,"$40,000",$500,"$300,000",$280,"$1,931",$77
53006,"$40,000","$1,000","$100,000",$240,"$1,643",$66
53006,"$40,000","$1,000","$300,000",$256,"$1,652",$68
53006,"$60,000",$500,"$100,000",$347,"$2,546",$99
53006,"$60,000",$500,"$300,000",$364,"$2,555",$101
53006,"$60,000","$1,000","$100,000",$315,"$2,176",$89
53006,"$60,000","$1,000","$300,000",$332,"$2,185",$91
53007,"$20,000",$500,"$100,000",$201,"$1,268",$53
53007,"$20,000",$500,"$300,000",$217,"$1,277",$55
53007,"$20,000","$1,000","$100,000",$182,"$1,085",$48
53007,"$20,000","$1,000","$300,000",$198,"$1,094",$50
53007,"$40,000",$500,"$100,000",$288,"$1,922",$75
53007,"$40,000",$500,"$300,000",$305,"$1,931",$77
53007,"$40,000","$1,000","$100,000",$260,"$1,643",$66
53007,"$40,000","$1,000","$300,000",$277,"$1,652",$68
53007,"$60,000",$500,"$100,000",$376,"$2,546",$99
53007,"$60,000",$500,"$300,000",$394,"$2,555",$101
53007,"$60,000","$1,000","$100,000",$339,"$2,176",$89
53007,"$60,000","$1,000","$300,000",$358,"$2,185",$91
53008,"$20,000",$500,"$100,000",$194,"$1,268",$53
53008,"$20,000",$500,"$300,000",$211,"$1,277",$55
53008,"$20,000","$1,000","$100,000",$177,"$1,085",$48
53008,"$20,000","$1,000","$300,000",$193,"$1,094",$50
53008,"$40,000",$500,"$100,000",$279,"$1,922",$75
53008,"$40,000",$500,"$300,000",$296,"$1,931",$77
53008,"$40,000","$1,000","$100,000",$253,"$1,643",$66
53008,"$40,000","$1,000","$300,000",$270,"$1,652",$68
53008,"$60,000",$500,"$100,000",$366,"$2,546",$99
53008,"$60,000",$500,"$300,000",$385,"$2,555",$101
53008,"$60,000","$1,000","$100,000",$332,"$2,176",$89
53008,"$60,000","$1,000","$300,000",$351,"$2,185",$91
53010,"$20,000",$500,"$100,000",$186,"$1,268",$53
53010,"$20,000",$500,"$300,000",$202,"$1,277",$55
53010,"$20,000","$1,000","$100,000",$170,"$1,085",$48
53010,"$20,000","$1,000","$300,000",$185,"$1,094",$50
53010,"$40,000",$500,"$100,000",$267,"$1,922",$75
53010,"$40,000",$500,"$300,000",$283,"$1,931",$77
53010,"$40,000","$1,000","$100,000",$242,"$1,643",$66
53010,"$40,000","$1,000","$300,000",$259,"$1,652",$68
53010,"$60,000",$500,"$100,000",$350,"$2,546",$99
53010,"$60,000",$500,"$300,000",$368,"$2,555",$101
53010,"$60,000","$1,000","$100,000",$317,"$2,176",$89
53010,"$60,000","$1,000","$300,000",$335,"$2,185",$91
53011,"$20,000",$500,"$100,000",$188,"$1,268",$53
53011,"$20,000",$500,"$300,000",$204,"$1,277",$55
53011,"$20,000","$1,000","$100,000",$172,"$1,085",$48
53011,"$20,000","$1,000","$300,000",$187,"$1,094",$50
53011,"$40,000",$500,"$100,000",$270,"$1,922",$75
53011,"$40,000",$500,"$300,000",$287,"$1,931",$77
53011,"$40,000","$1,000","$100,000",$245,"$1,643",$66
53011,"$40,000","$1,000","$300,000",$262,"$1,652",$68
53011,"$60,000",$500,"$100,000",$355,"$2,546",$99
53011,"$60,000",$500,"$300,000",$373,"$2,555",$101
53011,"$60,000","$1,000","$100,000",$322,"$2,176",$89
53011,"$60,000","$1,000","$300,000",$340,"$2,185",$91
53012,"$20,000",$500,"$100,000",$192,"$1,271",$53
53012,"$20,000",$500,"$300,000",$208,"$1,280",$55
53012,"$20,000","$1,000","$100,000",$175,"$1,087",$48
53012,"$20,000","$1,000","$300,000",$190,"$1,096",$50
53012,"$40,000",$500,"$100,000",$276,"$1,927",$75
53012,"$40,000",$500,"$300,000",$292,"$1,936",$77
53012,"$40,000","$1,000","$100,000",$249,"$1,647",$66
53012,"$40,000","$1,000","$300,000",$266,"$1,656",$68
53012,"$60,000",$500,"$100,000",$361,"$2,554",$99
53012,"$60,000",$500,"$300,000",$378,"$2,563",$101
53012,"$60,000","$1,000","$100,000",$326,"$2,183",$89
53012,"$60,000","$1,000","$300,000",$344,"$2,192",$91
53013,"$20,000",$500,"$100,000",$193,"$1,268",$53
53013,"$20,000",$500,"$300,000",$209,"$1,277",$55
