ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
24701,"$20,000",$500,"$100,000",$241,"$1,013",$35
24701,"$20,000",$500,"$300,000",$253,"$1,025",$35
24701,"$20,000","$1,000","$100,000",$229,$877,$50
24701,"$20,000","$1,000","$300,000",$241,$889,$50
24701,"$40,000",$500,"$100,000",$331,"$1,372",$44
24701,"$40,000",$500,"$300,000",$345,"$1,384",$44
24701,"$40,000","$1,000","$100,000",$317,"$1,189",$66
24701,"$40,000","$1,000","$300,000",$330,"$1,201",$66
24701,"$60,000",$500,"$100,000",$414,"$1,718",$51
24701,"$60,000",$500,"$300,000",$427,"$1,730",$51
24701,"$60,000","$1,000","$100,000",$397,"$1,493",$78
24701,"$60,000","$1,000","$300,000",$411,"$1,505",$78
24712,"$20,000",$500,"$100,000",$242,"$1,021",$35
24712,"$20,000",$500,"$300,000",$254,"$1,033",$35
24712,"$20,000","$1,000","$100,000",$229,$884,$50
24712,"$20,000","$1,000","$300,000",$242,$896,$50
24712,"$40,000",$500,"$100,000",$332,"$1,378",$44
24712,"$40,000",$500,"$300,000",$346,"$1,390",$44
24712,"$40,000","$1,000","$100,000",$318,"$1,195",$66
24712,"$40,000","$1,000","$300,000",$331,"$1,207",$66
24712,"$60,000",$500,"$100,000",$415,"$1,726",$51
24712,"$60,000",$500,"$300,000",$429,"$1,739",$51
24712,"$60,000","$1,000","$100,000",$398,"$1,500",$78
24712,"$60,000","$1,000","$300,000",$412,"$1,512",$78
24714,"$20,000",$500,"$100,000",$244,"$1,013",$35
24714,"$20,000",$500,"$300,000",$256,"$1,025",$35
24714,"$20,000","$1,000","$100,000",$231,$877,$50
24714,"$20,000","$1,000","$300,000",$244,$889,$50
24714,"$40,000",$500,"$100,000",$336,"$1,372",$44
24714,"$40,000",$500,"$300,000",$349,"$1,384",$44
24714,"$40,000","$1,000","$100,000",$321,"$1,189",$66
24714,"$40,000","$1,000","$300,000",$334,"$1,201",$66
24714,"$60,000",$500,"$100,000",$420,"$1,718",$51
24714,"$60,000",$500,"$300,000",$434,"$1,730",$51
24714,"$60,000","$1,000","$100,000",$402,"$1,493",$78
24714,"$60,000","$1,000","$300,000",$416,"$1,505",$78
24715,"$20,000",$500,"$100,000",$244,"$1,013",$35
24715,"$20,000",$500,"$300,000",$256,"$1,025",$35
24715,"$20,000","$1,000","$100,000",$231,$877,$50
24715,"$20,000","$1,000","$300,000",$244,$889,$50
24715,"$40,000",$500,"$100,000",$336,"$1,372",$44
24715,"$40,000",$500,"$300,000",$349,"$1,384",$44
24715,"$40,000","$1,000","$100,000",$321,"$1,189",$66
24715,"$40,000","$1,000","$300,000",$334,"$1,201",$66
24715,"$60,000",$500,"$100,000",$420,"$1,718",$51
24715,"$60,000",$500,"$300,000",$434,"$1,730",$51
24715,"$60,000","$1,000","$100,000",$402,"$1,493",$78
24715,"$60,000","$1,000","$300,000",$416,"$1,505",$78
24716,"$20,000",$500,"$100,000",$245,"$1,003",$35
24716,"$20,000",$500,"$300,000",$258,"$1,016",$35
24716,"$20,000","$1,000","$100,000",$233,$869,$50
24716,"$20,000","$1,000","$300,000",$246,$881,$50
24716,"$40,000",$500,"$100,000",$339,"$1,363",$44
24716,"$40,000",$500,"$300,000",$352,"$1,376",$44
24716,"$40,000","$1,000","$100,000",$324,"$1,181",$66
24716,"$40,000","$1,000","$300,000",$337,"$1,194",$66
24716,"$60,000",$500,"$100,000",$423,"$1,703",$51
24716,"$60,000",$500,"$300,000",$437,"$1,715",$51
24716,"$60,000","$1,000","$100,000",$406,"$1,480",$78
24716,"$60,000","$1,000","$300,000",$420,"$1,492",$78
24719,"$20,000",$500,"$100,000",$246,"$1,013",$35
