ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
82001,"$20,000",$500,"$100,000",$149,$434,$61
82001,"$20,000",$500,"$300,000",$167,$535,$67
82001,"$20,000","$1,000","$100,000",$137,$407,$57
82001,"$20,000","$1,000","$300,000",$152,$508,$64
82001,"$40,000",$500,"$100,000",$191,$545,$79
82001,"$40,000",$500,"$300,000",$209,$646,$85
82001,"$40,000","$1,000","$100,000",$171,$523,$76
82001,"$40,000","$1,000","$300,000",$189,$624,$82
82001,"$60,000",$500,"$100,000",$230,$650,$96
82001,"$60,000",$500,"$300,000",$248,$751,$102
82001,"$60,000","$1,000","$100,000",$207,$636,$94
82001,"$60,000","$1,000","$300,000",$225,$736,$100
82002,"$20,000",$500,"$100,000",$149,$434,$61
82002,"$20,000",$500,"$300,000",$167,$535,$67
82002,"$20,000","$1,000","$100,000",$137,$407,$57
82002,"$20,000","$1,000","$300,000",$152,$508,$64
82002,"$40,000",$500,"$100,000",$191,$545,$79
82002,"$40,000",$500,"$300,000",$209,$646,$85
82002,"$40,000","$1,000","$100,000",$171,$523,$76
82002,"$40,000","$1,000","$300,000",$189,$624,$82
82002,"$60,000",$500,"$100,000",$230,$650,$96
82002,"$60,000",$500,"$300,000",$248,$751,$102
82002,"$60,000","$1,000","$100,000",$207,$636,$94
82002,"$60,000","$1,000","$300,000",$225,$736,$100
82003,"$20,000",$500,"$100,000",$149,$434,$61
82003,"$20,000",$500,"$300,000",$167,$535,$67
82003,"$20,000","$1,000","$100,000",$137,$407,$57
82003,"$20,000","$1,000","$300,000",$152,$508,$64
82003,"$40,000",$500,"$100,000",$191,$545,$79
82003,"$40,000",$500,"$300,000",$209,$646,$85
82003,"$40,000","$1,000","$100,000",$171,$523,$76
82003,"$40,000","$1,000","$300,000",$189,$624,$82
82003,"$60,000",$500,"$100,000",$230,$650,$96
82003,"$60,000",$500,"$300,000",$248,$751,$102
82003,"$60,000","$1,000","$100,000",$207,$636,$94
82003,"$60,000","$1,000","$300,000",$225,$736,$100
82005,"$20,000",$500,"$100,000",$149,$434,$61
82005,"$20,000",$500,"$300,000",$167,$535,$67
82005,"$20,000","$1,000","$100,000",$137,$407,$57
82005,"$20,000","$1,000","$300,000",$152,$508,$64
82005,"$40,000",$500,"$100,000",$191,$545,$79
82005,"$40,000",$500,"$300,000",$209,$646,$85
82005,"$40,000","$1,000","$100,000",$171,$523,$76
82005,"$40,000","$1,000","$300,000",$189,$624,$82
82005,"$60,000",$500,"$100,000",$230,$650,$96
82005,"$60,000",$500,"$300,000",$248,$751,$102
82005,"$60,000","$1,000","$100,000",$207,$636,$94
82005,"$60,000","$1,000","$300,000",$225,$736,$100
82006,"$20,000",$500,"$100,000",$149,$434,$61
82006,"$20,000",$500,"$300,000",$167,$535,$67
82006,"$20,000","$1,000","$100,000",$137,$407,$57
82006,"$20,000","$1,000","$300,000",$152,$508,$64
82006,"$40,000",$500,"$100,000",$191,$545,$79
82006,"$40,000",$500,"$300,000",$209,$646,$85
82006,"$40,000","$1,000","$100,000",$171,$523,$76
