ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
35004,"$20,000",$500,"$100,000",$341,"$1,115",$191
35004,"$20,000",$500,"$300,000",$373,"$1,893",$89
35004,"$20,000","$1,000","$100,000",$391,"$1,903",$105
35004,"$20,000","$1,000","$300,000",$330,"$1,609",$82
35004,"$40,000",$500,"$100,000",$347,"$1,619",$97
35004,"$40,000",$500,"$300,000",$536,"$2,946",$114
35004,"$40,000","$1,000","$100,000",$554,"$2,956",$125
35004,"$40,000","$1,000","$300,000",$473,"$2,500",$106
35004,"$40,000","$1,000","$300,000",$341,"$1,115",$191
35004,"$60,000",$500,"$100,000",$492,"$2,510",$122
35004,"$60,000",$500,"$300,000",$681,"$3,763",$136
35004,"$60,000","$1,000","$100,000",$701,"$3,773",$152
35004,"$60,000","$1,000","$300,000",$604,"$3,191",$129
35005,"$20,000",$500,"$100,000",$623,"$3,201",$145
35005,"$20,000",$500,"$300,000",$421,"$2,113",$100
35005,"$20,000","$1,000","$100,000",$439,"$2,123",$115
35005,"$20,000","$1,000","$300,000",$369,"$1,793",$91
35005,"$40,000",$500,"$100,000",$388,"$1,803",$107
35005,"$40,000",$500,"$300,000",$616,"$3,286",$128
35005,"$40,000","$1,000","$100,000",$635,"$3,296",$144
35005,"$40,000","$1,000","$300,000",$542,"$2,788",$120
35005,"$60,000",$500,"$100,000",$562,"$2,798",$135
35005,"$60,000",$500,"$300,000",$793,"$4,197",$155
35005,"$60,000","$1,000","$100,000",$813,"$4,207",$170
35005,"$60,000","$1,000","$300,000",$702,"$3,559",$147
35006,"$20,000",$500,"$100,000",$722,"$3,569",$162
35006,"$20,000",$500,"$300,000",$422,"$2,113",$100
35006,"$20,000","$1,000","$100,000",$441,"$2,123",$115
35006,"$20,000","$1,000","$300,000",$370,"$1,793",$91
35006,"$40,000",$500,"$100,000",$389,"$1,803",$107
35004,"$40,000",$500,"$100,000",$341,"$1,115",$191
35004,"$40,000",$500,"$300,000",$536,"$2,946",$114
35004,"$40,000","$1,000","$100,000",$554,"$2,956",$125
35004,"$40,000","$1,000","$300,000",$473,"$2,500",$106
35004,"$60,000",$500,"$100,000",$492,"$2,510",$122
35004,"$60,000",$500,"$300,000",$681,"$3,763",$136
35004,"$60,000","$1,000","$100,000",$701,"$3,773",$152
35004,"$60,000","$1,000","$300,000",$604,"$3,191",$129
35005,"$20,000",$500,"$100,000",$623,"$3,201",$145
35005,"$20,000",$500,"$300,000",$421,"$2,113",$100
35005,"$20,000","$1,000","$100,000",$439,"$2,123",$115
35005,"$20,000","$1,000","$300,000",$369,"$1,793",$91
35005,"$40,000",$500,"$100,000",$388,"$1,803",$107
35005,"$40,000",$500,"$300,000",$616,"$3,286",$128
35005,"$40,000","$1,000","$100,000",$635,"$3,296",$144
35005,"$40,000","$1,000","$300,000",$542,"$2,788",$120
35005,"$60,000",$500,"$100,000",$562,"$2,798",$135
