ZipCode,Personal Property Coverage,Deductible,Liability,Average Rate,Highest Rate,Lowest Rate
46001,"$20,000",$500,"$100,000",$341,"$1,115",$191
46001,"$20,000",$500,"$300,000",$233,$833,$59
46001,"$20,000","$1,000","$100,000",$250,$854,$68
46001,"$20,000","$1,000","$300,000",$215,$773,$54
46001,"$40,000",$500,"$100,000",$232,$794,$63
46001,"$40,000",$500,"$300,000",$320,"$1,251",$76
46001,"$40,000","$1,000","$100,000",$339,"$1,272",$84
46001,"$40,000","$1,000","$300,000",$296,"$1,153",$71
46001,"$60,000",$500,"$100,000",$314,"$1,174",$79
46001,"$60,000",$500,"$300,000",$412,"$1,683",$91
46001,"$60,000","$1,000","$100,000",$432,"$1,704",$99
46001,"$60,000","$1,000","$300,000",$382,"$1,545",$86
46011,"$20,000",$500,"$100,000",$402,"$1,566",$95
46011,"$20,000",$500,"$300,000",$242,$833,$59
46011,"$20,000","$1,000","$100,000",$260,$854,$68
46011,"$20,000","$1,000","$300,000",$223,$773,$54
46011,"$40,000",$500,"$100,000",$240,$794,$63
46011,"$40,000",$500,"$300,000",$337,"$1,251",$76
46011,"$40,000","$1,000","$100,000",$356,"$1,272",$84
46011,"$40,000","$1,000","$300,000",$311,"$1,153",$71
46011,"$60,000",$500,"$100,000",$329,"$1,174",$79
46011,"$60,000",$500,"$300,000",$436,"$1,683",$91
46011,"$60,000","$1,000","$100,000",$456,"$1,704",$99
46011,"$60,000","$1,000","$300,000",$404,"$1,545",$86
46012,"$20,000",$500,"$100,000",$423,"$1,566",$95
46012,"$20,000",$500,"$300,000",$240,$833,$59
46012,"$20,000","$1,000","$100,000",$257,$854,$68
46012,"$20,000","$1,000","$300,000",$221,$773,$54
46012,"$40,000",$500,"$100,000",$238,$794,$63
46012,"$40,000",$500,"$300,000",$332,"$1,251",$76
46012,"$40,000","$1,000","$100,000",$351,"$1,272",$84
46012,"$40,000","$1,000","$300,000",$306,"$1,153",$71
46012,"$60,000",$500,"$100,000",$324,"$1,174",$79
46012,"$60,000",$500,"$300,000",$428,"$1,683",$91
46012,"$60,000","$1,000","$100,000",$448,"$1,704",$99
46012,"$60,000","$1,000","$300,000",$396,"$1,545",$86
46013,"$20,000",$500,"$100,000",$416,"$1,566",$95
46013,"$20,000",$500,"$300,000",$242,$833,$59
46013,"$20,000","$1,000","$100,000",$260,$854,$68
46013,"$20,000","$1,000","$300,000",$223,$773,$54
46013,"$40,000",$500,"$100,000",$240,$794,$63
46013,"$40,000",$500,"$300,000",$337,"$1,251",$76
46013,"$40,000","$1,000","$100,000",$356,"$1,272",$84
46013,"$40,000","$1,000","$300,000",$311,"$1,153",$71
46013,"$60,000",$500,"$100,000",$329,"$1,174",$79
46013,"$60,000",$500,"$300,000",$436,"$1,683",$91
46013,"$60,000","$1,000","$100,000",$456,"$1,704",$99
46013,"$60,000","$1,000","$300,000",$404,"$1,545",$86
46014,"$20,000",$500,"$100,000",$423,"$1,566",$95
46014,"$20,000",$500,"$300,000",$242,$833,$59
46014,"$20,000","$1,000","$100,000",$260,$854,$68
46014,"$20,000","$1,000","$300,000",$223,$773,$54
46014,"$40,000",$500,"$100,000",$240,$794,$63
46014,"$40,000",$500,"$300,000",$337,"$1,251",$76
46014,"$40,000","$1,000","$100,000",$356,"$1,272",$84
46014,"$40,000","$1,000","$300,000",$311,"$1,153",$71
46014,"$60,000",$500,"$100,000",$329,"$1,174",$79
46014,"$60,000",$500,"$300,000",$436,"$1,683",$91
46014,"$60,000","$1,000","$100,000",$456,"$1,704",$99
46014,"$60,000","$1,000","$300,000",$404,"$1,545",$86
46015,"$20,000",$500,"$100,000",$423,"$1,566",$95
46015,"$20,000",$500,"$300,000",$242,$833,$59
46015,"$20,000","$1,000","$100,000",$260,$854,$68
46015,"$20,000","$1,000","$300,000",$223,$773,$54
46015,"$40,000",$500,"$100,000",$240,$794,$63
46015,"$40,000",$500,"$300,000",$337,"$1,251",$76
46015,"$40,000","$1,000","$100,000",$356,"$1,272",$84
46015,"$40,000","$1,000","$300,000",$311,"$1,153",$71
46015,"$60,000",$500,"$100,000",$329,"$1,174",$79
46015,"$60,000",$500,"$300,000",$436,"$1,683",$91
46015,"$60,000","$1,000","$100,000",$456,"$1,704",$99
46015,"$60,000","$1,000","$300,000",$404,"$1,545",$86
46016,"$20,000",$500,"$100,000",$423,"$1,566",$95
46016,"$20,000",$500,"$300,000",$238,$833,$59
46016,"$20,000","$1,000","$100,000",$255,$854,$68
46016,"$20,000","$1,000","$300,000",$220,$773,$54
46016,"$40,000",$500,"$100,000",$236,$794,$63
46016,"$40,000",$500,"$300,000",$330,"$1,251",$76
46016,"$40,000","$1,000","$100,000",$348,"$1,272",$84
46016,"$40,000","$1,000","$300,000",$304,"$1,153",$71
46016,"$60,000",$500,"$100,000",$322,"$1,174",$79
46016,"$60,000",$500,"$300,000",$425,"$1,683",$91
46016,"$60,000","$1,000","$100,000",$445,"$1,704",$99
46016,"$60,000","$1,000","$300,000",$394,"$1,545",$86
46017,"$20,000",$500,"$100,000",$413,"$1,566",$95
46017,"$20,000",$500,"$300,000",$242,$833,$59
46017,"$20,000","$1,000","$100,000",$259,$854,$68
46017,"$20,000","$1,000","$300,000",$223,$773,$54
46017,"$40,000",$500,"$100,000",$240,$794,$63
46017,"$40,000",$500,"$300,000",$336,"$1,251",$76
46017,"$40,000","$1,000","$100,000",$355,"$1,272",$84
46017,"$40,000","$1,000","$300,000",$310,"$1,153",$71
46017,"$60,000",$500,"$100,000",$328,"$1,174",$79
46017,"$60,000",$500,"$300,000",$434,"$1,683",$91
46017,"$60,000","$1,000","$100,000",$454,"$1,704",$99
46017,"$60,000","$1,000","$300,000",$402,"$1,545",$86
46018,"$20,000",$500,"$100,000",$422,"$1,566",$95
46018,"$20,000",$500,"$300,000",$242,$833,$59
46018,"$20,000","$1,000","$100,000",$260,$854,$68
46018,"$20,000","$1,000","$300,000",$223,$773,$54
46018,"$40,000",$500,"$100,000",$240,$794,$63
46018,"$40,000",$500,"$300,000",$337,"$1,251",$76
46018,"$40,000","$1,000","$100,000",$356,"$1,272",$84
46018,"$40,000","$1,000","$300,000",$311,"$1,153",$71
46018,"$60,000",$500,"$100,000",$329,"$1,174",$79
46018,"$60,000",$500,"$300,000",$436,"$1,683",$91
46018,"$60,000","$1,000","$100,000",$456,"$1,704",$99
46018,"$60,000","$1,000","$300,000",$404,"$1,545",$86
46030,"$20,000",$500,"$100,000",$423,"$1,566",$95
46030,"$20,000",$500,"$300,000",$230,$833,$59
46030,"$20,000","$1,000","$100,000",$247,$854,$68
46030,"$20,000","$1,000","$300,000",$214,$773,$54
46030,"$40,000",$500,"$100,000",$230,$794,$63
46030,"$40,000",$500,"$300,000",$317,"$1,251",$76
46030,"$40,000","$1,000","$100,000",$335,"$1,272",$84
46030,"$40,000","$1,000","$300,000",$294,"$1,153",$70
46030,"$60,000",$500,"$100,000",$312,"$1,174",$79
46030,"$60,000",$500,"$300,000",$409,"$1,683",$90
46030,"$60,000","$1,000","$100,000",$429,"$1,704",$99
46030,"$60,000","$1,000","$300,000",$381,"$1,545",$86
46031,"$20,000",$500,"$100,000",$401,"$1,566",$94
46031,"$20,000",$500,"$300,000",$229,$833,$59
46031,"$20,000","$1,000","$100,000",$246,$854,$68
46031,"$20,000","$1,000","$300,000",$246,$854,$68
46031,"$40,000",$500,"$100,000",$229,$794,$63
46031,"$40,000",$500,"$300,000",$315,"$1,251",$76
46031,"$40,000","$1,000","$100,000",$333,"$1,272",$84
46031,"$40,000","$1,000","$300,000",$292,"$1,153",$70
46031,"$60,000",$500,"$100,000",$310,"$1,174",$79
46031,"$60,000",$500,"$300,000",$406,"$1,683",$90
46031,"$60,000","$1,000","$100,000",$425,"$1,704",$99
46031,"$60,000","$1,000","$300,000",$378,"$1,545",$86
46032,"$20,000",$500,"$100,000",$397,"$1,566",$94
46032,"$20,000",$500,"$300,000",$234,$833,$59
46032,"$20,000","$1,000","$100,000",$251,$854,$68
46032,"$20,000","$1,000","$300,000",$216,$773,$54
46032,"$40,000",$500,"$100,000",$233,$794,$63
46032,"$40,000",$500,"$300,000",$324,"$1,251",$76
46032,"$40,000","$1,000","$100,000",$342,"$1,272",$84
46032,"$40,000","$1,000","$300,000",$299,"$1,153",$70
46032,"$60,000",$500,"$100,000",$317,"$1,174",$79
46032,"$60,000",$500,"$300,000",$418,"$1,683",$90
46032,"$60,000","$1,000","$100,000",$437,"$1,704",$99
46032,"$60,000","$1,000","$300,000",$387,"$1,545",$86
46033,"$20,000",$500,"$100,000",$407,"$1,566",$94
46033,"$20,000",$500,"$300,000",$239,$833,$59
46033,"$20,000","$1,000","$100,000",$256,$854,$68
46033,"$20,000","$1,000","$300,000",$220,$773,$54
46033,"$40,000",$500,"$100,000",$237,$794,$63
46033,"$40,000",$500,"$300,000",$329,"$1,251",$76
46033,"$40,000","$1,000","$100,000",$348,"$1,272",$84
46033,"$40,000","$1,000","$300,000",$304,"$1,153",$70
46033,"$60,000",$500,"$100,000",$322,"$1,174",$79
46033,"$60,000",$500,"$300,000",$424,"$1,683",$90
46033,"$60,000","$1,000","$100,000",$443,"$1,704",$99
46033,"$60,000","$1,000","$300,000",$393,"$1,545",$86
46034,"$20,000",$500,"$100,000",$412,"$1,566",$94
46034,"$20,000",$500,"$300,000",$237,$833,$59
46034,"$20,000","$1,000","$100,000",$254,$854,$68
46034,"$20,000","$1,000","$300,000",$219,$773,$54
46034,"$40,000",$500,"$100,000",$235,$794,$63
46034,"$40,000",$500,"$300,000",$329,"$1,251",$76
46034,"$40,000","$1,000","$100,000",$347,"$1,272",$84
46034,"$40,000","$1,000","$300,000",$303,"$1,153",$70
46034,"$60,000",$500,"$100,000",$322,"$1,174",$79
46034,"$60,000",$500,"$300,000",$425,"$1,683",$90
46034,"$60,000","$1,000","$100,000",$445,"$1,704",$99
46034,"$60,000","$1,000","$300,000",$394,"$1,545",$86
46035,"$20,000",$500,"$100,000",$414,"$1,566",$94
46035,"$20,000",$500,"$300,000",$236,$833,$59
46035,"$20,000","$1,000","$100,000",$253,$854,$68
46035,"$20,000","$1,000","$300,000",$217,$773,$54
46035,"$40,000",$500,"$100,000",$234,$794,$63
46035,"$40,000",$500,"$300,000",$326,"$1,251",$76
46035,"$40,000","$1,000","$100,000",$345,"$1,272",$84
46035,"$40,000","$1,000","$300,000",$301,"$1,153",$71
46035,"$60,000",$500,"$100,000",$319,"$1,174",$79
46035,"$60,000",$500,"$300,000",$420,"$1,683",$91
46035,"$60,000","$1,000","$100,000",$440,"$1,704",$99
46035,"$60,000","$1,000","$300,000",$389,"$1,545",$86
46036,"$20,000",$500,"$100,000",$409,"$1,566",$95
46036,"$20,000",$500,"$300,000",$240,$833,$59
46036,"$20,000","$1,000","$100,000",$258,$854,$68
46036,"$20,000","$1,000","$300,000",$221,$773,$54
46036,"$40,000",$500,"$100,000",$239,$794,$63
46036,"$40,000",$500,"$300,000",$333,"$1,251",$76
46036,"$40,000","$1,000","$100,000",$352,"$1,272",$84
46036,"$40,000","$1,000","$300,000",$308,"$1,153",$71
46036,"$60,000",$500,"$100,000",$326,"$1,174",$79
46036,"$60,000",$500,"$300,000",$431,"$1,683",$91
46036,"$60,000","$1,000","$100,000",$451,"$1,704",$99
46036,"$60,000","$1,000","$300,000",$400,"$1,545",$86
46037,"$20,000",$500,"$100,000",$419,"$1,566",$95
46037,"$20,000",$500,"$300,000",$235,$833,$59
46037,"$20,000","$1,000","$100,000",$252,$854,$68
46037,"$20,000","$1,000","$300,000",$217,$773,$54
46037,"$40,000",$500,"$100,000",$234,$794,$63
46037,"$40,000",$500,"$300,000",$326,"$1,251",$76
46037,"$40,000","$1,000","$100,000",$344,"$1,272",$84
46037,"$40,000","$1,000","$300,000",$301,"$1,153",$70
46037,"$60,000",$500,"$100,000",$319,"$1,174",$79
46037,"$60,000",$500,"$300,000",$422,"$1,683",$90
46037,"$60,000","$1,000","$100,000",$441,"$1,704",$99
46037,"$60,000","$1,000","$300,000",$391,"$1,545",$86
46038,"$20,000",$500,"$100,000",$410,"$1,566",$94
46038,"$20,000",$500,"$300,000",$240,$833,$59
46038,"$20,000","$1,000","$100,000",$257,$854,$68
46038,"$20,000","$1,000","$300,000",$221,$773,$54
46038,"$40,000",$500,"$100,000",$238,$794,$63
46038,"$40,000",$500,"$300,000",$332,"$1,251",$76
46038,"$40,000","$1,000","$100,000",$350,"$1,272",$84
46038,"$40,000","$1,000","$300,000",$306,"$1,153",$70
46038,"$60,000",$500,"$100,000",$325,"$1,174",$79
46038,"$60,000",$500,"$300,000",$429,"$1,683",$90
46038,"$60,000","$1,000","$100,000",$449,"$1,704",$99
46038,"$60,000","$1,000","$300,000",$398,"$1,545",$86
46039,"$20,000",$500,"$100,000",$417,"$1,566",$94
46039,"$20,000",$500,"$300,000",$226,$833,$59
46039,"$20,000","$1,000","$100,000",$243,$854,$68
46039,"$20,000","$1,000","$300,000",$209,$773,$54
46039,"$40,000",$500,"$100,000",$226,$794,$63
46039,"$40,000",$500,"$300,000",$308,"$1,251",$76
46039,"$40,000","$1,000","$100,000",$326,"$1,272",$84
46039,"$40,000","$1,000","$300,000",$286,"$1,153",$71
46039,"$60,000",$500,"$100,000",$304,"$1,174",$79
46039,"$60,000",$500,"$300,000",$395,"$1,683",$91
46039,"$60,000","$1,000","$100,000",$414,"$1,704",$99
46039,"$60,000","$1,000","$300,000",$368,"$1,545",$86
46040,"$20,000",$500,"$100,000",$387,"$1,566",$95
46040,"$20,000",$500,"$300,000",$234,$833,$58
46040,"$20,000","$1,000","$100,000",$251,$854,$67
46040,"$20,000","$1,000","$300,000",$216,$773,$53
46040,"$40,000",$500,"$100,000",$233,$794,$62
46040,"$40,000",$500,"$300,000",$324,"$1,251",$75
46040,"$40,000","$1,000","$100,000",$342,"$1,272",$83
46040,"$40,000","$1,000","$300,000",$300,"$1,153",$69
46040,"$60,000",$500,"$100,000",$318,"$1,174",$78
46040,"$60,000",$500,"$300,000",$419,"$1,683",$89
46040,"$60,000","$1,000","$100,000",$438,"$1,704",$98
46040,"$60,000","$1,000","$300,000",$389,"$1,545",$85
46041,"$20,000",$500,"$100,000",$408,"$1,566",$93
46041,"$20,000",$500,"$300,000",$238,$833,$59
46041,"$20,000","$1,000","$100,000",$256,$854,$68
46041,"$20,000","$1,000","$300,000",$219,$773,$54
46041,"$40,000",$500,"$100,000",$236,$794,$63
46041,"$40,000",$500,"$300,000",$330,"$1,251",$76
46041,"$40,000","$1,000","$100,000",$348,"$1,272",$84
46041,"$40,000","$1,000","$300,000",$303,"$1,153",$71
46041,"$60,000",$500,"$100,000",$322,"$1,174",$79
46041,"$60,000",$500,"$300,000",$425,"$1,683",$91
46041,"$60,000","$1,000","$100,000",$445,"$1,704",$99
46041,"$60,000","$1,000","$300,000",$393,"$1,545",$86
46044,"$20,000",$500,"$100,000",$412,"$1,566",$95
46044,"$20,000",$500,"$300,000",$233,$833,$59
46044,"$20,000","$1,000","$100,000",$250,$854,$68
46044,"$20,000","$1,000","$300,000",$216,$773,$54
46044,"$40,000",$500,"$100,000",$233,$794,$63
46044,"$40,000",$500,"$300,000",$321,"$1,251",$76
46044,"$40,000","$1,000","$100,000",$339,"$1,272",$84
46044,"$40,000","$1,000","$300,000",$297,"$1,153",$71
46044,"$60,000",$500,"$100,000",$316,"$1,174",$79
46044,"$60,000",$500,"$300,000",$414,"$1,683",$91
46044,"$60,000","$1,000","$100,000",$434,"$1,704",$99
46044,"$60,000","$1,000","$300,000",$385,"$1,545",$86
46045,"$20,000",$500,"$100,000",$405,"$1,566",$95
46045,"$20,000",$500,"$300,000",$232,$833,$59
46045,"$20,000","$1,000","$100,000",$249,$854,$68
46045,"$20,000","$1,000","$300,000",$214,$773,$54
46045,"$40,000",$500,"$100,000",$231,$794,$63
46045,"$40,000",$500,"$300,000",$320,"$1,251",$76
46045,"$40,000","$1,000","$100,000",$339,"$1,272",$84
46045,"$40,000","$1,000","$300,000",$295,"$1,153",$71
46045,"$60,000",$500,"$100,000",$314,"$1,174",$79
46045,"$60,000",$500,"$300,000",$412,"$1,683",$91
46045,"$60,000","$1,000","$100,000",$432,"$1,704",$99
46045,"$60,000","$1,000","$300,000",$382,"$1,545",$86
46047,"$20,000",$500,"$100,000",$402,"$1,566",$95
46047,"$20,000",$500,"$300,000",$231,$833,$59
46047,"$20,000","$1,000","$100,000",$249,$854,$68
46047,"$20,000","$1,000","$300,000",$214,$773,$54
46047,"$40,000",$500,"$100,000",$231,$794,$63
46047,"$40,000",$500,"$300,000",$320,"$1,251",$76
46047,"$40,000","$1,000","$100,000",$339,"$1,272",$84
